display_name,observed_canonical_troop_ids,canonical_troop_id,resolution_status,default_group,canonical_role,level,candidate_count,candidate_troop_ids,resolution_method,blocking_reason,ordinary_occurrences,source_image_count,audit_path,audit_sha256,audit_commit
Dayne Veteran Archer [T5],,dayne_veteran_archer,confirmed_id,Ranged,ranged,26.0,1,dayne_veteran_archer,exact tier-stripped display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Dornish Archer [T3],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Dornish Bowman [T2],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Dornish Elite Archer [T4],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,12,12,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Dornish Elite Spearman [T4],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,3,3,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Dornish Horse Archer [T4],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Dornish Horseman [T4],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Dornish Master Archer [T5],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,14,14,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Dornish Sidewinder [T5],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,6,6,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Dornish Spearmaster [T5],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Dornish Viper [T6],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,6,6,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Essosi Convoy Guard [T4],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Essosi Veteran Convoy Guard [T5],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Hightower Crossbowman [T4],,hightower_crossbowman,confirmed_id,Ranged,ranged,21.0,1,hightower_crossbowman,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Hightower Marksmen [T5],,hightower_marksman,confirmed_id,Ranged,ranged,26.0,1,hightower_marksman,exact tier-stripped display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Hightower Recruit [T1],,hightower_recruit,confirmed_id,Infantry,frontline_infantry,6.0,1,hightower_recruit,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Knight of Hollow Hill [T4],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Knights of Starfall [T6],,dayne_starfall_knights,confirmed_id,Cavalry,melee_cavalry,31.0,1,dayne_starfall_knights,exact tier-stripped display-name match,,16,16,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Magister Guard Elite [T6],,magister_guard,confirmed_id,Cavalry,melee_cavalry,31.0,1,magister_guard,exact tier-stripped display-name match,,11,11,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Marauder [T5],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,6,6,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Martell Archer [T4],,martell_archer,confirmed_id,Ranged,ranged,21.0,1,martell_archer,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Martell Bowman [T3],,martell_bowman,confirmed_id,Ranged,ranged,16.0,1,martell_bowman,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Martell Footman [T3],,martell_footman,confirmed_id,Infantry,frontline_infantry,16.0,1,martell_footman,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Martell House Guard [T5],,martell_houseguard,confirmed_id,Infantry,frontline_infantry,26.0,1,martell_houseguard,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Martell Levy [T2],,martell_levy,confirmed_id,Infantry,frontline_infantry,11.0,1,martell_levy,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Martell Veteran Archer [T5],,martell_veteran_archer,confirmed_id,Ranged,ranged,26.0,1,martell_veteran_archer,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Myrish Archer [T4],,myrish_archer,confirmed_id,Ranged,ranged,21.0,1,myrish_archer,exact tier-stripped display-name match,,3,3,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Myrish Artisan of War [T6],,myrish_artisan,confirmed_id,Ranged,ranged,31.0,1,myrish_artisan,exact tier-stripped display-name match,,13,13,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Myrish Cavalry [T5],,myrish_cavalry,confirmed_id,Cavalry,melee_cavalry,26.0,1,myrish_cavalry,exact tier-stripped display-name match,,11,11,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Myrish Crossbowman [T3],,myrish_crossbowman,confirmed_id,Ranged,ranged,16.0,1,myrish_crossbowman,exact tier-stripped display-name match,,8,8,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Myrish Elite Archer [T5],,myrish_elite_archer,confirmed_id,Ranged,ranged,26.0,1,myrish_elite_archer,exact tier-stripped display-name match,,5,5,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Myrish Elite Crossbowman [T4],,myrish_elite_crossbowman,confirmed_id,Ranged,ranged,21.0,1,myrish_elite_crossbowman,exact tier-stripped display-name match,,12,12,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Myrish Footman [T2],,myrish_footman,confirmed_id,Infantry,frontline_infantry,11.0,1,myrish_footman,exact tier-stripped display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Myrish Horseman [T4],,myrish_horseman,confirmed_id,Cavalry,melee_cavalry,21.0,1,myrish_horseman,exact tier-stripped display-name match,,3,3,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Myrish Legionnaire [T5],,myrish_axeman,confirmed_id,Infantry,frontline_infantry,26.0,1,myrish_axeman,exact tier-stripped display-name match,,11,11,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Myrish Master Crossbowman [T5],,myrish_master_crossbowman,confirmed_id,Ranged,ranged,26.0,1,myrish_master_crossbowman,exact tier-stripped display-name match,,12,12,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Myrish Noble Youth [T2],,myrish_noble_recruit,confirmed_id,Infantry,frontline_infantry,11.0,1,myrish_noble_recruit,exact tier-stripped display-name match,,8,8,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Myrish Recruit [T1],,myrish_recruit,confirmed_id,Infantry,frontline_infantry,6.0,1,myrish_recruit,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Myrish Soldier [T3],,myrish_soldier,confirmed_id,Infantry,frontline_infantry,16.0,1,myrish_soldier,exact tier-stripped display-name match,,5,5,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Myrish Warrior [T4],,myrish_warrior,confirmed_id,Infantry,frontline_infantry,21.0,1,myrish_warrior,exact tier-stripped display-name match,,3,3,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Pentoshi Archer [T4],,pentoshi_archer,confirmed_id,Ranged,ranged,21.0,1,pentoshi_archer,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Pentoshi Cavalry [T5],,pentoshi_cavalry,confirmed_id,Cavalry,melee_cavalry,26.0,1,pentoshi_cavalry,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Pentoshi Footman [T2],,pentoshi_footman,confirmed_id,Infantry,frontline_infantry,11.0,1,pentoshi_footman,exact tier-stripped display-name match,,3,3,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Pentoshi Man at Arms [T4],,pentoshi_man_at_arms,confirmed_id,Infantry,frontline_infantry,21.0,1,pentoshi_man_at_arms,exact tier-stripped display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Pentoshi Noble Youth [T2],,pentoshi_noble_recruit,confirmed_id,Infantry,frontline_infantry,11.0,1,pentoshi_noble_recruit,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Pentoshi Pike Warrior [T4],,pentoshi_pike_warrior,confirmed_id,Infantry,frontline_infantry,21.0,1,pentoshi_pike_warrior,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Pentoshi Recruit [T1],,pentoshi_recruit,confirmed_id,Infantry,frontline_infantry,6.0,1,pentoshi_recruit,exact tier-stripped display-name match,,3,3,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Pentoshi Soldier [T3],,pentoshi_soldier,confirmed_id,Infantry,frontline_infantry,16.0,1,pentoshi_soldier,exact tier-stripped display-name match,,8,8,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Reach Archer [T3],,reach_archer,confirmed_id,Ranged,ranged,16.0,1,reach_archer,exact tier-stripped display-name match,,5,5,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Reach Axeman [T5],,reach_axeman,confirmed_id,Infantry,frontline_infantry,26.0,1,reach_axeman,exact tier-stripped display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Reach Bowman [T2],,reach_bowman,confirmed_id,Ranged,ranged,11.0,1,reach_bowman,exact tier-stripped display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Reach Elite Archer [T4],,reach_elite_archer,confirmed_id,Ranged,ranged,21.0,1,reach_elite_archer,exact tier-stripped display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Reach Flower Knight [T6],,reach_flower_knight,confirmed_id,Cavalry,melee_cavalry,31.0,1,reach_flower_knight,exact tier-stripped display-name match,,11,11,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Reach Horseman [T5],,reach_knight,confirmed_id,Cavalry,melee_cavalry,26.0,1,reach_knight,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Reach Man at Arms [T4],,reach_hacker,confirmed_id,Infantry,frontline_infantry,21.0,1,reach_hacker,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Reach Master Archer [T5],,reach_master_archer,confirmed_id,Ranged,ranged,26.0,1,reach_master_archer,exact tier-stripped display-name match,,8,8,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Reach Recruit [T1],,reach_recruit,confirmed_id,Infantry,frontline_infantry,6.0,1,reach_recruit,exact tier-stripped display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Reach Rider [T4],,reach_rider,confirmed_id,Cavalry,melee_cavalry,21.0,1,reach_rider,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Reach Soldier [T3],,reach_soldier,confirmed_id,Infantry,frontline_infantry,16.0,1,reach_soldier,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Reaver [T4],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,10,10,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Rhoynar Caravan Guard [T4],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Tarly Soldier [T3],,tarly_soldier,confirmed_id,Infantry,frontline_infantry,16.0,1,tarly_soldier,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Tarly Vanguard [T6],,tarly_vanguard,confirmed_id,Infantry,frontline_infantry,31.0,1,tarly_vanguard,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Tyrell Elite Longbowman [T5],,tyrell_longbowman,confirmed_id,Ranged,ranged,26.0,1,tyrell_longbowman,exact tier-stripped display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
