display_name,observed_canonical_troop_ids,canonical_troop_id,resolution_status,default_group,canonical_role,level,candidate_count,candidate_troop_ids,resolution_method,blocking_reason,ordinary_occurrences,source_image_count,audit_path,audit_sha256
Northern Colonel,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,5,5,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Northern Man at Arms,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Northern Mounted Warlord,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,5,5,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Northern Raider,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Northern Recruit,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Northern Sergeant,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Northern Soldier,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Northern Warlord,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Northern Winter Champion,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,5,5,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Northern Winter Warrior,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Northern Woodsman,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Pirate,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Ravager,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,3,3,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Ravens' Teeth,,ravens_teeth,confirmed_id,Ranged,ranged,31.0,1,ravens_teeth,exact display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Realm Paladin,,realm_paladin,confirmed_id,Cavalry,melee_cavalry,31.0,1,realm_paladin,exact display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Reaver,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,7,7,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Riverlands Admiral,,river_admiral,confirmed_id,Infantry,frontline_infantry,31.0,1,river_admiral,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Robber Horseman,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Robber Knight,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,3,3,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Robber Squire,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,3,3,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Stark Sworn Sword,,stark_swornsword,confirmed_id,Infantry,frontline_infantry,31.0,1,stark_swornsword,exact display-name match,,5,5,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Vale House Guard,,vale_houseguard,confirmed_id,Infantry,frontline_infantry,26.0,1,vale_houseguard,exact display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Vale Master Archer,,vale_master_archer,confirmed_id,Ranged,ranged,26.0,1,vale_master_archer,exact display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerlands Banner Knight,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerlands Skirmisher,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerling Archer,,westerling_archer,confirmed_id,Ranged,ranged,21.0,1,westerling_archer,exact display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerling Elite Archer,westerling_elite_archer,westerling_elite_archer,confirmed_id,Ranged,ranged,26.0,1,westerling_elite_archer,exact display-name match,,17,17,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerling Footman,westerling_footman,westerling_footman,confirmed_id,Infantry,frontline_infantry,16.0,1,westerling_footman,exact display-name match,,6,6,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerling Hedgeknight,westerling_hedgeknight,westerling_hedgeknight,confirmed_id,Infantry,frontline_infantry,31.0,1,westerling_hedgeknight,exact display-name match,,20,20,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerling House Guard,westerling_houseguard,westerling_houseguard,confirmed_id,Infantry,frontline_infantry,26.0,1,westerling_houseguard,exact display-name match,,10,10,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerling Knight,,westerling_horseman,confirmed_id,Cavalry,melee_cavalry,26.0,1,westerling_horseman,exact display-name match,,14,14,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerling Levy,,westerling_levy,confirmed_id,Infantry,frontline_infantry,11.0,1,westerling_levy,exact display-name match,,7,7,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerling Man at Arms,westerling_man_at_arms,westerling_man_at_arms,confirmed_id,Infantry,frontline_infantry,21.0,1,westerling_man_at_arms,exact display-name match,,8,8,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerling Recruit,,westerling_recruit,confirmed_id,Infantry,frontline_infantry,6.0,1,westerling_recruit,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerling Scout,,westerling_rider,confirmed_id,Cavalry,melee_cavalry,21.0,1,westerling_rider,exact display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
White Harbor Knight Commander,whiteharbor_knight_commander,whiteharbor_knight_commander,confirmed_id,Cavalry,melee_cavalry,31.0,1,whiteharbor_knight_commander,exact display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
