occurrence_id,battle_id,captured_at,cohort,context,participant_scope,display_name,row_type,visibility_status,review_status,review_note,source_key,survivors,kills,upgrade_ready,deaths,wounded,routed,deployed,exclusion_reason
rot_2026_09_15_163702_egon_ko_jhago_victory_field__character__11__cedrik_storm,rot_2026_09_15_163702_egon_ko_jhago_victory_field,2026-09-15T16:37:02-03:00,Egon Emeros' Party,field,player_party,Cedrik Storm,character,complete,excluded_character,,src_20260915_163702,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163702_egon_ko_jhago_victory_field__character__12__senelle_of_duskendale,rot_2026_09_15_163702_egon_ko_jhago_victory_field,2026-09-15T16:37:02-03:00,Egon Emeros' Party,field,player_party,Senelle of Duskendale,character,complete,excluded_character,,src_20260915_163702,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163702_egon_ko_jhago_victory_field__character__13__uthero_the_restless,rot_2026_09_15_163702_egon_ko_jhago_victory_field,2026-09-15T16:37:02-03:00,Egon Emeros' Party,field,player_party,Uthero the Restless,character,complete,excluded_character,,src_20260915_163702,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163702_egon_ko_jhago_victory_field__character__14__xando_emeros,rot_2026_09_15_163702_egon_ko_jhago_victory_field,2026-09-15T16:37:02-03:00,Egon Emeros' Party,field,player_party,Xando Emeros,character,complete,excluded_character,,src_20260915_163702,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163702_egon_ko_jhago_victory_field__character__15__xhoana_emeros,rot_2026_09_15_163702_egon_ko_jhago_victory_field,2026-09-15T16:37:02-03:00,Egon Emeros' Party,field,player_party,Xhoana Emeros,character,complete,excluded_character,,src_20260915_163702,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163950_egon_yana_victory_field__character__05__egon_emeros,rot_2026_09_15_163950_egon_yana_victory_field,2026-09-15T16:39:50-03:00,Egon Emeros' Party,field,player_party,Egon Emeros,character,complete,excluded_character,,src_20260915_163950,1,1,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163950_egon_yana_victory_field__character__06__allia_emeros,rot_2026_09_15_163950_egon_yana_victory_field,2026-09-15T16:39:50-03:00,Egon Emeros' Party,field,player_party,Allia Emeros,character,complete,excluded_character,,src_20260915_163950,1,1,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163950_egon_yana_victory_field__character__07__bronn_of_the_blackwater,rot_2026_09_15_163950_egon_yana_victory_field,2026-09-15T16:39:50-03:00,Egon Emeros' Party,field,player_party,Bronn of the Blackwater,character,complete,excluded_character,,src_20260915_163950,1,1,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163950_egon_yana_victory_field__character__08__senelle_of_duskendale,rot_2026_09_15_163950_egon_yana_victory_field,2026-09-15T16:39:50-03:00,Egon Emeros' Party,field,player_party,Senelle of Duskendale,character,complete,excluded_character,,src_20260915_163950,1,1,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163950_egon_yana_victory_field__character__09__theon_greyjoy,rot_2026_09_15_163950_egon_yana_victory_field,2026-09-15T16:39:50-03:00,Egon Emeros' Party,field,player_party,Theon Greyjoy,character,complete,excluded_character,,src_20260915_163950,1,1,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163950_egon_yana_victory_field__character__10__cedrik_storm,rot_2026_09_15_163950_egon_yana_victory_field,2026-09-15T16:39:50-03:00,Egon Emeros' Party,field,player_party,Cedrik Storm,character,complete,excluded_character,,src_20260915_163950,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163950_egon_yana_victory_field__character__11__xhoana_emeros,rot_2026_09_15_163950_egon_yana_victory_field,2026-09-15T16:39:50-03:00,Egon Emeros' Party,field,player_party,Xhoana Emeros,character,complete,excluded_character,,src_20260915_163950,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163950_egon_yana_victory_field__character__12__uthero_the_restless,rot_2026_09_15_163950_egon_yana_victory_field,2026-09-15T16:39:50-03:00,Egon Emeros' Party,field,player_party,Uthero the Restless,character,complete,excluded_character,,src_20260915_163950,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163950_egon_yana_victory_field__character__13__xando_emeros,rot_2026_09_15_163950_egon_yana_victory_field,2026-09-15T16:39:50-03:00,Egon Emeros' Party,field,player_party,Xando Emeros,character,complete,excluded_character,,src_20260915_163950,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_164327_egon_jorah_mormont_victory_field__character__06__cedrik_storm,rot_2026_09_15_164327_egon_jorah_mormont_victory_field,2026-09-15T16:43:27-03:00,Egon Emeros' Party,field,player_party,Cedrik Storm,character,complete,excluded_character,,src_20260915_164327,1,1,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_164327_egon_jorah_mormont_victory_field__character__07__samwell_tarly,rot_2026_09_15_164327_egon_jorah_mormont_victory_field,2026-09-15T16:43:27-03:00,Egon Emeros' Party,field,player_party,Samwell Tarly,character,complete,excluded_character,,src_20260915_164327,1,1,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_164327_egon_jorah_mormont_victory_field__character__08__senelle_of_duskendale,rot_2026_09_15_164327_egon_jorah_mormont_victory_field,2026-09-15T16:43:27-03:00,Egon Emeros' Party,field,player_party,Senelle of Duskendale,character,complete,excluded_character,,src_20260915_164327,1,1,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_164327_egon_jorah_mormont_victory_field__character__09__egon_emeros,rot_2026_09_15_164327_egon_jorah_mormont_victory_field,2026-09-15T16:43:27-03:00,Egon Emeros' Party,field,player_party,Egon Emeros,character,complete,excluded_character,,src_20260915_164327,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_164327_egon_jorah_mormont_victory_field__character__10__allia_emeros,rot_2026_09_15_164327_egon_jorah_mormont_victory_field,2026-09-15T16:43:27-03:00,Egon Emeros' Party,field,player_party,Allia Emeros,character,complete,excluded_character,,src_20260915_164327,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_164327_egon_jorah_mormont_victory_field__character__11__bronn_of_the_blackwater,rot_2026_09_15_164327_egon_jorah_mormont_victory_field,2026-09-15T16:43:27-03:00,Egon Emeros' Party,field,player_party,Bronn of the Blackwater,character,complete,excluded_character,,src_20260915_164327,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_164327_egon_jorah_mormont_victory_field__character__12__maelor_of_elyria,rot_2026_09_15_164327_egon_jorah_mormont_victory_field,2026-09-15T16:43:27-03:00,Egon Emeros' Party,field,player_party,Maelor of Elyria,character,complete,excluded_character,,src_20260915_164327,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_164327_egon_jorah_mormont_victory_field__character__13__theon_greyjoy,rot_2026_09_15_164327_egon_jorah_mormont_victory_field,2026-09-15T16:43:27-03:00,Egon Emeros' Party,field,player_party,Theon Greyjoy,character,complete,excluded_character,,src_20260915_164327,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_164327_egon_jorah_mormont_victory_field__character__14__uthero_the_restless,rot_2026_09_15_164327_egon_jorah_mormont_victory_field,2026-09-15T16:43:27-03:00,Egon Emeros' Party,field,player_party,Uthero the Restless,character,complete,excluded_character,,src_20260915_164327,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_164327_egon_jorah_mormont_victory_field__character__15__xando_emeros,rot_2026_09_15_164327_egon_jorah_mormont_victory_field,2026-09-15T16:43:27-03:00,Egon Emeros' Party,field,player_party,Xando Emeros,character,complete,excluded_character,,src_20260915_164327,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_164327_egon_jorah_mormont_victory_field__character__16__xhoana_emeros,rot_2026_09_15_164327_egon_jorah_mormont_victory_field,2026-09-15T16:43:27-03:00,Egon Emeros' Party,field,player_party,Xhoana Emeros,character,complete,excluded_character,,src_20260915_164327,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_160422_egon_qarth_victory_siege_attack__character__11__bronn_of_the_blackwater,rot_2026_09_16_160422_egon_qarth_victory_siege_attack,2026-09-16T16:04:22-03:00,Egon Emeros' Party,siege_attack,player_party,Bronn of the Blackwater,character,complete,excluded_character,,src_20260916_160422,1,6,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_160422_egon_qarth_victory_siege_attack__character__12__allia_emeros,rot_2026_09_16_160422_egon_qarth_victory_siege_attack,2026-09-16T16:04:22-03:00,Egon Emeros' Party,siege_attack,player_party,Allia Emeros,character,complete,excluded_character,,src_20260916_160422,1,5,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_160422_egon_qarth_victory_siege_attack__character__13__xando_emeros,rot_2026_09_16_160422_egon_qarth_victory_siege_attack,2026-09-16T16:04:22-03:00,Egon Emeros' Party,siege_attack,player_party,Xando Emeros,character,complete,excluded_character,,src_20260916_160422,0,4,,0,1,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_160422_egon_qarth_victory_siege_attack__character__14__theon_greyjoy,rot_2026_09_16_160422_egon_qarth_victory_siege_attack,2026-09-16T16:04:22-03:00,Egon Emeros' Party,siege_attack,player_party,Theon Greyjoy,character,complete,excluded_character,,src_20260916_160422,1,2,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_160422_egon_qarth_victory_siege_attack__character__15__uthero_the_restless,rot_2026_09_16_160422_egon_qarth_victory_siege_attack,2026-09-16T16:04:22-03:00,Egon Emeros' Party,siege_attack,player_party,Uthero the Restless,character,complete,excluded_character,,src_20260916_160422,1,2,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_160422_egon_qarth_victory_siege_attack__character__16__samwell_tarly,rot_2026_09_16_160422_egon_qarth_victory_siege_attack,2026-09-16T16:04:22-03:00,Egon Emeros' Party,siege_attack,player_party,Samwell Tarly,character,complete,excluded_character,,src_20260916_160422,1,2,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_162456_egon_ko_mhago_alijin_victory_field__character__14__bronn_of_the_blackwater,rot_2026_09_16_162456_egon_ko_mhago_alijin_victory_field,2026-09-16T16:24:56-03:00,Egon Emeros' Party,field,player_party,Bronn of the Blackwater,character,complete,excluded_character,,src_20260916_162456,1,3,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_162456_egon_ko_mhago_alijin_victory_field__character__15__maelor_of_elyria,rot_2026_09_16_162456_egon_ko_mhago_alijin_victory_field,2026-09-16T16:24:56-03:00,Egon Emeros' Party,field,player_party,Maelor of Elyria,character,complete,excluded_character,,src_20260916_162456,1,2,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_162456_egon_ko_mhago_alijin_victory_field__character__16__egon_emeros,rot_2026_09_16_162456_egon_ko_mhago_alijin_victory_field,2026-09-16T16:24:56-03:00,Egon Emeros' Party,field,player_party,Egon Emeros,character,complete,excluded_character,,src_20260916_162456,1,2,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_162456_egon_ko_mhago_alijin_victory_field__character__17__uthero_the_restless,rot_2026_09_16_162456_egon_ko_mhago_alijin_victory_field,2026-09-16T16:24:56-03:00,Egon Emeros' Party,field,player_party,Uthero the Restless,character,complete,excluded_character,,src_20260916_162456,1,1,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_162711_egon_ko_heggo_victory_field__character__10__bronn_of_the_blackwater,rot_2026_09_16_162711_egon_ko_heggo_victory_field,2026-09-16T16:27:11-03:00,Egon Emeros' Party,field,player_party,Bronn of the Blackwater,character,complete,excluded_character,,src_20260916_162711,1,3,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_162711_egon_ko_heggo_victory_field__character__11__samwell_tarly,rot_2026_09_16_162711_egon_ko_heggo_victory_field,2026-09-16T16:27:11-03:00,Egon Emeros' Party,field,player_party,Samwell Tarly,character,complete,excluded_character,,src_20260916_162711,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_162711_egon_ko_heggo_victory_field__character__12__senelle_of_duskendale,rot_2026_09_16_162711_egon_ko_heggo_victory_field,2026-09-16T16:27:11-03:00,Egon Emeros' Party,field,player_party,Senelle of Duskendale,character,complete,excluded_character,,src_20260916_162711,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_162711_egon_ko_heggo_victory_field__character__13__theon_greyjoy,rot_2026_09_16_162711_egon_ko_heggo_victory_field,2026-09-16T16:27:11-03:00,Egon Emeros' Party,field,player_party,Theon Greyjoy,character,complete,excluded_character,,src_20260916_162711,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_162711_egon_ko_heggo_victory_field__character__14__uthero_the_restless,rot_2026_09_16_162711_egon_ko_heggo_victory_field,2026-09-16T16:27:11-03:00,Egon Emeros' Party,field,player_party,Uthero the Restless,character,complete,excluded_character,,src_20260916_162711,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_162711_egon_ko_heggo_victory_field__character__15__xhoana_emeros,rot_2026_09_16_162711_egon_ko_heggo_victory_field,2026-09-16T16:27:11-03:00,Egon Emeros' Party,field,player_party,Xhoana Emeros,character,complete,excluded_character,,src_20260916_162711,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_163218_egon_anat_victory_field__character__12__theon_greyjoy,rot_2026_09_16_163218_egon_anat_victory_field,2026-09-16T16:32:18-03:00,Egon Emeros' Party,field,player_party,Theon Greyjoy,character,complete,excluded_character,,src_20260916_163218,1,8,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_163218_egon_anat_victory_field__character__13__bronn_of_the_blackwater,rot_2026_09_16_163218_egon_anat_victory_field,2026-09-16T16:32:18-03:00,Egon Emeros' Party,field,player_party,Bronn of the Blackwater,character,complete,excluded_character,,src_20260916_163218,1,3,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_163218_egon_anat_victory_field__character__14__allia_emeros,rot_2026_09_16_163218_egon_anat_victory_field,2026-09-16T16:32:18-03:00,Egon Emeros' Party,field,player_party,Allia Emeros,character,complete,excluded_character,,src_20260916_163218,1,2,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_163218_egon_anat_victory_field__character__15__egon_emeros,rot_2026_09_16_163218_egon_anat_victory_field,2026-09-16T16:32:18-03:00,Egon Emeros' Party,field,player_party,Egon Emeros,character,complete,excluded_character,,src_20260916_163218,1,2,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_163218_egon_anat_victory_field__character__16__uthero_the_restless,rot_2026_09_16_163218_egon_anat_victory_field,2026-09-16T16:32:18-03:00,Egon Emeros' Party,field,player_party,Uthero the Restless,character,complete,excluded_character,,src_20260916_163218,1,2,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_163841_egon_chambui_ko_forzho_victory_field__character__15__bronn_of_the_blackwater,rot_2026_09_16_163841_egon_chambui_ko_forzho_victory_field,2026-09-16T16:38:41-03:00,Egon Emeros' Party,field,player_party,Bronn of the Blackwater,character,complete,excluded_character,,src_20260916_163841,1,1,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_163841_egon_chambui_ko_forzho_victory_field__character__16__maelor_of_elyria,rot_2026_09_16_163841_egon_chambui_ko_forzho_victory_field,2026-09-16T16:38:41-03:00,Egon Emeros' Party,field,player_party,Maelor of Elyria,character,complete,excluded_character,,src_20260916_163841,1,1,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_163841_egon_chambui_ko_forzho_victory_field__character__17__theon_greyjoy,rot_2026_09_16_163841_egon_chambui_ko_forzho_victory_field,2026-09-16T16:38:41-03:00,Egon Emeros' Party,field,player_party,Theon Greyjoy,character,complete,excluded_character,,src_20260916_163841,1,1,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_184527_egon_black_rat_victory_field__character__05__bronn_of_the_blackwater,rot_2026_09_16_184527_egon_black_rat_victory_field,2026-09-16T18:45:27-03:00,Egon Emeros' Party,field,player_party,Bronn of the Blackwater,character,complete,excluded_character,,src_20260916_184527,1,1,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_184527_egon_black_rat_victory_field__character__06__uthero_the_restless,rot_2026_09_16_184527_egon_black_rat_victory_field,2026-09-16T18:45:27-03:00,Egon Emeros' Party,field,player_party,Uthero the Restless,character,complete,excluded_character,,src_20260916_184527,1,1,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_184527_egon_black_rat_victory_field__character__07__xando_emeros,rot_2026_09_16_184527_egon_black_rat_victory_field,2026-09-16T18:45:27-03:00,Egon Emeros' Party,field,player_party,Xando Emeros,character,complete,excluded_character,,src_20260916_184527,1,1,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_184527_egon_black_rat_victory_field__character__08__egon_emeros,rot_2026_09_16_184527_egon_black_rat_victory_field,2026-09-16T18:45:27-03:00,Egon Emeros' Party,field,player_party,Egon Emeros,character,complete,excluded_character,,src_20260916_184527,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_184527_egon_black_rat_victory_field__character__09__allia_emeros,rot_2026_09_16_184527_egon_black_rat_victory_field,2026-09-16T18:45:27-03:00,Egon Emeros' Party,field,player_party,Allia Emeros,character,complete,excluded_character,,src_20260916_184527,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_184527_egon_black_rat_victory_field__character__10__maelor_of_elyria,rot_2026_09_16_184527_egon_black_rat_victory_field,2026-09-16T18:45:27-03:00,Egon Emeros' Party,field,player_party,Maelor of Elyria,character,complete,excluded_character,,src_20260916_184527,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_184527_egon_black_rat_victory_field__character__11__samwell_tarly,rot_2026_09_16_184527_egon_black_rat_victory_field,2026-09-16T18:45:27-03:00,Egon Emeros' Party,field,player_party,Samwell Tarly,character,complete,excluded_character,,src_20260916_184527,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_184527_egon_black_rat_victory_field__character__12__senelle_of_duskendale,rot_2026_09_16_184527_egon_black_rat_victory_field,2026-09-16T18:45:27-03:00,Egon Emeros' Party,field,player_party,Senelle of Duskendale,character,complete,excluded_character,,src_20260916_184527,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_184527_egon_black_rat_victory_field__character__13__theon_greyjoy,rot_2026_09_16_184527_egon_black_rat_victory_field,2026-09-16T18:45:27-03:00,Egon Emeros' Party,field,player_party,Theon Greyjoy,character,complete,excluded_character,,src_20260916_184527,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_16_184527_egon_black_rat_victory_field__character__14__xhoana_emeros,rot_2026_09_16_184527_egon_black_rat_victory_field,2026-09-16T18:45:27-03:00,Egon Emeros' Party,field,player_party,Xhoana Emeros,character,complete,excluded_character,,src_20260916_184527,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
