track,game_version,cohort,context,participant_scope,efficiency_rank,impact_rank,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,evidence_grade,independent_battles,ordinary_occurrences,complete_numeric_occurrences,excluded_partial_occurrences,deployed,survivors,kills,deaths,wounded,routed,known_deployed,known_kills,kills_per_deployed,ci95_low,ci95_high,verified_player_side_total_kills,kill_total_coverage_battles,kill_total_coverage_complete,player_side_kill_share,share_adjusted_impact,verified_player_side_total_deployed,deployment_total_coverage_battles,deployment_total_coverage_complete,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap,retention_rate,death_rate,casualty_rate,victory_battles,numeric_display_gate_passed,reliability_status,more_battles_needed,more_deployed_needed,missing_numeric_fields,role_adjusted_rank_status
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,18,20,Qartheen Pureborn Fighter,qartheen_pureborn,confirmed_id,Infantry,frontline_infantry,low,8,8,8,0,27,27,10,0,0,0,27,10,0.370370,0.150000,0.650000,1096,8,true,0.009124,0.003379,1125,8,true,0.024000,0.380170,-0.014876,1.000000,0.000000,0.000000,8,true,reliable,0,0,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,19,18,Braavosi Captain,,unresolved_provisional_label,,,exploratory,1,1,1,0,6,6,2,0,0,0,6,2,0.333333,,,173,1,true,0.011561,0.003854,258,1,true,0.023256,0.497110,-0.011695,1.000000,0.000000,0.000000,1,false,insufficient_battles,4,14,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,20,19,Dothraki Nomad,,unresolved_provisional_label,,,low,2,2,2,0,21,15,6,2,4,0,21,6,0.285714,,,472,2,true,0.012712,0.003632,346,2,true,0.060694,0.209443,-0.047982,0.714286,0.095238,0.285714,2,false,insufficient_battles,3,0,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,21,21,Dothraki Footman,,unresolved_provisional_label,,,exploratory,1,1,1,0,7,6,2,1,0,0,7,2,0.285714,,,277,1,true,0.007220,0.002063,173,1,true,0.040462,0.178442,-0.033242,0.857143,0.142857,0.142857,1,false,insufficient_battles,4,13,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,22,22,Qartheen Pureborn Champion,qartheen_champion,confirmed_id,Ranged,ranged,low,5,5,5,0,12,12,3,0,0,0,12,3,0.250000,,,451,5,true,0.006652,0.001663,521,5,true,0.023033,0.288803,-0.016381,1.000000,0.000000,0.000000,5,false,insufficient_deployed,0,8,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,23,23,Qartheen Pureborn Youth,qartheen_noble_recruit,confirmed_id,Infantry,frontline_infantry,low,2,2,2,0,15,15,2,0,0,0,15,2,0.133333,,,194,2,true,0.010309,0.001375,277,2,true,0.054152,0.190378,-0.043842,1.000000,0.000000,0.000000,2,false,insufficient_battles,3,5,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,24,25,Broken Man,,unresolved_provisional_label,,,low,2,2,2,0,14,14,1,0,0,0,14,1,0.071429,,,297,2,true,0.003367,0.000241,430,2,true,0.032558,0.103415,-0.029191,1.000000,0.000000,0.000000,2,false,insufficient_battles,3,6,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,25,24,Rhoynar Peasant,,unresolved_provisional_label,,,exploratory,1,1,1,0,15,14,1,0,1,0,15,1,0.066667,,,173,1,true,0.005780,0.000385,258,1,true,0.058140,0.099422,-0.052359,0.933333,0.000000,0.066667,1,false,insufficient_battles,4,5,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,26,26,Braavosi Footman,,unresolved_provisional_label,,,exploratory,1,1,1,0,3,3,0,0,0,0,3,0,0.000000,,,124,1,true,0.000000,0.000000,172,1,true,0.017442,0.000000,-0.017442,1.000000,0.000000,0.000000,1,false,insufficient_battles,4,17,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,27,27,Westerlands Infantry,,unresolved_provisional_label,,,exploratory,1,1,1,0,2,2,0,0,0,0,2,0,0.000000,,,124,1,true,0.000000,0.000000,172,1,true,0.011628,0.000000,-0.011628,1.000000,0.000000,0.000000,1,false,insufficient_battles,4,18,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,28,28,Broken Archer,,unresolved_provisional_label,,,exploratory,1,1,1,0,1,1,0,0,0,0,1,0,0.000000,,,124,1,true,0.000000,0.000000,172,1,true,0.005814,0.000000,-0.005814,1.000000,0.000000,0.000000,1,false,insufficient_battles,4,19,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,,,Qartheen Pureborn Warrior,qartheen_pureborn_warrior,confirmed_id,Infantry,frontline_infantry,exploratory_incomplete_numeric,5,5,3,2,,,,,,,11,4,,,,554,5,true,,,674,5,true,,,,,,,5,false,insufficient_missing_numeric_values,0,,survivors|kills|upgrade_ready|deaths|wounded|routed,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,siege_attack,player_party,1,3,Qartheen Soldier,qartheen_warrior,confirmed_id,Infantry,frontline_infantry,exploratory,1,1,1,0,1,1,5,0,0,0,1,5,5.000000,,,314,1,true,0.015924,0.079618,150,1,true,0.006667,2.388535,0.009257,1.000000,0.000000,0.000000,1,false,insufficient_battles,4,19,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,siege_attack,player_party,2,1,Qartheen Enthroned Guardian,enthroned_guardian,confirmed_id,Ranged,ranged,exploratory,1,1,1,0,86,64,247,8,14,0,86,247,2.872093,,,314,1,true,0.786624,2.259258,150,1,true,0.573333,1.372019,0.213291,0.744186,0.093023,0.255814,1,false,insufficient_battles,4,0,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,siege_attack,player_party,3,2,Qartheen Pureborn Warrior,qartheen_pureborn_warrior,confirmed_id,Infantry,frontline_infantry,exploratory,1,1,1,0,5,4,13,0,1,0,5,13,2.600000,,,314,1,true,0.041401,0.107643,150,1,true,0.033333,1.242038,0.008068,0.800000,0.000000,0.200000,1,false,insufficient_battles,4,15,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,siege_attack,player_party,4,4,Dothraki Khal's Guard,,unresolved_provisional_label,,,exploratory,1,1,1,0,5,4,5,1,0,0,5,5,1.000000,,,314,1,true,0.015924,0.015924,150,1,true,0.033333,0.477707,-0.017410,0.800000,0.200000,0.200000,1,false,insufficient_battles,4,15,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,siege_attack,player_party,5,5,Nomad Bandit,,unresolved_provisional_label,,,exploratory,1,1,1,0,5,1,5,0,4,0,5,5,1.000000,,,314,1,true,0.015924,0.015924,150,1,true,0.033333,0.477707,-0.017410,0.200000,0.000000,0.800000,1,false,insufficient_battles,4,15,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,siege_attack,player_party,6,6,Ghiscari Footman,ghiscari_footman,confirmed_id,Infantry,frontline_infantry,exploratory,1,1,1,0,3,0,3,1,2,0,3,3,1.000000,,,314,1,true,0.009554,0.009554,150,1,true,0.020000,0.477707,-0.010446,0.000000,0.333333,1.000000,1,false,insufficient_battles,4,17,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,siege_attack,player_party,7,7,Harami,,unresolved_provisional_label,,,exploratory,1,1,1,0,2,1,2,0,1,0,2,2,1.000000,,,314,1,true,0.006369,0.006369,150,1,true,0.013333,0.477707,-0.006964,0.500000,0.000000,0.500000,1,false,insufficient_battles,4,18,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,siege_attack,player_party,8,8,Braavosi Footman,,unresolved_provisional_label,,,exploratory,1,1,1,0,5,0,3,2,3,0,5,3,0.600000,,,314,1,true,0.009554,0.005732,150,1,true,0.033333,0.286624,-0.023779,0.000000,0.400000,1.000000,1,false,insufficient_battles,4,15,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,siege_attack,player_party,9,9,Dornish Bowman,,unresolved_provisional_label,,,exploratory,1,1,1,0,5,3,3,0,2,0,5,3,0.600000,,,314,1,true,0.009554,0.005732,150,1,true,0.033333,0.286624,-0.023779,0.600000,0.000000,0.400000,1,false,insufficient_battles,4,15,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,siege_attack,player_party,10,10,Broken Guard,,unresolved_provisional_label,,,exploratory,1,1,1,0,2,1,1,0,1,0,2,1,0.500000,,,314,1,true,0.003185,0.001592,150,1,true,0.013333,0.238854,-0.010149,0.500000,0.000000,0.500000,1,false,insufficient_battles,4,18,,not_published_fewer_than_five_reliable_same_role_rows
