priority_tier,priority_reason,observation_id,battle_id,battle_type,source_image_indices,side,player_side,parent_group,display_name_raw,display_name_normalized,canonical_name_slug,uncertain_core_fields,sample_battles,sample_deployed,survivors,kills,deaths,wounded,routed,deployed,ocr_confidence
P1,player_core_uncertainty_below_display_gate,battle_20260723_104235_attacker_049_westerlands_skirmisher_t5,battle_20260723_104235,field,23,attacker,attacker,TyrionLannister's Party,Westerlands Skirmisher [T5],Westerlands Skirmisher [T5],westerlands_skirmisher_t5,survivors,5,9,0,4,0,2,0,2,0.802
P1,player_core_uncertainty_below_display_gate,battle_20260723_111115_attacker_039_westerlands_skirmisher_t5,battle_20260723_111115,siege_attack,25,attacker,attacker,,Westerlands Skirmisher [T5),Westerlands Skirmisher [T5,westerlands_skirmisher_t5,survivors,5,9,0,4,0,2,0,2,0.838
P1,player_core_uncertainty_below_display_gate,battle_20260723_234233_attacker_006_celtigar_footman_t3,battle_20260723_234233,siege_attack,44;45,attacker,attacker,Hake's Party,Celtigar Footman [T3],Celtigar Footman [T3],celtigar_footman_t3,kills;deaths;wounded,4,821,29,250,9,732,0,770,0.55
P1,player_core_uncertainty_below_display_gate,battle_20260716_181929_defender_029_battanian_hero,battle_20260716_181929,field,10,defender,defender,Faldrec's Party,Battanian Hero,Battanian Hero,battanian_hero,survivors,4,30,7,4,0,0,0,7,0.866
P1,player_core_uncertainty_below_display_gate,battle_20260723_235732_attacker_005_celtigar_halberdier_t5,battle_20260723_235732,field,46,attacker,attacker,,Celtigar Halberdier [75],Celtigar Halberdier [T5],celtigar_halberdier_t5,survivors,4,28,2,53,0,2,0,4,0.716
P1,player_core_uncertainty_below_display_gate,battle_20260723_122343_attacker_018_guardian_of_oldtown_t6,battle_20260723_122343,siege_attack,28,attacker,attacker,,Guardian of Oldtown [T6],Guardian of Oldtown [T6],guardian_of_oldtown_t6,kills,4,21,4,,1,1,0,6,0.914
P1,player_core_uncertainty_below_display_gate,battle_20260723_111115_attacker_004_baratheon_house_guard_t5,battle_20260723_111115,siege_attack,24;26,attacker,attacker,,Baratheon House Guard [T5],Baratheon House Guard [T5],baratheon_house_guard_t5,survivors,4,20,0,1,0,1,0,1,0.81
P1,player_core_uncertainty_below_display_gate,battle_20260723_122343_attacker_007_baratheon_house_guard_t5,battle_20260723_122343,siege_attack,28,attacker,attacker,,Baratheon House Guard [T5],Baratheon House Guard [T5],baratheon_house_guard_t5,kills,4,20,4,22,4,8,0,16,0.815
P1,player_core_uncertainty_below_display_gate,battle_20260716_181929_defender_024_rhodok_pikegarde,battle_20260716_181929,field,10,defender,defender,Faldrec's Party,Rhodok Pikegarde |,Rhodok Pikegarde,rhodok_pikegarde,deaths,4,16,4,8,1,0,0,5,0.927
P1,player_core_uncertainty_below_display_gate,battle_20260716_194913_attacker_012_rhodok_pikegarde,battle_20260716_194913,field,13,attacker,attacker,Faldrec's Party,Rhadok Pikegarde,Rhodok Pikegarde,rhodok_pikegarde,kills,4,16,2,,0,0,0,2,0.878
