context,rank,display_name,provisional_slug,canonical_troop_id,identity_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,historical_kills_per_deployed,current_batch_kills_per_deployed,kills_per_deployed,impact_rank,verified_player_side_total_kills,player_side_kill_share,share_adjusted_impact,kill_share_coverage_battles,kill_share_coverage_complete,kill_share_status,kill_share_denominator_provenance,death_rate,casualty_rate,ci95_low,ci95_high,reliability_status,more_battles_needed,more_deployed_needed
field,12,Mallister Knight [T5],mallister_knight,mallister_horseman,confirmed_id,5,37,31,30,1,5,0,,0.810811,0.810811,13,1029,0.029155,0.023639,5,True,complete,battle_metadata_and_side_total,0.027027,0.162162,0.343750,1.257143,reliable,0,0
field,13,Frey Crossbowman [T3],frey_crossbowman,,unresolved,1,16,16,12,0,0,0,,0.750000,0.750000,11,307,0.039088,0.029316,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence,4,4
field,14,Mallister Eagle Knight [T6],mallister_eagle_knight,mallister_knight,confirmed_id,5,159,131,102,9,19,0,,0.641509,0.641509,6,1029,0.099125,0.063590,5,True,complete,battle_metadata_and_side_total,0.056604,0.176101,0.352941,1.031250,reliable,0,0
field,15,Blackwood Levy [T2],blackwood_levy,blackwood_levy,confirmed_id,1,5,4,3,0,1,0,,0.600000,0.600000,15,211,0.014218,0.008531,1,True,complete,battle_metadata_and_side_total,0.000000,0.200000,,,insufficient_evidence,4,15
field,16,Blackwood Bowman [T3],blackwood_bowman,blackwood_bowman,confirmed_id,2,20,20,9,0,0,0,,0.450000,0.450000,18,518,0.017375,0.007819,2,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence,3,0
field,17,Mallister Horseman [T4],mallister_horseman,mallister_rider,confirmed_id,4,52,33,20,6,13,0,,0.384615,0.384615,16,927,0.021575,0.008298,4,True,complete,battle_metadata_and_side_total,0.115385,0.365385,,,insufficient_evidence,1,0
field,18,Mallister Levy [T2],mallister_levy,,unresolved,1,26,18,9,2,6,0,,0.346154,0.346154,14,211,0.042654,0.014765,1,True,complete,battle_metadata_and_side_total,0.076923,0.307692,,,insufficient_evidence,4,0
siege_attack,1,Riverrun Captain [T6],riverrun_captain,riverrun_captain,confirmed_id,1,1,1,8,0,0,0,,8.000000,8.000000,3,365,0.021918,0.175342,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence,4,19
siege_attack,2,Ravens' Teeth [T6],ravens_teeth,ravens_teeth,confirmed_id,2,50,45,166,1,4,0,,3.320000,3.320000,1,920,0.180435,0.599043,2,True,complete,battle_metadata_and_side_total,0.020000,0.100000,,,insufficient_evidence,3,0
siege_attack,3,Westerlands Levy Crossbowman [T2],westerlands_levy_crossbowman,,unresolved,1,1,1,3,0,0,0,,3.000000,3.000000,8,365,0.008219,0.024658,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence,4,19
siege_attack,4,Mallister Man at Arms [T4],mallister_man_at_arms,mallister_man_at_arms,confirmed_id,2,5,4,8,0,1,0,,1.600000,1.600000,10,920,0.008696,0.013913,2,True,complete,battle_metadata_and_side_total,0.000000,0.200000,,,insufficient_evidence,3,15
siege_attack,5,Frey Assassin [T6],frey_assassin,frey_assassin,confirmed_id,1,51,44,81,2,5,0,,1.588235,1.588235,2,365,0.221918,0.352458,1,True,complete,battle_metadata_and_side_total,0.039216,0.137255,,,insufficient_evidence,4,0
siege_attack,6,Frey Sharpshooter [T5],frey_sharpshooter,frey_sharpshooter,confirmed_id,1,9,8,14,0,1,0,,1.555556,1.555556,7,365,0.038356,0.059665,1,True,complete,battle_metadata_and_side_total,0.000000,0.111111,,,insufficient_evidence,4,11
siege_attack,7,Riverlands Admiral [T6],riverlands_admiral,river_admiral,confirmed_id,1,2,2,3,0,0,0,,1.500000,1.500000,12,365,0.008219,0.012329,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence,4,18
siege_attack,8,Blackwood Longbowman [T5],blackwood_longbowman,blackwood_longbowman,confirmed_id,2,15,13,17,0,2,0,,1.133333,1.133333,9,920,0.018478,0.020942,2,True,complete,battle_metadata_and_side_total,0.000000,0.133333,,,insufficient_evidence,3,5
siege_attack,9,Mallister Eagle Knight [T6],mallister_eagle_knight,mallister_knight,confirmed_id,2,55,46,59,1,8,0,,1.072727,1.072727,5,920,0.064130,0.068794,2,True,complete,battle_metadata_and_side_total,0.018182,0.163636,,,insufficient_evidence,3,0
siege_attack,10,Mallister House Guard [T5],mallister_house_guard,mallister_houseguard,confirmed_id,2,60,44,61,2,14,0,,1.016667,1.016667,6,920,0.066304,0.067409,2,True,complete,battle_metadata_and_side_total,0.033333,0.266667,,,insufficient_evidence,3,0
siege_attack,11,Mallister Elite Archer [T5],mallister_elite_archer,mallister_elite_archer,confirmed_id,1,52,26,50,5,21,0,,0.961538,0.961538,4,555,0.090090,0.086625,1,True,complete,battle_metadata_and_side_total,0.096154,0.500000,,,insufficient_evidence,4,0
siege_attack,12,Mallister Knight [T5],mallister_knight,mallister_horseman,confirmed_id,2,16,7,14,3,6,0,,0.875000,0.875000,11,920,0.015217,0.013315,2,True,complete,battle_metadata_and_side_total,0.187500,0.562500,,,insufficient_evidence,3,4
siege_attack,13,Blackwood Archer [T4],blackwood_archer,blackwood_archer,confirmed_id,1,5,1,4,0,4,0,,0.800000,0.800000,13,555,0.007207,0.005766,1,True,complete,battle_metadata_and_side_total,0.000000,0.800000,,,insufficient_evidence,4,15
siege_attack,14,Knight of the Vale [T6],knight_of_the_vale,,unresolved,1,7,7,3,0,0,0,,0.428571,0.428571,14,365,0.008219,0.003523,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence,4,13
siege_attack,15,Westerlands Recruit [T1],westerlands_recruit,,unresolved,1,9,5,2,1,3,0,,0.222222,0.222222,15,365,0.005479,0.001218,1,True,complete,battle_metadata_and_side_total,0.111111,0.444444,,,insufficient_evidence,4,11
siege_attack,16,Mallister Horseman [T4],mallister_horseman,mallister_rider,confirmed_id,1,29,12,2,0,17,0,,0.068966,0.068966,16,555,0.003604,0.000249,1,True,complete,battle_metadata_and_side_total,0.000000,0.586207,,,insufficient_evidence,4,0
siege_attack,17,Blackwood Bowman [T3],blackwood_bowman,blackwood_bowman,confirmed_id,1,4,4,0,0,0,0,,0.000000,0.000000,17,555,0.000000,0.000000,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence,4,16
siege_attack,17,Blackwood Levy [T2],blackwood_levy,blackwood_levy,confirmed_id,1,5,5,0,0,0,0,,0.000000,0.000000,17,555,0.000000,0.000000,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence,4,15
siege_attack,17,Mallister Footman [T3],mallister_footman,mallister_footman,confirmed_id,1,38,38,0,0,0,0,,0.000000,0.000000,17,555,0.000000,0.000000,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence,4,0
