rank,tier,troop_id,troop_name,culture,tree_tier,level,line_status_corrected,n_rosters,shock_cav_index,horse_charge,horse_speed,horse_maneuver,mounted_armor,effective_armor,harness_armor,melee_template,rider_skill,Polearm,Riding,defensive_role_score,offensive_melee_role_score
11,A,tutorial_npc_advanced_melee_normal,Training Master,battania,,4.0,special_or_unlinked,2,53.50762030051638,35.0,65.0,65.0,20.875,5.800000000000001,33.5,OneHandedSword,,,,46.59492631655348,
12,A,vlandian_vanguard,Vlandian Vanguard,vlandia,5.0,26.0,main_or_minor_line,3,52.13060681722588,30.0,46.0,58.0,60.80000000000001,37.400000000000006,52.0,TwoHandedPolearm,130.0,130.0,130.0,77.64829049948433,37.3082527609393
13,A,khuzait_heavy_lancer,Khuzait Heavy Lancer,khuzait,5.0,26.0,main_or_minor_line,3,52.05267090861905,20.0,60.0,77.0,66.33333333333334,49.23333333333334,38.0,TwoHandedPolearm,130.0,130.0,150.0,77.00402923075727,37.21719640439785
14,B,khuzait_lancer,Khuzait Lancer,khuzait,4.0,21.0,main_or_minor_line,3,49.03620122282029,20.0,60.0,77.0,60.80000000000001,43.70000000000001,38.0,TwoHandedPolearm,100.0,100.0,100.0,71.82136297627925,31.434675797192508
15,B,imperial_heavy_horseman,Imperial Heavy Horseman,empire,3.0,21.0,noble_line,3,48.8546229501877,26.0,50.0,60.0,58.31666666666666,31.316666666666663,60.0,TwoHandedPolearm,150.0,150.0,110.0,68.25220750408509,39.34694919998396
16,B,conspiracy_battlerider,Conspiracy Battle Rider,sturgia,,26.0,special_or_unlinked,1,48.748517660376336,20.0,57.0,63.0,78.2,53.45,55.0,TwoHandedPolearm,160.0,160.0,120.0,88.1422450546853,43.61555905526033
17,B,druzhinnik,Sturgian Druzhinnik,sturgia,4.0,26.0,noble_line,3,46.23539180859234,20.0,57.0,63.0,72.35,47.6,55.0,TwoHandedPolearm,140.0,140.0,120.0,89.20550635558547,40.625029960175155
18,B,ghilman_tier_3,Ghulam,darshi,3.0,21.0,main_or_minor_line,1,45.32298419490677,24.0,48.0,67.0,57.8,53.3,10.0,TwoHandedPolearm,110.0,110.0,100.0,70.67416226551359,32.95588039146755
19,B,vlandian_cavalry,Vlandian Cavalry,vlandia,4.0,21.0,main_or_minor_line,3,44.70316205751275,30.0,46.0,58.0,33.8,29.3,10.0,TwoHandedPolearm,110.0,110.0,120.0,52.94035127826112,30.449480745118706
20,B,aserai_veteran_faris,Aserai Veteran Faris,aserai,4.0,26.0,noble_line,3,44.133497430340135,18.0,51.0,73.0,72.86666666666667,46.76666666666667,58.0,TwoHandedPolearm,130.0,130.0,160.0,79.1711666704302,37.297605041827595
21,B,vlandian_gallant,Vlandian Gallant,vlandia,2.0,16.0,noble_line,2,43.74285239912002,30.0,46.0,58.0,32.15,25.4,15.0,TwoHandedPolearm,100.0,100.0,70.0,51.66741570698582,28.586227353448447
22,B,conspiracy_mounted_fighter,Conspiracy Mounted Fighter,empire,,26.0,special_or_unlinked,3,43.390302925164804,26.0,50.0,60.0,32.31666666666668,25.566666666666674,15.0,TwoHandedPolearm,160.0,160.0,120.0,50.56749546029611,38.530832584149415
23,B,battanian_horseman,Battanian Horseman,battania,5.0,26.0,main_or_minor_line,3,41.41915639331539,22.0,45.0,66.0,58.48333333333334,40.48333333333334,40.0,TwoHandedPolearm,130.0,130.0,130.0,69.49448870854197,36.15583910659804
24,B,sturgian_horse_raider,Sturgian Horse Raider,sturgia,5.0,26.0,main_or_minor_line,3,39.15251462188129,20.0,57.0,63.0,44.35,39.25,11.333333333333334,TwoHandedPolearm,130.0,80.0,130.0,61.54048944272799,34.805781755779925
25,B,battanian_mounted_skirmisher,Battanian Mounted Skirmisher,battania,,26.0,special_or_unlinked,3,39.01356098640444,22.0,45.0,66.0,61.15,43.15,40.0,OneHandedAxe|OneHandedSword,130.0,80.0,130.0,67.81115490620682,24.645269037851698
26,B,beni_zilal_tier_3,Beni Zilal Royal Guard,aserai,3.0,21.0,main_or_minor_line,3,38.13503901974115,18.0,51.0,73.0,52.01666666666667,25.91666666666667,58.0,TwoHandedPolearm,110.0,110.0,110.0,39.39348876469497,30.53356100982834
27,B,jawwal_tier_3,Jawwal Bedouin,aserai,3.0,21.0,main_or_minor_line,3,35.377982444793204,24.0,48.0,67.0,10.033333333333335,5.533333333333334,10.0,TwoHandedPolearm,130.0,130.0,80.0,36.240505289476936,31.23002066416107
28,B,aserai_faris,Aserai Faris,aserai,3.0,21.0,noble_line,3,34.95564120775548,18.0,51.0,73.0,38.333333333333336,32.93333333333334,12.0,TwoHandedPolearm,110.0,110.0,100.0,53.060400493107664,30.24056515289255
29,B,varyag_veteran,Varyag Veteran,sturgia,3.0,21.0,noble_line,3,29.419218099447384,16.0,48.0,65.0,50.65,43.6,15.666666666666666,TwoHandedPolearm,110.0,70.0,80.0,66.05028874854848,32.3023674519187
30,C,sturgian_hardened_brigand,Sturgian Hardened Brigand,sturgia,4.0,21.0,main_or_minor_line,3,29.268141806198567,18.0,49.0,63.0,40.0,28.75,25.0,TwoHandedPolearm,100.0,45.0,100.0,56.65813206996312,29.06570515993019
31,C,battanian_scout,Battanian Scout,battania,4.0,21.0,main_or_minor_line,3,27.980919975845747,20.0,46.0,57.0,38.0,31.250000000000004,15.0,TwoHandedPolearm,100.0,100.0,100.0,50.68231944448055,28.446999246994757
32,C,vlandian_light_cavalry,Vlandian Light Cavalry,vlandia,3.0,16.0,main_or_minor_line,3,27.912644268592402,22.0,44.0,61.0,24.600000000000005,20.100000000000005,10.0,TwoHandedPolearm,80.0,80.0,60.0,45.97557522399769,24.415086506512427
33,C,imperial_equite,Imperial Equite,empire,2.0,16.0,noble_line,3,25.79373548834177,20.0,47.0,55.0,30.450000000000003,23.700000000000003,15.0,TwoHandedPolearm,100.0,100.0,70.0,45.220126929861266,27.675002895123622
34,C,tutorial_placeholder_volunteer,Headman's Troop,empire,,21.0,special_or_unlinked,5,25.675357061656634,20.0,47.0,55.0,12.56,5.8100000000000005,15.0,TwoHandedPolearm,170.0,170.0,140.0,34.615794272829056,37.95965022415677
35,C,eleftheroi_tier_3,Veteran Eleftheroi,empire,3.0,21.0,main_or_minor_line,1,25.340642255695823,20.0,47.0,55.0,28.5,17.25,25.0,TwoHandedPolearm,100.0,100.0,100.0,18.703060500809215,26.15182831805836
36,C,ghilman_tier_2,Ghilman,darshi,2.0,16.0,main_or_minor_line,1,24.1248346341374,14.0,54.0,59.0,49.1,23.0,58.0,TwoHandedPolearm,80.0,80.0,60.0,55.591694225288826,25.774176060439085
37,C,vlandian_squire,Vlandian Squire,vlandia,1.0,11.0,noble_line,3,24.01133391760154,22.0,44.0,61.0,16.5,12.000000000000002,10.0,TwoHandedPolearm,45.0,40.0,40.0,37.42872210257783,18.998761994038077
38,C,conspiracy_noble_horseman,Conspiracy Noble Horseman,empire,,16.0,special_or_unlinked,3,23.183794843257353,20.0,47.0,55.0,24.183333333333337,17.433333333333337,15.0,TwoHandedPolearm,80.0,80.0,50.0,40.12838464476006,23.588676638353213
39,C,jawwal_tier_2,Jawwal Camel Rider,aserai,2.0,16.0,main_or_minor_line,4,22.81167761011776,20.0,44.0,60.0,11.5,7.000000000000001,10.0,TwoHandedPolearm,110.0,110.0,40.0,34.18016814339849,27.572136594681847
40,C,khuzait_horseman,Khuzait Horseman,khuzait,3.0,16.0,main_or_minor_line,3,21.51895010333274,16.0,45.0,67.0,28.81666666666667,21.61666666666667,16.0,TwoHandedPolearm,70.0,70.0,70.0,43.71676404190817,22.41249485957008
41,C,eleftheroi_tier_2,Expert Eleftheroi,empire,2.0,16.0,main_or_minor_line,1,21.228229109736347,20.0,47.0,55.0,18.25,13.750000000000002,10.0,TwoHandedPolearm,70.0,70.0,70.0,10.610827226273392,19.95808545550457
42,C,conspiracy_raider,Conspiracy Raider,battania,,16.0,special_or_unlinked,1,19.354171325135432,16.0,45.0,67.0,19.5,12.3,16.0,TwoHandedPolearm,70.0,70.0,70.0,31.799229484305226,20.72813584491735
43,C,beni_zilal_tier_2,Beni Zilal Soldier,aserai,2.0,16.0,main_or_minor_line,5,19.13159039169188,14.8,53.4,61.8,22.590000000000003,17.19,12.0,TwoHandedPolearm,60.0,60.0,90.0,16.831615003534047,18.92807115873413
44,C,aserai_tribal_horseman,Aserai Tribal Horseman,aserai,2.0,16.0,noble_line,3,17.80098542690161,14.0,54.0,59.0,24.366666666666667,18.966666666666665,12.0,TwoHandedPolearm,70.0,70.0,80.0,38.78170034217388,21.489117314948796
45,C,aserai_mameluke_regular,Aserai Mamluke Regular,aserai,3.0,16.0,main_or_minor_line,3,16.890926369877697,14.0,54.0,59.0,20.450000000000003,15.05,12.0,TwoHandedPolearm,70.0,70.0,70.0,34.21546902480147,21.06963389822057
46,C,eleftheroi_tier_1,Recruit Eleftheroi,empire,1.0,11.0,main_or_minor_line,2,16.761473820297354,20.0,47.0,55.0,6.475,2.875,8.0,TwoHandedPolearm,40.0,40.0,40.0,0.1363859540652102,15.95266985381716
47,C,aserai_youth,Aserai Youth,aserai,1.0,11.0,noble_line,3,15.849292285112623,14.0,54.0,59.0,18.450000000000003,13.050000000000002,12.0,TwoHandedPolearm,60.0,60.0,30.0,29.82514021774992,18.765785232962685
48,D,beni_zilal_tier_1,Beni Zilal Recruit,aserai,1.0,11.0,main_or_minor_line,3,13.363274575452742,14.0,54.0,59.0,12.716666666666667,8.216666666666667,10.0,TwoHandedPolearm,40.0,40.0,40.0,8.757566522873574,16.945257572664506
49,D,ghilman_tier_1,Koleman,darshi,1.0,11.0,main_or_minor_line,1,12.999250952643177,14.0,54.0,59.0,11.15,5.75,12.0,TwoHandedPolearm,40.0,40.0,40.0,24.850300178990327,17.22099678138477
