rank,tier,troop_id,troop_name,culture,tree_tier,level,line_status_corrected,n_rosters,ranged_role_score,ranged_score_base,bow_damage,bow_item,Bow,arrow_stack,bow_speed,bow_accuracy,effective_armor,has_shield
24,C,wolfskins_tier_2,Seasoned Wolf,battania,2.0,16.0,main_or_minor_line,2,18.781756086449036,72.0,58.0,lowland_longbow,80.0,20.0,80.0,94.0,16.550000000000004,True
25,C,conspiracy_trained_huntsman,Conspiracy Trained Huntsman,empire,,16.0,special_or_unlinked,3,18.759204080069168,61.504,41.333333333333336,hunting_bow|mountain_hunting_bow,110.0,20.0,86.66666666666667,84.0,12.516666666666667,False
26,D,conspiracy_trained_bowman,Conspiracy Trained Bowman,aserai,,16.0,special_or_unlinked,3,17.535935645615034,73.792,52.0,composite_bow,80.0,40.0,90.0,94.0,24.933333333333337,False
27,D,forest_people_tier_2,Expert Forester,vakken,2.0,16.0,main_or_minor_line,1,16.26421834976984,71.68,46.0,nordic_shortbow,90.0,54.0,89.0,95.0,11.550000000000002,False
28,D,sturgian_hunter,Sturgian Hunter,sturgia,3.0,16.0,main_or_minor_line,3,10.511025570837264,64.704,42.0,mountain_hunting_bow,80.0,40.0,86.0,82.0,13.716666666666669,False
29,D,khuzait_hunter,Khuzait Hunter,khuzait,3.0,16.0,main_or_minor_line,3,9.760016427788484,71.872,53.0,composite_bow,70.0,24.0,90.0,94.0,13.800000000000002,False
30,D,wolfskins_tier_1,Young Wolf,battania,1.0,11.0,main_or_minor_line,2,6.910898421718194,65.792,47.0,highland_ranger_bow,40.0,27.0,86.0,83.0,10.875000000000002,True
31,D,nord_freeman_archer,Nord Freeman Archer,nord,3.0,16.0,main_or_minor_line,3,6.757897129723077,70.08,47.0,nordic_shortbow,60.0,40.0,89.0,95.0,24.4,False
32,D,imperial_trained_archer,Imperial Trained Archer,empire,3.0,16.0,main_or_minor_line,2,5.37633636902003,61.504,42.0,mountain_hunting_bow,70.0,20.0,86.0,82.0,11.6,False
33,D,battanian_highborn_youth,Battanian Highborn Youth,battania,1.0,11.0,noble_line,3,3.3450764971371645,68.512,48.0,highland_ranger_bow,60.0,40.0,86.0,83.0,8.4,False
34,D,guardians_tier_1,Guardian Recruit,empire,1.0,11.0,main_or_minor_line,2,2.5665477789115916,73.248,51.0,glen_ranger_bow,40.0,54.0,85.0,88.0,3.4250000000000003,False
35,D,forest_people_tier_1,Recruit Forester,vakken,1.0,11.0,main_or_minor_line,2,1.8111442382856855,66.304,41.0,mountain_hunting_bow,40.0,54.0,86.0,82.0,11.900000000000002,False
36,D,nord_huntsman,Nord Huntsman,nord,2.0,11.0,main_or_minor_line,3,1.0321195272921009,64.704,42.0,mountain_hunting_bow,40.0,40.0,86.0,82.0,10.416666666666666,False
37,D,brotherhood_of_woods_tier_1,Sprout,vlandia,1.0,11.0,main_or_minor_line,3,0.9426317770324256,65.984,40.0,hunting_bow,40.0,54.0,87.0,85.0,6.7,False
38,D,imperial_archer,Imperial Archer,empire,2.0,11.0,main_or_minor_line,1,0.0,62.304,41.0,hunting_bow,40.0,27.0,87.0,85.0,9.8,False
