item_id,piece_id,piece_type,scale_factor
mp_western_spear,mp_spear_pommel_7,Pommel,90
mp_western_pitchfork_metal,mp_western_pitchfork_metal_blade,Blade,105
mp_western_pitchfork_metal,mp_western_pitchfork_handle,Handle,100
mp_western_pitchfork_wood,mp_western_pitchfork_wood_blade,Blade,105
mp_western_pitchfork_wood,mp_western_pitchfork_handle,Handle,90
mp_western_scythe,mp_western_scythe_blade,Blade,100
mp_western_scythe,mp_default_polearm_guard,Guard,100
mp_western_scythe,mp_empire_polearm_handle,Handle,90
mp_western_scythe,mp_default_polearm_pommel,Pommel,100
mp_western_2h_sickle,mp_western_2h_sickle_blade,Blade,110
mp_western_2h_sickle,mp_default_polearm_guard,Guard,100
mp_western_2h_sickle,mp_empire_polearm_handle,Handle,95
mp_western_2h_sickle,mp_default_polearm_pommel,Pommel,100
mp_western_2h_shovel,mp_western_shovel_blade,Blade,110
mp_western_2h_shovel,mp_default_polearm_guard,Guard,100
mp_western_2h_shovel,mp_empire_polearm_handle,Handle,90
mp_western_2h_shovel,mp_default_polearm_pommel,Pommel,100
mp_aserai_pike,mp_aserai_pike_blade,Blade,100
mp_aserai_pike,mp_spear_guard_11,Guard,
mp_aserai_pike,mp_aserai_pike_handle,Handle,98
mp_vlandian_pike,mp_vlandian_pike_blade,Blade,100
mp_vlandian_pike,mp_spear_guard_11,Guard,
mp_vlandian_pike,mp_vlandian_pike_handle,Handle,98
mp_khuzait_spear,mp_khuzait_spear_blade,Blade,110
mp_khuzait_spear,mp_spear_guard_15,Guard,90
mp_khuzait_spear,mp_khuzait_spear_handle,Handle,108
mp_khuzait_spear,mp_spear_pommel_2,Pommel,
mp_khuzait_short_spear,mp_khuzait_short_spear_blade,Blade,100
mp_khuzait_short_spear,mp_spear_guard_18,Guard,
mp_khuzait_short_spear,mp_khuzait_short_spear_handle,Handle,105
mp_khuzait_short_spear,mp_spear_pommel_2,Pommel,
mp_khuzait_long_spear,mp_khuzait_long_spear_blade,Blade,103
mp_khuzait_long_spear,mp_spear_guard_1,Guard,
mp_khuzait_long_spear,mp_khuzait_long_spear_handle,Handle,
mp_khuzait_long_spear,mp_spear_pommel_2,Pommel,
mp_khuzait_long_infantry_spear,mp_khuzait_long_infantry_spear_blade,Blade,
mp_khuzait_long_infantry_spear,mp_spear_guard_13,Guard,
mp_khuzait_long_infantry_spear,mp_khuzait_long_spear_handle,Handle,
mp_khuzait_long_infantry_spear,mp_spear_pommel_2,Pommel,
mp_khuzait_cavalry_spear,mp_khuzait_cavalry_spear_blade,Blade,101
mp_khuzait_cavalry_spear,mp_spear_guard_14,Guard,90
mp_khuzait_cavalry_spear,mp_khuzait_long_spear_handle,Handle,110
mp_khuzait_cavalry_spear,mp_spear_pommel_12,Pommel,
mp_khuzait_pike,mp_khuzait_pike_blade,Blade,
mp_khuzait_pike,mp_vlandian_pike_handle,Handle,110
mp_battania_pike,mp_battania_pike_blade,Blade,110
mp_battania_pike,mp_spear_guard_2,Guard,
mp_battania_pike,mp_vlandian_pike_handle,Handle,110
mp_battania_pike,mp_default_polearm_pommel,Pommel,
mp_aserai_spear,mp_aserai_spear_blade,Blade,100
mp_aserai_spear,mp_spear_guard_13,Guard,
mp_aserai_spear,mp_aserai_spear_handle,Handle,100
mp_aserai_spear,mp_spear_pommel_11,Pommel,
mp_aserai_bamboo_spear,mp_aserai_bamboo_spear_blade,Blade,95
mp_aserai_bamboo_spear,mp_aserai_bamboo_spear_handle,Handle,110
mp_aserai_bamboo_spear,mp_spear_pommel_11,Pommel,
mp_aserai_long_spear,mp_aserai_long_spear_blade,Blade,100
mp_aserai_long_spear,mp_spear_guard_12,Guard,
mp_aserai_long_spear,mp_aserai_long_spear_handle,Handle,107
mp_aserai_long_spear,mp_spear_pommel_11,Pommel,
mp_sturgia_short_spear,mp_sturgia_short_spear_blade,Blade,100
mp_sturgia_short_spear,mp_spear_guard_4,Guard,
mp_sturgia_short_spear,mp_sturgia_short_spear_handle,Handle,110
mp_sturgia_short_spear,mp_spear_pommel_10,Pommel,
mp_sturgia_spear,mp_sturgia_spear_blade,Blade,
mp_sturgia_spear,mp_spear_guard_5,Guard,
mp_sturgia_spear,mp_sturgia_spear_handle,Handle,100
mp_sturgia_spear,mp_spear_pommel_10,Pommel,
mp_sturgia_long_spear,mp_sturgia_long_spear_blade,Blade,90
mp_sturgia_long_spear,mp_spear_guard_9,Guard,
mp_sturgia_long_spear,mp_sturgia_long_spear_handle,Handle,95
mp_sturgia_long_spear,mp_spear_pommel_10,Pommel,
mp_sturgia_long_infantry_spear,mp_sturgia_long_infantry_spear_blade,Blade,90
mp_sturgia_long_infantry_spear,mp_spear_guard_11,Guard,90
mp_sturgia_long_infantry_spear,mp_sturgia_long_spear_handle,Handle,90
mp_sturgia_long_infantry_spear,mp_spear_pommel_10,Pommel,
mp_western_lance,mp_western_lance_blade,Blade,110
mp_western_lance,mp_western_lance_handle,Handle,110
mp_western_long_lance,mp_western_long_lance_blade,Blade,110
mp_western_long_lance,mp_western_long_lance_handle,Handle,109
mp_vlandian_heavy_lance,mp_vlandian_heavy_lance_blade,Blade,95
mp_vlandian_heavy_lance,mp_vlandian_heavy_lance_handle,Handle,90
mp_empire_lance,mp_empire_lance_blade,Blade,110
mp_empire_lance,mp_default_polearm_guard,Guard,
mp_empire_lance,mp_empire_lance_handle,Handle,108
mp_empire_lance,mp_default_polearm_pommel,Pommel,
mp_empire_heavy_lance,mp_empire_heavy_lance_blade,Blade,110
mp_empire_heavy_lance,mp_empire_heavy_lance_handle,Handle,110
mp_khuzait_lance,mp_khuzait_lance_blade,Blade,
mp_khuzait_lance,mp_khuzait_lance_handle,Handle,103
mp_khuzait_lance_heavy,mp_khuzait_lance_blade_heavy,Blade,
mp_khuzait_lance_heavy,mp_khuzait_lance_handle,Handle,100
mp_khuzait_lance_long,mp_khuzait_lance_blade,Blade,106
mp_khuzait_lance_long,mp_spear_guard_14,Guard,
mp_khuzait_lance_long,mp_khuzait_lance_handle,Handle,103
mp_aserai_long_lance,mp_aserai_bamboo_lance_blade,Blade,110
mp_aserai_long_lance,mp_aserai_bamboo_lance_handle,Handle,110
mp_aserai_heavy_lance,mp_aserai_heavy_lance_blade,Blade,91
mp_aserai_heavy_lance,mp_default_polearm_guard,Guard,
mp_aserai_heavy_lance,mp_aserai_heavy_lance_handle,Handle,97
mp_aserai_heavy_lance,mp_default_polearm_pommel,Pommel,
mp_sturgia_lance,mp_sturgia_lance_blade,Blade,100
mp_sturgia_lance,mp_sturgia_lance_handle,Handle,107
mp_sturgia_long_lance,mp_sturgia_long_lance_blade,Blade,90
mp_sturgia_long_lance,mp_sturgia_lance_handle,Handle,110
mp_sturgia_heavy_lance,mp_sturgia_heavy_lance_blade,Blade,102
mp_sturgia_heavy_lance,mp_sturgia_lance_handle,Handle,98
mp_battania_spear,mp_battania_spear_blade,Blade,110
mp_battania_spear,mp_spear_guard_8,Guard,
mp_battania_spear,mp_battania_spear_handle,Handle,110
mp_battania_spear,mp_spear_pommel_2,Pommel,
mp_battania_long_spear,mp_battania_long_spear_blade,Blade,
mp_battania_long_spear,mp_spear_guard_2,Guard,
mp_battania_long_spear,mp_battania_long_spear_handle,Handle,106
mp_battania_long_spear,mp_spear_pommel_2,Pommel,
mp_battania_long_infantry_spear,mp_battania_long_infantry_spear_blade,Blade,90
mp_battania_long_infantry_spear,mp_spear_guard_12,Guard,90
mp_battania_long_infantry_spear,mp_battania_long_spear_handle,Handle,98
mp_battania_long_infantry_spear,mp_spear_pommel_2,Pommel,
mp_battania_cavalry_spear,mp_battania_cavalry_spear_blade,Blade,110
mp_battania_cavalry_spear,mp_spear_guard_14,Guard,90
mp_battania_cavalry_spear,mp_battania_long_spear_handle,Handle,109
mp_battania_cavalry_spear,mp_spear_pommel_3,Pommel,
mp_battania_lance,mp_battania_lance_blade,Blade,
mp_battania_lance,mp_battania_lance_handle,Handle,110
mp_sturgia_great_spear,mp_sturgia_great_spear_blade,Blade,
mp_sturgia_great_spear,mp_spear_guard_14,Guard,
mp_sturgia_great_spear,mp_sturgia_long_spear_handle,Handle,106
mp_sturgia_great_spear,mp_spear_pommel_10,Pommel,
mp_test_polearm,mp_test_polearm_head,Blade,90
mp_test_polearm,mp_test_polearm_handle,Handle,100
mp_test_spear,mp_test_spear_blade,Blade,
mp_test_spear,mp_test_spear_handle,Handle,108
mp_test_pike,mp_test_pike_blade,Blade,
mp_test_pike,mp_test_pike_handle,Handle,105
mp_test_lance,mp_test_lance_blade,Blade,
mp_test_lance,mp_test_lance_handle,Handle,106
mp_vlandian_short_sword,mp_vlandian_short_sword_blade,Blade,90
mp_vlandian_short_sword,mp_vlandian_short_sword_guard,Guard,90
mp_vlandian_short_sword,mp_vlandian_short_sword_grip,Handle,90
mp_vlandian_short_sword,mp_vlandian_short_sword_pommel,Pommel,
mp_empire_pugio,mp_empire_pugio_blade,Blade,110
mp_empire_pugio,mp_empire_pugio_guard,Guard,110
mp_empire_pugio,mp_empire_pugio_grip,Handle,110
mp_empire_pugio,mp_empire_pugio_pommel,Pommel,90
mp_empire_gladius,mp_empire_gladius_blade,Blade,105
mp_empire_gladius,mp_empire_gladius_guard,Guard,110
mp_empire_gladius,mp_empire_gladius_grip,Handle,105
mp_empire_gladius,mp_empire_gladius_pommel,Pommel,90
mp_sturgia_northern_sword,mp_sturgia_northern_sword_blade,Blade,110
mp_sturgia_northern_sword,mp_sturgia_northern_sword_guard,Guard,100
mp_sturgia_northern_sword,mp_sturgia_northern_sword_grip,Handle,110
mp_sturgia_northern_sword,mp_sturgia_northern_sword_pommel,Pommel,100
mp_sturgia_sword,mp_sturgia_sword_blade,Blade,108
mp_sturgia_sword,mp_sturgia_sword_guard,Guard,
mp_sturgia_sword,mp_sturgia_sword_grip,Handle,105
mp_sturgia_sword,mp_sturgia_sword_pommel,Pommel,
mp_sturgia_cavalry_sword,mp_sturgia_cavalry_sword_blade,Blade,110
mp_sturgia_cavalry_sword,mp_sturgia_cavalry_sword_guard,Guard,
mp_sturgia_cavalry_sword,mp_sturgia_cavalry_sword_grip,Handle,110
mp_sturgia_cavalry_sword,mp_sturgia_cavalry_sword_pommel,Pommel,
mp_vlandia_cavalry_sword,mp_western_cavalry_sword_blade,Blade,110
mp_vlandia_cavalry_sword,mp_western_cavalry_sword_guard,Guard,
mp_vlandia_cavalry_sword,mp_western_cavalry_sword_grip,Handle,100
mp_vlandia_cavalry_sword,mp_western_cavalry_sword_pommel,Pommel,
mp_vlandian_arming_sword,mp_vlandian_arming_sword_blade,Blade,110
mp_vlandian_arming_sword,mp_vlandian_arming_sword_guard,Guard,100
mp_vlandian_arming_sword,mp_vlandian_arming_sword_grip,Handle,
mp_vlandian_arming_sword,mp_vlandian_arming_sword_pommel,Pommel,110
mp_khuzait_sabre,mp_khuzait_strong_sabre_blade,Blade,90
mp_khuzait_sabre,mp_khuzait_light_sabre_guard,Guard,110
mp_khuzait_sabre,mp_khuzait_sabre_grip,Handle,90
mp_khuzait_sabre,mp_khuzait_sabre_pommel,Pommel,
mp_khuzait_heavy_sabre,mp_khuzait_heavy_sabre_blade,Blade,101
mp_khuzait_heavy_sabre,mp_khuzait_heavy_sabre_guard,Guard,
mp_khuzait_heavy_sabre,mp_khuzait_heavy_sabre_grip,Handle,
mp_khuzait_heavy_sabre,mp_khuzait_heavy_sabre_pommel,Pommel,
mp_khuzait_cavalry_sabre,mp_khuzait_cavalry_sabre_blade,Blade,108
mp_khuzait_cavalry_sabre,mp_khuzait_cavalry_sabre_guard,Guard,
mp_khuzait_cavalry_sabre,mp_khuzait_cavalry_sabre_grip,Handle,
mp_khuzait_cavalry_sabre,mp_khuzait_cavalry_sabre_pommel,Pommel,
mp_empire_spatha,mp_empire_spatha_blade,Blade,100
mp_empire_spatha,mp_empire_spatha_guard,Guard,100
mp_empire_spatha,mp_empire_spatha_grip,Handle,100
mp_empire_spatha,mp_empire_spatha_pommel,Pommel,100
mp_empire_long_spatha,mp_empire_long_spatha_blade,Blade,110
mp_empire_long_spatha,mp_empire_long_spatha_guard,Guard,
mp_empire_long_spatha,mp_empire_long_spatha_grip,Handle,110
mp_empire_long_spatha,mp_empire_long_spatha_pommel,Pommel,90
mp_empire_paramerion,mp_empire_paramerion_blade,Blade,90
mp_empire_paramerion,mp_empire_paramerion_guard,Guard,
mp_empire_paramerion,mp_empire_paramerion_grip,Handle,
mp_empire_paramerion,mp_empire_paramerion_pommel,Pommel,
mp_empire_long_paramerion,mp_empire_long_paramerion_blade,Blade,107
mp_empire_long_paramerion,mp_empire_long_paramerion_guard,Guard,110
mp_empire_long_paramerion,mp_empire_long_paramerion_grip,Handle,90
mp_empire_long_paramerion,mp_empire_long_paramerion_pommel,Pommel,
mp_aserai_sword,mp_aserai_sword_blade,Blade,95
mp_aserai_sword,mp_aserai_sword_guard,Guard,
mp_aserai_sword,mp_aserai_sword_grip,Handle,
mp_aserai_sword,mp_aserai_sword_pommel,Pommel,
mp_aserai_ranger_sword,mp_aserai_ranger_sword_blade,Blade,95
mp_aserai_ranger_sword,mp_aserai_ranger_sword_guard,Guard,100
mp_aserai_ranger_sword,mp_aserai_ranger_sword_grip,Handle,90
mp_aserai_ranger_sword,mp_aserai_ranger_sword_pommel,Pommel,100
mp_aserai_fast_sword,mp_aserai_fast_sword_blade,Blade,105
mp_aserai_fast_sword,mp_aserai_fast_sword_guard,Guard,100
mp_aserai_fast_sword,mp_aserai_fast_sword_grip,Handle,100
mp_aserai_fast_sword,mp_aserai_fast_sword_pommel,Pommel,100
mp_vlandia_fast_sword,mp_vlandia_fast_sword_blade,Blade,110
mp_vlandia_fast_sword,mp_vlandia_fast_sword_guard,Guard,102
mp_vlandia_fast_sword,mp_vlandia_fast_sword_grip,Handle,100
mp_vlandia_fast_sword,mp_vlandia_fast_sword_pommel,Pommel,100
mp_aserai_curved_long_sword,mp_aserai_long_sword_blade,Blade,100
mp_aserai_curved_long_sword,mp_aserai_long_sword_guard,Guard,90
mp_aserai_curved_long_sword,mp_aserai_long_sword_grip,Handle,90
mp_aserai_curved_long_sword,mp_aserai_long_sword_pommel,Pommel,90
mp_aserai_noble_curved_long_sword,mp_aserai_noble_long_sword_blade,Blade,100
mp_aserai_noble_curved_long_sword,mp_aserai_noble_long_sword_guard,Guard,103
mp_aserai_noble_curved_long_sword,mp_aserai_noble_long_sword_grip,Handle,110
mp_aserai_noble_curved_long_sword,mp_aserai_noble_long_sword_pommel,Pommel,90
mp_vlandian_long_sword,mp_vlandian_long_sword_blade,Blade,102
mp_vlandian_long_sword,mp_vlandian_long_sword_guard,Guard,
mp_vlandian_long_sword,mp_vlandian_long_sword_grip,Handle,90
mp_vlandian_long_sword,mp_vlandian_long_sword_pommel,Pommel,110
mp_vlandian_two_handed_sword,mp_vlandian_2hsword_blade,Blade,100
mp_vlandian_two_handed_sword,mp_vlandian_2hsword_guard,Guard,90
mp_vlandian_two_handed_sword,mp_vlandian_2hsword_grip,Handle,110
mp_vlandian_two_handed_sword,mp_vlandian_2hsword_pommel,Pommel,90
mp_aserai_two_handed_sword,mp_aserai_two_handed_sword_blade,Blade,110
mp_aserai_two_handed_sword,mp_aserai_two_handed_sword_guard,Guard,100
mp_aserai_two_handed_sword,mp_aserai_two_handed_sword_grip,Handle,110
mp_aserai_two_handed_sword,mp_empire_pommel_2,Pommel,100
mp_vlandian_noble_two_handed_sword,mp_vlandian_noble_two_handed_sword_blade,Blade,110
mp_vlandian_noble_two_handed_sword,mp_vlandian_noble_two_handed_sword_guard,Guard,100
mp_vlandian_noble_two_handed_sword,mp_vlandian_noble_two_handed_sword_grip,Handle,110
mp_vlandian_noble_two_handed_sword,mp_vlandian_noble_two_handed_sword_pommel,Pommel,110
mp_western_bastard_sword,mp_vlandian_bastard_sword_blade,Blade,110
mp_western_bastard_sword,mp_vlandian_bastard_sword_guard,Guard,
mp_western_bastard_sword,mp_vlandian_bastard_sword_handle,Handle,100
mp_western_bastard_sword,mp_vlandian_bastard_sword_pommel,Pommel,
mp_vlandian_noble_bastard_sword,mp_vlandian_noble_bastard_sword_blade,Blade,110
mp_vlandian_noble_bastard_sword,mp_vlandian_noble_bastard_sword_guard,Guard,
mp_vlandian_noble_bastard_sword,mp_vlandian_noble_bastard_sword_handle,Handle,110
mp_vlandian_noble_bastard_sword,mp_vlandian_noble_bastard_sword_pommel,Pommel,90
mp_battania_short_sword,mp_battania_short_sword_blade,Blade,110
mp_battania_short_sword,mp_battania_short_sword_guard,Guard,100
mp_battania_short_sword,mp_battania_short_sword_grip,Handle,110
mp_battania_short_sword,mp_battania_short_sword_pommel,Pommel,90
mp_battania_cavalry_sword,mp_battania_sword_blade,Blade,110
mp_battania_cavalry_sword,mp_battania_sword_guard,Guard,90
mp_battania_cavalry_sword,mp_battania_sword_grip,Handle,110
mp_battania_cavalry_sword,mp_battania_sword_pommel,Pommel,90
mp_battania_long_sword,mp_battania_long_sword_blade,Blade,92
mp_battania_long_sword,mp_battania_long_sword_guard,Guard,90
mp_battania_long_sword,mp_battania_long_sword_grip,Handle,90
mp_battania_long_sword,mp_battania_long_sword_pommel,Pommel,90
mp_battania_noble_sword,mp_battania_noble_sword_blade,Blade,100
mp_battania_noble_sword,mp_battania_long_sword_guard,Guard,90
mp_battania_noble_sword,mp_battania_long_sword_grip,Handle,90
mp_battania_noble_sword,mp_battania_long_sword_pommel,Pommel,90
mp_battania_cleaver,mp_battania_cleaver_blade,Blade,
mp_battania_cleaver,mp_battania_short_sword_guard,Guard,
mp_battania_cleaver,mp_battania_bastard_sword_grip,Handle,
mp_battania_cleaver,mp_battania_bastard_sword_pommel,Pommel,
mp_battania_bastard_sword,mp_battania_bastard_sword_blade,Blade,100
mp_battania_bastard_sword,mp_battania_bastard_sword_guard,Guard,
mp_battania_bastard_sword,mp_battania_bastard_sword_grip,Handle,90
mp_battania_bastard_sword,mp_battania_bastard_sword_pommel,Pommel,
mp_battania_falx,mp_battania_falx_blade,Blade,110
mp_battania_falx,mp_battania_falx_guard,Guard,90
mp_battania_falx,mp_battania_falx_grip,Handle,110
mp_battania_falx,mp_battania_falx_pommel,Pommel,90
mp_battania_long_falx,mp_battania_long_falx_blade,Blade,105
mp_battania_long_falx,mp_battania_long_falx_guard,Guard,90
mp_battania_long_falx,mp_battania_long_falx_grip,Handle,110
mp_battania_long_falx,mp_battania_long_falx_pommel,Pommel,90
mp_battania_polearm_falx,mp_battania_polearm_falx_blade,Blade,110
mp_battania_polearm_falx,mp_battania_polearm_falx_guard,Guard,
mp_battania_polearm_falx,mp_battania_polearm_falx_handle,Handle,110
mp_battania_polearm_falx,mp_battania_polearm_falx_pommel,Pommel,
mp_default_dagger,mp_dagger_blade_1,Blade,
mp_default_dagger,mp_battania_dagger_guard,Guard,
mp_default_dagger,mp_battania_dagger_grip,Handle,
mp_default_dagger,mp_battania_dagger_pommel,Pommel,
mp_battania_two_handed_sword,mp_battania_2h_sword_blade,Blade,110
mp_battania_two_handed_sword,mp_battania_2h_sword_guard,Guard,
mp_battania_two_handed_sword,mp_battania_2h_sword_grip,Handle,110
mp_battania_two_handed_sword,mp_battania_2h_sword_pommel,Pommel,
mp_battania_noble_two_handed_sword,mp_battania_2h_long_sword_blade,Blade,110
mp_battania_noble_two_handed_sword,mp_battania_2h_long_sword_guard,Guard,110
mp_battania_noble_two_handed_sword,mp_battania_2h_long_sword_grip,Handle,110
mp_battania_noble_two_handed_sword,mp_battania_2h_long_sword_pommel,Pommel,100
mp_test_sword,mp_test_sword_blade,Blade,103
mp_test_sword,mp_test_sword_guard,Guard,
mp_test_sword,mp_test_sword_grip,Handle,103
mp_test_sword,mp_test_sword_pommel,Pommel,
mp_test_twohandedsword,mp_test_2hsword_blade,Blade,107
mp_test_twohandedsword,mp_test_2hsword_guard,Guard,106
mp_test_twohandedsword,mp_aserai_two_handed_sword_grip,Handle,110
mp_test_twohandedsword,mp_test_2hsword_pommel,Pommel,
mp_vlandian_mace,mp_vlandian_mace_head,Blade,100
mp_vlandian_mace,mp_vlandia_mace_handle,Handle,104
mp_vlandian_cavalry_mace,mp_vlandian_cavalry_mace_head,Blade,110
mp_vlandian_cavalry_mace,mp_vlandia_cavalry_mace_handle,Handle,110
mp_aserai_cavalry_mace,mp_aserai_cavalry_mace_head,Blade,110
mp_aserai_cavalry_mace,mp_aserai_cavalry_mace_handle,Handle,110
mp_vlandian_military_pick,mp_vlandian_military_pick_head,Blade,
mp_vlandian_military_pick,mp_vlandia_military_pick_handle,Handle,90
mp_sturgia_mace,mp_sturgia_mace_head,Blade,110
mp_sturgia_mace,mp_vlandia_mace_handle,Handle,110
mp_empire_mace,mp_empire_mace_head,Blade,110
mp_empire_mace,mp_empire_mace_handle,Handle,110
mp_empire_cavalry_mace,mp_empire_cavalry_mace_head,Blade,110
mp_empire_cavalry_mace,mp_empire_cavalry_mace_handle,Handle,110
mp_empire_heavy_mace,mp_empire_heavy_mace_head,Blade,110
mp_empire_heavy_mace,mp_empire_heavy_mace_handle,Handle,110
mp_battnia_heavy_mace,mp_empire_heavy_mace_head,Blade,110
mp_battnia_heavy_mace,mp_empire_heavy_mace_handle,Handle,110
