observation_id,source_fingerprint_sha256,review_status,changed_fields,reviewed_survivors,reviewed_kills,reviewed_upgrade_ready,reviewed_deaths,reviewed_wounded,reviewed_routed,exclusion_reason
battle_20260717_210939_attacker_011_imperial_elite_menavliaton,50caba970ae698ce8043cc70cfefa89acf28be04d45f1442526299fc1600fc22,confirmed,,0,5,0,0,5,0,
battle_20260718_011220_defender_030_imperial_elite_menavliaton,1bde8c29b8ad254698f779592579e95a6751bb96f70f3c9de2f5c8dcff3fbe35,confirmed,,0,0,0,0,2,0,
battle_20260723_234233_attacker_016_stormlands_archer_t3,7c4ee188d418f82052530e6e3500fc4751bd35ae732137ef70e50663ba5dc595,confirmed,,0,1,1,0,2,0,
battle_20260721_233102_defender_024_sarnori_spider_t6,4461ae91a15214050af0a5e9c5df80cac2dc659b49e12c83c2ca7ee6eb2040ef,confirmed,,0,20,0,0,1,0,
battle_20260723_230954_attacker_082_stormlands_fell_knight_t5,8473c25e324b0d851333243ad0fa466567420db3b505795d724cc0e3ea79a617,confirmed,,0,3,1,0,1,0,
battle_20260722_172406_attacker_010_hake_ae,a7749c42d8f6477830f74ebcb4c354edbd57198b4eb32275ca8212692ca52eb4,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260723_174229_defender_019_hake_ae,70cf35bb460ec08cf6914a6f20fa4af2097071787d12149bef18c5081dac10f6,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260723_104235_attacker_046_baratheon_footman_t2,d4283f6c47267ded8959f885167c66668f87426ea3be71160aed504a8301ebd1,confirmed,,8,25,10,1,12,0,
battle_20260723_111115_attacker_036_baratheon_footman_t2,37d1ea58721c0ccb0dd18686e0cbc855f0ebd846dd4499d02de3663c4cc2836c,corrected,kills,15,8,5,1,5,0,
battle_20260723_132305_attacker_011_stone_crow_hunter_t3,fa7d6bf4b3c2c80ce346b2576b236b5118bef7b82b5871d71e99826e88dcfb8e,corrected,kills,16,7,5,0,0,0,
battle_20260722_002116_attacker_004_reach_axeman_t5,cb2eaba35d722bdd38679ca2c0cf727a3792fab0a6c963bdfc9d9c3f5a7390d2,confirmed,,0,10,0,1,15,0,
battle_20260718_013447_attacker_012_vlandian_voulgier,2b21277957e67c3f70dae49299a66d05222749fb873633d34429bc37c252b59c,confirmed,,0,0,0,0,5,0,
battle_20260723_104235_attacker_050_hired_spear_t3,07b1e0fcb0550a7314c98bfeb165586d4241df8bb72c4000102151d4fb7cc506,confirmed,,0,4,1,1,5,0,
battle_20260716_182734_attacker_013_vlandian_hardened_crossbowman,da21e0f6ec543ffc4c4aaaba4caa8b23b91d15ab6a0386c91dd7fda4126bc221,corrected,kills,2,7,3,0,1,0,
battle_20260717_210939_attacker_009_imperial_coast_guard,4e8b1f3d486c201067da32b307099d68f20e7cfc6e4ce06b0be5519d0440e098,confirmed,,0,2,0,1,1,0,
battle_20260718_011220_defender_029_imperial_elite_cataphract,41d6f29d77a0a150d1e9eaf591a0def53e58a4fafe1bfbae47d966aa2c522ed0,confirmed,,0,0,0,0,1,0,
battle_20260723_104235_attacker_047_braavosi_captain_t5,8d984cd9587a625cc757cfb17a9d95e63640d6e839a872f158f7927ce783fe8d,confirmed,,0,10,0,0,4,0,
battle_20260723_111115_attacker_064_stormlands_bowman_t2,252983755256ea4d804e487c6562d8d7e989edb81c22112310168cc24b2ddb02,confirmed,,0,0,0,0,3,0,
battle_20260723_230954_attacker_066_stormlands_knight_t4,6c399baa7435342c0ab33762832cd08330a87b77644da1c2f63df735cc48c197,confirmed,,0,4,1,0,1,0,
battle_20260718_011220_defender_027_rhylan_blacktooth_a,41d6f29d77a0a150d1e9eaf591a0def53e58a4fafe1bfbae47d966aa2c522ed0,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260718_013447_attacker_014_gorigos_the_boar,41d6f29d77a0a150d1e9eaf591a0def53e58a4fafe1bfbae47d966aa2c522ed0,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260723_151353_defender_025_gendry_a,c98180ddfc7e2bad4a4d3fa3d5d2be4b597d4f885d0c01315d49af7e90fd762e,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260723_152103_defender_016_efender_side,f2d3d3f9ed79ba64022bf1d7222f9ba1a33a334cbe21f0075c69c7c9a72ba875,excluded,analysis_status;exclusion_reason,,,,,,,ocr_artifact
battle_20260718_005538_defender_018_rhodok_admiral_sharpshooter_no,74927186b1e167d55f30709c260ef1b188dda7098e757f7a6ea4b7e0766306c6,corrected,deaths,47,362,0,11,46,0,
battle_20260717_210939_attacker_004_beinlandsk_drengr,7eff30f9be9a71710a564c3f1f1e51634da6b14af30cadac6f5ecd8517faab69,corrected,wounded,0,15,8,5,13,0,
battle_20260718_010744_attacker_001_yywww_iy,7c807beef05e72ae56464d26ed1ba8cf64884c180ae16f2cf0386fa6c81dbf92,excluded,analysis_status;exclusion_reason,,,,,,,ocr_artifact
battle_20260724_011947_defender_019_queen_s_man_t6_an,1d1027945f8951510bf3516612af0d869755e45a844ad25b874e91d29d0964c5,corrected,deaths;wounded,20,81,0,4,11,0,
battle_20260723_174229_defender_021_dragonstone_elite_archer_t5_l,3fab31352586ce45551021799b0d4fad8e5cb43b0fd47031743222f3706e16b7,corrected,kills,14,57,0,0,0,0,
battle_20260721_233102_defender_028_riverlands_house_guard_t5,d2e7fd839bc2a8fc86b7de3227ea20008c91b62be8a5d004ccffb1d2d6c40e13,confirmed,,0,4,0,2,8,0,
battle_20260723_230954_attacker_016_pegeorstone_militia_veteran_archer,69140c706cc39bd3cdd95c0355c576d853386be2c31ba178e110ce5494ff4894,corrected,survivors,2,1,0,0,0,0,
battle_20260717_210939_attacker_005_beinlandsk_veteran_warrior,e900455a38670be9cd053d0a09c137f7cb3f3770188f9c5daaf0bf9f0563ffd5,corrected,wounded,0,15,0,2,16,0,
battle_20260718_005538_defender_020_rhodok_river_guard_o_v,2982e67ec691e74746fb8dd0a44e5801b1a21bbc589a432c53e905770a76fc0c,corrected,upgrade_ready;wounded,1,34,17,5,17,0,
battle_20260723_002957_defender_025_mts_watch_master_crossbowman,3d8be7d4020f65b3efd763156693c1abf71353efed3a3229c59b106a5a270448,corrected,kills,6,12,0,0,0,0,
battle_20260717_190741_defender_025_rhodok_crossbowman,8c3539663f816cdab24bc56b761aefd8e907370a739089f1360320ffd52e3ce8,corrected,kills,5,10,3,0,0,0,
battle_20260718_005538_defender_019_rhodok_river_hunter_rapeeaps,ccd6151e17de7edb933a7b65472eebd89e758a0f0852751de7c674e71e73ae3b,corrected,deaths;wounded,4,55,28,12,28,0,
battle_20260717_210939_attacker_010_imperial_crossbowman,1d632b483d8945c84eb86973135c60d73bdcf87e2ddb6cc46eb4c830678e89f5,confirmed,,0,0,0,0,4,0,
battle_20260717_210939_attacker_012_imperial_equite,58c7cebf240bdcf0403dab8483f96aabc7317e40f6c62023bbf5658bebb2f9fd,confirmed,,0,1,1,0,4,0,
battle_20260721_233102_defender_020_freefolk_thenn_impaler_t6,91cc792561e4fdc1710574b2ea8da570339dfc061eb20f7f8a9e3c70d23689df,confirmed,,0,88,0,3,1,0,
battle_20260723_144442_attacker_015_fe_flite_hired_crosshow_t5,e3ff66d9a31e52daf32ca8bee6123bb9d50129f11d5ecefb270de8d64d565dd2,corrected,wounded,3,1,0,1,2,0,
battle_20260717_210939_attacker_007_empire_peasant,252983755256ea4d804e487c6562d8d7e989edb81c22112310168cc24b2ddb02,confirmed,,0,0,0,0,3,0,
battle_20260721_180725_attacker_017_je_night_s_watch_elite_crossbowman_t4,53bc54bbb64632349978379ed8bf476c14b099c8c18a1c585a8c7a52ca75eaf4,confirmed,,3,2,1,0,0,0,
battle_20260716_182734_attacker_011_vlandian_nauta,d58fc3ae041c01182e5672a7fff7759da76ef4fd0b9e48cc82392014d96177b6,corrected,kills,1,9,4,0,1,0,
battle_20260716_182734_attacker_017_sturgian_druzhinnik_champion,ba67991e7b6e997fbe6687b7c0bb8810319c990f97f7b9be17b651e94dbf4c34,confirmed,,0,3,0,0,2,0,
battle_20260717_194357_defender_028_rhodok_veteran_spearman,eac0df93080405555cd0e950a6f8712f783dcb744466e223e15a4352991a50b6,confirmed,,0,2,1,1,1,0,
battle_20260723_235732_attacker_014_stormlands_bowman_t2_sees,9f079a822815482cf86835df2f48f410391fd0b78636d0b1a218d689d3812fca,corrected,survivors;kills;upgrade_ready,11,3,3,0,1,0,
battle_20260724_010046_attacker_001_vywvywwy,98370874d78b9fa39e3da279bd3c7998849f0dd1c26aa532f9cbaa8066e76534,excluded,analysis_status;exclusion_reason,,,,,,,ocr_artifact
battle_20260724_011947_defender_022_j_ravager_t3_tn,e30384ef5298f4deed84f57a0d6948df3143db2b8237d22f5893f3167801a193,corrected,survivors;kills;upgrade_ready;routed,7,14,8,0,2,0,
battle_20260724_011947_defender_029_riverlands_horseman_t4,16d36d017850ccdc5733b3355d732f0cf78bfa936c33bf68a2c386b8c4776492,confirmed,,0,4,2,0,2,0,
battle_20260724_011947_defender_031_squire_t3_y,16d36d017850ccdc5733b3355d732f0cf78bfa936c33bf68a2c386b8c4776492,confirmed,,0,4,2,0,2,0,
battle_20260716_202956_attacker_017_nadric,6e7c07b6e50c57bff462cc501b844e61e4ce4e7bc3d55f4a37535a9738d05a4d,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260717_210939_attacker_008_imperial_bucellarii,41d6f29d77a0a150d1e9eaf591a0def53e58a4fafe1bfbae47d966aa2c522ed0,confirmed,,0,0,0,0,1,0,
battle_20260717_210939_attacker_015_imperial_palatine_guard,41d6f29d77a0a150d1e9eaf591a0def53e58a4fafe1bfbae47d966aa2c522ed0,confirmed,,0,0,0,0,1,0,
battle_20260718_005538_defender_022_daghild_e,398673cefa0ce2096deaa0222ec07729188b29f34054fe1fc5b39dc50fb85db9,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260718_005538_defender_025_gorigos_the_boar_es,4416827e54bf1690b3b425e3c14b739135cb1921c812421259a04ceb2b7e56cd,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260721_233102_defender_023_i_ti_marksman_t5,63897fe5a8e9889fd2b69325f0e51080f4a97c7c47c7c83c30cb1c828875b86b,confirmed,,0,21,0,0,1,0,
battle_20260721_233102_defender_025_free_folk_hawkeye_t5,ca84ae3e20f9a68f84f07ec2c011821d72ec2dbf0b0f853fb95958c7ba4ccc7d,confirmed,,0,11,0,1,0,0,
battle_20260721_233102_defender_026_yale_master_archer_t5,398673cefa0ce2096deaa0222ec07729188b29f34054fe1fc5b39dc50fb85db9,confirmed,,0,6,0,0,1,0,
battle_20260722_002116_attacker_006_reach_house_guard_t5_vv,93fdfa1fde0632695c0926b4743f03b6bb93ad1eec485b957bc55263d926210d,corrected,wounded,0,6,0,1,17,0,
battle_20260722_002116_attacker_013_dornish_cobra_cavalry_t5,4fdff233da4b02a851f5a47b8c5678f70d8999f7a0c143f204eddd8af701ab51,confirmed,,0,2,0,0,1,0,
battle_20260723_104235_attacker_016_gendry_me,41d6f29d77a0a150d1e9eaf591a0def53e58a4fafe1bfbae47d966aa2c522ed0,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260723_111115_attacker_044_tyrion_lannister,c98180ddfc7e2bad4a4d3fa3d5d2be4b597d4f885d0c01315d49af7e90fd762e,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260723_111115_attacker_046_hired_crossbow_t4,4fdff233da4b02a851f5a47b8c5678f70d8999f7a0c143f204eddd8af701ab51,confirmed,,0,2,0,0,1,0,
battle_20260723_151353_defender_019_hake,8cd48f5a2f46777b540f30ce3f3c51ebc29979b10a57d72b057be328f65282ec,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260723_151353_defender_023_benjen_stark_wsad_space_z,2d13adf0196146601a00ebc0c2b28a45b6fcddc1b426359662bf1719108d8b09,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260723_230954_attacker_015_robin_celtigar_ee,19ca4f6a233cbc4eb3f2a4a71ef312a82ced80d330f80f3018bd9b9dda484543,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260723_234233_attacker_014_robin_celtigar_ain,41d6f29d77a0a150d1e9eaf591a0def53e58a4fafe1bfbae47d966aa2c522ed0,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260724_011947_defender_025_celtigar_halberdier_t5_le_ae,1b9f63b46bbc647f0872f1cd409dd2d0540f6dad6546eeb4d402131d8190e077,confirmed,,0,6,2,1,0,0,
