rank,tier,troop_id,troop_name,culture,level,tree_tier,line_status,default_group,primary_category,role_score,role_score_column,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,ranged_damage,throw_damage,crafted_melee_template,crafted_melee_item,ranged_item_scored,direct_throw_item,crafted_throw_item,has_shield,has_horse,has_bow,has_crossbow,has_throwing,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,roster_count,spectacle_reason,shield_hp,shield_armor,horse_charge,horse_speed,horse_maneuver,horse_extra_health,harness_armor,ammo_stack,ammo_thrust,ranged_base_damage,ranged_speed_rating,ranged_accuracy,ranged_missile_speed,thrown_damage,thrown_stack,thrown_speed_rating,ranged_item_audit,ranged_class,thrown_item_audit
11,C,tyrell_longbowman,Tyrell Elite Longbowman,reach,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,33.156,ranged_role_score,33.15597012893322,,24.36342335707542,,25.576327560500054,79.2273236282195,75.72463768115942,0.0,149.0,44.6,72.0,0.0,OneHandedSword,vlandia_sword_3_t4,lowland_yew_bow,,,False,False,True,False,False,120.0,10.0,30.0,140.0,0.0,10.0,5.0,130.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,69.0,90.0,94.0,79.0,0.0,0.0,0.0,lowland_yew_bow,Bow,
12,C,mormont_veteran_huntress,Mormont Veteran Huntress,battania,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,33.0092,ranged_role_score,33.00916546813531,,26.05273338505489,,24.6874641587338,73.12430011198208,73.33333333333331,0.0,148.0,43.050000000000004,67.0,0.0,OneHandedAxe,sturgia_axe_4_t4,woodland_longbow,,,False,False,True,False,False,130.0,120.0,20.0,150.0,5.0,40.0,15.0,140.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,3.0,64.0,88.0,94.0,82.0,0.0,0.0,0.0,woodland_longbow,Bow,
13,C,stark_master_archer,Stark Master Longbowman,battania,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,32.0707,ranged_role_score,32.0707071899257,,21.19716261412,,22.106892992315636,76.20380739081747,75.72463768115942,0.0,119.0,38.550000000000004,67.0,0.0,OneHandedSword,vlandia_sword_2_t3,woodland_longbow,,,False,False,True,False,False,110.0,50.0,50.0,140.0,5.0,20.0,20.0,110.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,64.0,88.0,94.0,82.0,0.0,0.0,0.0,woodland_longbow,Bow,
14,C,tully_longbowman,Tully Longbowman,river,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,31.2004,ranged_role_score,31.200384551334693,,24.508946807431776,,26.72324807890814,70.26875699888018,75.72463768115942,0.0,162.0,46.60000000000001,60.0,0.0,OneHandedSword,vlandia_sword_3_t4,lowland_longbow,,,False,False,True,False,False,120.0,30.0,40.0,150.0,0.0,10.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,57.0,80.0,94.0,74.0,0.0,0.0,0.0,lowland_longbow,Bow,
15,C,greyjoy_marksman,Greyjoy Marksman,sturgia,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,30.7395,ranged_role_score,30.7395402832321,,21.75378981173305,,29.103108154604882,73.20828667413214,75.72463768115942,0.0,164.0,50.75,72.0,0.0,OneHandedSword,vlandia_sword_4_t4,lowland_yew_bow,,,False,False,True,False,False,110.0,20.0,50.0,140.0,20.0,15.0,15.0,110.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,69.0,90.0,94.0,79.0,0.0,0.0,0.0,lowland_yew_bow,Bow,
16,C,tigercloak_master,Tigercloak Elite,volantine,26.0,4.0,main_or_minor_line,Ranged,Ranged Troops,30.7387,ranged_role_score,30.73869659465227,,34.578383572902034,,30.135336621172158,68.81298992161254,81.95652173913044,0.0,173.0,52.55000000000001,58.0,0.0,TwoHandedPolearm,khuzait_polearm_1_t4,steppe_war_bow,,,False,False,True,False,False,130.0,120.0,140.0,150.0,15.0,20.0,5.0,140.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,4.0,54.0,89.0,95.0,80.0,0.0,0.0,0.0,steppe_war_bow,Bow,
17,C,harlaw_longbowman,Harlaw Longbowman,sturgia,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,30.2486,ranged_role_score,30.248644750634956,,21.164419837789822,,24.458080055052186,73.20828667413214,75.72463768115942,0.0,158.0,42.650000000000006,72.0,0.0,OneHandedSword,vlandia_sword_4_t4,lowland_yew_bow,,,False,False,True,False,False,110.0,20.0,50.0,140.0,20.0,15.0,15.0,110.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,69.0,90.0,94.0,79.0,0.0,0.0,0.0,lowland_yew_bow,Bow,
18,C,bolton_master_archer,Bolton Hunter,battania,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,30.2177,ranged_role_score,30.217656694865802,,20.04790223736713,,24.02798486064916,73.96416573348264,73.33333333333331,0.0,144.0,41.900000000000006,67.0,0.0,OneHandedAxe,battania_axe_2_t4,woodland_longbow,,,False,False,True,False,False,110.0,40.0,40.0,140.0,0.0,10.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,64.0,88.0,94.0,82.0,0.0,0.0,0.0,woodland_longbow,Bow,
19,C,ibbenese_master_huntsman,Ibbenese Master Huntsman,ibbenese,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,30.0592,ranged_role_score,30.059193988096432,,23.799519986944553,,21.132010551668763,74.2441209406495,75.72463768115942,0.0,137.0,36.849999999999994,68.0,0.0,OneHandedSword,ibb_sword,woodland_longbow,,,False,False,True,False,False,90.0,120.0,20.0,140.0,0.0,10.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,4.0,64.0,88.0,94.0,82.0,0.0,0.0,0.0,woodland_longbow,Bow,
20,C,tigercloak_master_archer,Volantene Master Archer,volantine,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,29.9296,ranged_role_score,29.92962803166809,,22.81202316125248,,22.479642160798253,68.81298992161254,73.33333333333331,0.0,134.0,39.2,58.0,0.0,OneHandedAxe,bamboo_axe_t4,steppe_war_bow,,,False,False,True,False,False,120.0,20.0,60.0,150.0,15.0,20.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,4.0,54.0,89.0,95.0,80.0,0.0,0.0,0.0,steppe_war_bow,Bow,
21,C,glover_veteran_archer,Glover Veteran Archer,battania,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,29.4704,ranged_role_score,29.470430000538833,,24.62900365397577,,27.66945750659479,76.20380739081747,75.72463768115942,0.0,186.0,48.25,67.0,0.0,OneHandedSword,vlandia_sword_2_t3,woodland_longbow,,,False,False,True,False,False,120.0,50.0,50.0,130.0,5.0,20.0,20.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,64.0,88.0,94.0,82.0,0.0,0.0,0.0,woodland_longbow,Bow,
22,C,manderly_veteran_archer,Manderly Veteran Archer,battania,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,28.8523,ranged_role_score,28.85226525578688,,23.886834057158367,,21.820162862713612,76.20380739081747,75.72463768115942,0.0,121.0,38.05,67.0,0.0,OneHandedSword,manderly_sword,woodland_longbow,,,False,False,True,False,False,120.0,50.0,50.0,130.0,5.0,20.0,20.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,64.0,88.0,94.0,82.0,0.0,0.0,0.0,woodland_longbow,Bow,
23,C,skag_huntsman,Skagosi Huntsman,skagosi,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,28.7983,ranged_role_score,28.798287272148002,,24.20698564794234,,24.34338800321137,66.46136618141098,75.72463768115942,0.0,128.0,42.449999999999996,55.0,0.0,OneHandedSword,skagosi_sword,steppe_heavy_bow,,,False,False,True,False,False,120.0,20.0,60.0,150.0,15.0,20.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,52.0,87.0,91.0,76.0,0.0,0.0,0.0,steppe_heavy_bow,Bow,
24,C,cerwyn_veteran_archer,Cerwyn Veteran Archer,battania,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,28.7826,ranged_role_score,28.782570211035438,,23.803158073203463,,21.160683564628968,76.20380739081747,75.72463768115942,0.0,137.0,36.9,67.0,0.0,OneHandedSword,vlandia_sword_2_t3,woodland_longbow,,,False,False,True,False,False,120.0,50.0,50.0,130.0,5.0,20.0,20.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,64.0,88.0,94.0,82.0,0.0,0.0,0.0,woodland_longbow,Bow,
25,C,tyroshi_elite_archer,Tyroshi Elite Archer,tyroshi,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,28.5467,ranged_role_score,28.54672193638927,,22.611928417012496,,20.902626447987153,66.46136618141098,73.33333333333331,0.0,132.0,36.45,55.0,0.0,OneHandedAxe,tyroshi_axe,steppe_heavy_bow,,,False,False,True,False,False,120.0,60.0,80.0,140.0,20.0,60.0,80.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,52.0,87.0,91.0,76.0,0.0,0.0,0.0,steppe_heavy_bow,Bow,
26,C,river_ranger,Riverlands Ranger,river,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,28.4604,ranged_role_score,28.460379822339373,,24.3961661334056,,25.834384677141877,70.26875699888018,75.72463768115942,0.0,156.0,45.050000000000004,60.0,0.0,OneHandedSword,vlandia_sword_3_t4,lowland_longbow,,,False,False,True,False,False,120.0,30.0,40.0,140.0,0.0,10.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,57.0,80.0,94.0,74.0,0.0,0.0,0.0,lowland_longbow,Bow,
27,C,lyseni_elite_archer,Lyseni Elite Archer,lyseni,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,28.3487,ranged_role_score,28.348725500957112,,22.564633295646683,,20.529877279504532,66.18141097424412,73.33333333333331,0.0,132.0,35.800000000000004,54.0,0.0,OneHandedAxe,small_bit_axe_t2,steppe_heavy_bow,,,False,False,True,False,False,120.0,60.0,80.0,140.0,20.0,60.0,80.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,52.0,87.0,91.0,76.0,0.0,0.0,0.0,steppe_heavy_bow,Bow,
28,C,summer_longbowman,Summer Isles Longbowman,summer,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,28.1288,ranged_role_score,28.128802461301774,,23.803158073203463,,21.160683564628968,70.57670772676371,75.72463768115942,0.0,114.0,36.9,62.0,0.0,OneHandedSword,simple_sabre_sword_t2,tribal_bow,,,False,False,True,False,False,120.0,20.0,60.0,140.0,40.0,20.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,4.0,58.0,89.0,94.0,73.0,0.0,0.0,0.0,tribal_bow,Bow,
29,C,nightswatch_master_ranger,Night's Watch Master Ranger,nightswatch,26.0,4.0,main_or_minor_line,Ranged,Ranged Troops,28.0552,ranged_role_score,28.055190600536413,,24.854565002028114,,29.447184310127305,66.46136618141098,75.72463768115942,0.0,163.0,51.349999999999994,54.0,0.0,OneHandedSword,broad_arming_sword_t4,glen_ranger_bow,,,False,False,True,False,False,120.0,60.0,20.0,140.0,5.0,5.0,40.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,3.0,51.0,85.0,88.0,70.0,0.0,0.0,0.0,glen_ranger_bow,Bow,
30,C,umber_marksman,Umber Marksman,battania,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,27.5658,ranged_role_score,27.565762652521315,,20.207978032759115,,25.289597430898038,73.96416573348264,73.33333333333331,0.0,149.0,44.1,67.0,0.0,OneHandedAxe,woodland_axe_t3,woodland_longbow,,,False,False,True,False,False,110.0,40.0,40.0,130.0,0.0,10.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,64.0,88.0,94.0,82.0,0.0,0.0,0.0,woodland_longbow,Bow,
31,C,pentoshi_elite_archer,Pentoshi Elite Archer,pentoshi,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,27.5476,ranged_role_score,27.547628297063486,,27.31867509701414,,24.7734831976144,68.8969764837626,75.72463768115942,0.0,143.0,43.199999999999996,54.0,0.0,OneHandedSword,pentoshi_sword,composite_steppe_bow,,,False,False,True,False,False,130.0,60.0,80.0,130.0,20.0,60.0,80.0,130.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,2.0,52.0,89.0,94.0,78.0,0.0,0.0,0.0,composite_steppe_bow,Bow,
32,C,targaryen_master_archer,Valyrian Master Archer,valyrian,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,27.412,ranged_role_score,27.41199560463904,,24.23609033801361,,24.57277210689299,68.53303471444569,75.72463768115942,0.0,127.0,42.85,57.0,0.0,OneHandedSword,vlandia_sword_2_t3,steppe_war_bow,,,False,False,True,False,False,120.0,10.0,20.0,140.0,0.0,10.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,54.0,89.0,95.0,80.0,0.0,0.0,0.0,steppe_war_bow,Bow,
33,C,yiti_master_bowman,Yi Ti Marksman,yiti,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,27.332,ranged_role_score,27.331962285028233,,24.494394462396137,,26.608556027067323,67.97312430011199,75.72463768115942,0.0,163.0,46.4,56.0,0.0,OneHandedSword,simple_sabre_sword_t2,steppe_war_bow,,,False,False,True,False,False,120.0,20.0,60.0,140.0,40.0,20.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,54.0,89.0,95.0,80.0,0.0,0.0,0.0,steppe_war_bow,Bow,
34,C,freefolk_hawkeye,Free Folk Hawkeye,freefolk,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,27.1872,ranged_role_score,27.1871532273853,,20.60779264017677,,20.071109072141297,69.00895856662933,75.72463768115942,0.0,133.0,35.0,64.0,0.0,OneHandedSword,wildling_knife,woodland_yew_bow,,,False,False,True,False,False,110.0,40.0,40.0,140.0,0.0,10.0,5.0,110.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,61.0,91.0,92.0,76.0,0.0,0.0,0.0,woodland_yew_bow,Bow,
35,C,celtigar_veteran_archer,Celtigar Veteran Archer,dragonstone,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,27.0499,ranged_role_score,27.049859471722495,,27.44600811607595,,25.777038651221467,67.7491601343785,75.72463768115942,0.0,153.0,44.95,59.0,0.0,OneHandedSword,vlandia_sword_2_t3,lowland_longbow,,,False,False,True,False,False,130.0,60.0,80.0,130.0,30.0,60.0,80.0,130.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,57.0,80.0,94.0,74.0,0.0,0.0,0.0,lowland_longbow,Bow,
36,C,sarnor_longbowman,Sarnori Longbowman,sarnor,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,26.7463,ranged_role_score,26.746345648867212,,23.75586295183765,,20.78793439614634,68.02911534154535,75.72463768115942,0.0,128.0,36.24999999999999,60.0,0.0,OneHandedSword,kopesh_sword,lowland_longbow,,,False,False,True,False,False,120.0,10.0,20.0,140.0,0.0,10.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,57.0,80.0,94.0,74.0,0.0,0.0,0.0,lowland_longbow,Bow,
37,C,baratheon_longbowman,Baratheon Longbowman,stormlands,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,26.5775,ranged_role_score,26.57754466723849,,12.518525219069666,,20.58722330542493,67.7491601343785,70.10869565217392,0.0,127.0,35.9,59.0,0.0,Mace,battania_mace_1_t2,lowland_longbow,,,False,False,True,False,False,90.0,30.0,30.0,140.0,0.0,10.0,5.0,90.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,57.0,80.0,94.0,74.0,0.0,0.0,0.0,lowland_longbow,Bow,
38,C,myrish_elite_archer,Myrish Elite Archer,myrish,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,26.5561,ranged_role_score,26.55609785211384,,24.308852063191786,,25.146232366097028,66.93729003359462,75.72463768115942,0.0,150.0,43.85,54.0,0.0,OneHandedSword,empire_sword_2_t3,composite_steppe_bow,,,False,False,True,False,False,120.0,60.0,80.0,130.0,20.0,60.0,80.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,52.0,89.0,94.0,78.0,0.0,0.0,0.0,composite_steppe_bow,Bow,
39,C,ghiscari_manticore,Ghiscari Manticore,ghiscari,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,26.4656,ranged_role_score,26.46556938535103,,36.04742065937653,,24.97419428833582,66.65733482642777,100.0,0.0,144.0,43.550000000000004,54.0,0.0,TwoHandedSword,ghiscari_sword,composite_steppe_bow,,,False,False,True,False,False,90.0,120.0,20.0,140.0,0.0,10.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,52.0,89.0,94.0,78.0,0.0,0.0,0.0,composite_steppe_bow,Bow,
40,C,goldcloak_master_archer,Gold Cloak Sniper,crownlands,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,26.4343,ranged_role_score,26.434268893608415,,20.87337293707711,,22.16423901823604,67.16125419932811,75.72463768115942,0.0,141.0,38.650000000000006,54.0,0.0,OneHandedSword,narrow_sword_t3,glen_ranger_bow,,,False,False,True,False,False,110.0,10.0,30.0,140.0,0.0,10.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,51.0,85.0,88.0,70.0,0.0,0.0,0.0,glen_ranger_bow,Bow,
41,C,royce_veteran_archer,Royce Veteran Archer,vale,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,26.4179,ranged_role_score,26.417936257843625,,23.886834057158367,,21.820162862713616,72.36842105263158,75.72463768115942,0.0,141.0,38.050000000000004,64.0,0.0,OneHandedSword,vlandia_sword_2_t3,woodland_yew_bow,,,False,False,True,False,False,120.0,10.0,40.0,130.0,0.0,10.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,61.0,91.0,92.0,76.0,0.0,0.0,0.0,woodland_yew_bow,Bow,
42,C,bracken_elite_archer,Bracken Elite Archer,river,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,26.235,ranged_role_score,26.234987560807507,,24.134223922764164,,23.769927744007337,66.46136618141098,75.72463768115942,0.0,130.0,41.45,55.0,0.0,OneHandedSword,sturgia_sword_3_t3,steppe_heavy_bow,,,False,False,True,False,False,120.0,30.0,40.0,140.0,0.0,10.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,52.0,87.0,91.0,76.0,0.0,0.0,0.0,steppe_heavy_bow,Bow,
43,C,qohorik_elite_archer,Qohorik Elite Archer,qohorik,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,26.2179,ranged_role_score,26.217919277262922,,27.1367707840687,,23.33983254960431,66.65733482642777,75.72463768115942,0.0,143.0,40.7,54.0,0.0,OneHandedSword,qohorik_sword,composite_steppe_bow,,,False,False,True,False,False,130.0,60.0,80.0,130.0,20.0,60.0,80.0,130.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,52.0,89.0,94.0,78.0,0.0,0.0,0.0,composite_steppe_bow,Bow,
44,C,reach_master_archer,Reach Master Archer,reach,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,26.1949,ranged_role_score,26.19488156598388,,20.58596412262331,,19.899070994380082,67.16125419932811,75.72463768115942,0.0,129.0,34.699999999999996,54.0,0.0,OneHandedSword,vlandia_sword_3_t4,glen_ranger_bow,,,False,False,True,False,False,110.0,10.0,30.0,140.0,0.0,10.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,51.0,85.0,88.0,70.0,0.0,0.0,0.0,glen_ranger_bow,Bow,
45,C,westerling_elite_archer,Westerling Elite Archer,vlandia,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,26.1835,ranged_role_score,26.18347383207818,,21.3516875718412,,23.282486523683907,66.46136618141098,70.10869565217392,0.0,128.0,40.6,55.0,0.0,Mace,westerling_mace,steppe_heavy_bow,,,False,False,True,False,False,120.0,30.0,40.0,140.0,0.0,10.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,52.0,87.0,91.0,76.0,0.0,0.0,0.0,steppe_heavy_bow,Bow,
