troop_id,troop_name,culture,level,tree_tier,line_status,default_group,has_bow,has_crossbow,ranged_score_base,ranged_damage,ranged_item_scored,ranged_base_damage,ranged_accuracy,ranged_missile_speed,ranged_speed_rating,ammo_stack,armor_total,effective_armor,unscorable_reason
sarnor_militia_veteran_archer,Sarnori Militia Veteran Archer,sarnor,16.0,0.0,special_or_unlinked,Ranged,True,False,65.62150055991042,52.0,steppe_heavy_bow,52.0,91.0,76.0,87.0,54.0,58.0,19.55,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
summer_militia_veteran_archer,Summer Isles Militia Veteran Archer,summer,16.0,0.0,special_or_unlinked,Ranged,True,False,65.62150055991042,52.0,steppe_heavy_bow,52.0,91.0,76.0,87.0,54.0,61.0,21.8,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
tyroshi_militia_veteran_archer,Tyroshi Militia Veteran Archer,tyroshi,16.0,0.0,special_or_unlinked,Ranged,True,False,65.62150055991042,52.0,steppe_heavy_bow,52.0,91.0,76.0,87.0,54.0,61.0,21.8,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
valyrian_militia_veteran_archer,Valyrian Militia Veteran Archer,valyrian,16.0,0.0,special_or_unlinked,Ranged,True,False,65.62150055991042,52.0,steppe_heavy_bow,52.0,91.0,76.0,87.0,54.0,69.0,22.2,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
volantine_militia_veteran_archer,Volantene Militia Veteran Archer,volantine,16.0,0.0,special_or_unlinked,Ranged,True,False,65.62150055991042,52.0,steppe_heavy_bow,52.0,91.0,76.0,87.0,54.0,69.0,22.2,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
yiti_militia_veteran_archer,YiTish Militia Veteran Archer,yiti,16.0,0.0,special_or_unlinked,Ranged,True,False,65.62150055991042,52.0,steppe_heavy_bow,52.0,91.0,76.0,87.0,54.0,70.0,22.4,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
dragonstone_militia_archer,Dragonstone Militia Archer,dragonstone,11.0,0.0,special_or_unlinked,Ranged,True,False,61.33818589025756,47.0,highland_ranger_bow|mountain_hunting_bow,44.0,82.5,66.0,86.0,54.0,60.0,20.4,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
dragonstone_militia_veteran_archer,Dragonstone Militia Veteran Archer,dragonstone,16.0,0.0,special_or_unlinked,Ranged,True,False,61.33818589025756,47.0,highland_ranger_bow,47.0,83.0,65.0,86.0,54.0,69.0,22.2,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
freefolk_militia_archer,Freefolk Militia Archer,freefolk,11.0,0.0,special_or_unlinked,Ranged,True,False,61.33818589025756,47.0,highland_ranger_bow|mountain_hunting_bow,44.0,82.5,66.0,86.0,54.0,30.75,8.475,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
freefolk_militia_veteran_archer,Freefolk Militia Veteran Archer,freefolk,16.0,0.0,special_or_unlinked,Ranged,True,False,61.33818589025756,47.0,highland_ranger_bow,47.0,83.0,65.0,86.0,54.0,75.0,23.3,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
nightswatch_militia_archer,Night's Watch Militia Archer,nightswatch,11.0,0.0,special_or_unlinked,Ranged,True,False,61.33818589025756,47.0,highland_ranger_bow|mountain_hunting_bow,44.0,82.5,66.0,86.0,54.0,69.0,20.849999999999998,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
nightswatch_militia_veteran_archer,Night's Watch Militia Veteran Archer,nightswatch,16.0,0.0,special_or_unlinked,Ranged,True,False,61.33818589025756,47.0,highland_ranger_bow,47.0,83.0,65.0,86.0,54.0,78.0,22.65,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
reach_militia_archer,Reach Militia Archer,reach,11.0,0.0,special_or_unlinked,Ranged,True,False,61.33818589025756,47.0,highland_ranger_bow|mountain_hunting_bow,44.0,82.5,66.0,86.0,54.0,60.0,20.4,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
reach_militia_veteran_archer,Reach Militia Veteran Archer,reach,16.0,0.0,special_or_unlinked,Ranged,True,False,61.33818589025756,47.0,highland_ranger_bow,47.0,83.0,65.0,86.0,54.0,69.0,22.2,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
river_militia_archer,Riverlands Militia Archer,river,11.0,0.0,special_or_unlinked,Ranged,True,False,61.33818589025756,47.0,highland_ranger_bow|mountain_hunting_bow,44.0,82.5,66.0,86.0,54.0,60.0,20.4,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
river_militia_veteran_archer,Riverlands Militia Veteran Archer,river,16.0,0.0,special_or_unlinked,Ranged,True,False,61.33818589025756,47.0,highland_ranger_bow,47.0,83.0,65.0,86.0,54.0,69.0,22.2,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
stormlands_militia_archer,Stormlands Militia Archer,stormlands,11.0,0.0,special_or_unlinked,Ranged,True,False,61.33818589025756,47.0,highland_ranger_bow|mountain_hunting_bow,44.0,82.5,66.0,86.0,54.0,60.0,20.4,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
stormlands_militia_veteran_archer,Stormlands Militia Veteran Archer,stormlands,16.0,0.0,special_or_unlinked,Ranged,True,False,61.33818589025756,47.0,highland_ranger_bow,47.0,83.0,65.0,86.0,54.0,69.0,22.2,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
vale_militia_archer,Vale Militia Archer,vale,11.0,0.0,special_or_unlinked,Ranged,True,False,61.33818589025756,47.0,highland_ranger_bow|mountain_hunting_bow,44.0,82.5,66.0,86.0,54.0,60.0,20.4,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
vale_militia_veteran_archer,Vale Militia Veteran Archer,vale,16.0,0.0,special_or_unlinked,Ranged,True,False,61.33818589025756,47.0,highland_ranger_bow,47.0,83.0,65.0,86.0,54.0,69.0,22.2,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
wight_militia_archer,Wight Militia Archer,whitewalker,11.0,0.0,special_or_unlinked,Ranged,True,False,61.33818589025756,47.0,highland_ranger_bow|mountain_hunting_bow,44.0,82.5,66.0,86.0,54.0,26.25,7.025,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
wight_militia_veteran_archer,Wight Militia Veteran Archer,whitewalker,16.0,0.0,special_or_unlinked,Ranged,True,False,61.33818589025756,47.0,highland_ranger_bow,47.0,83.0,65.0,86.0,54.0,44.0,14.2,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
ibbenese_militia_veteran_archer,Ibbenese Militia Veteran Archer,ibbenese,16.0,0.0,special_or_unlinked,Ranged,True,False,58.93057110862262,46.0,hunting_bow|nordic_shortbow,41.5,87.5,65.75,87.5,27.0,54.75,14.5875,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
ghiscari_militia_archer,Ghiscari Militia Archer,ghiscari,11.0,0.0,special_or_unlinked,Ranged,True,False,57.89473684210527,41.0,steppe_bow,41.0,80.0,68.0,86.0,54.0,52.0,20.0,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
lyseni_militia_archer,Lyseni Militia Archer,lyseni,11.0,0.0,special_or_unlinked,Ranged,True,False,57.89473684210527,41.0,steppe_bow,41.0,80.0,68.0,86.0,54.0,52.0,20.0,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
myrish_militia_archer,Myrish Militia Archer,myrish,11.0,0.0,special_or_unlinked,Ranged,True,False,57.89473684210527,41.0,steppe_bow,41.0,80.0,68.0,86.0,54.0,52.0,20.0,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
norvos_militia_archer,Norvoshi Militia Archer,norvos,11.0,0.0,special_or_unlinked,Ranged,True,False,57.89473684210527,41.0,steppe_bow,41.0,80.0,68.0,86.0,54.0,60.0,20.4,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
pentoshi_militia_archer,Pentoshi Militia Archer,pentoshi,11.0,0.0,special_or_unlinked,Ranged,True,False,57.89473684210527,41.0,steppe_bow,41.0,80.0,68.0,86.0,54.0,60.0,20.4,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
qohorik_militia_archer,Qohorik Militia Archer,qohorik,11.0,0.0,special_or_unlinked,Ranged,True,False,57.89473684210527,41.0,steppe_bow,41.0,80.0,68.0,86.0,54.0,58.0,20.15,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
sarnor_militia_archer,Sarnori Militia Archer,sarnor,11.0,0.0,special_or_unlinked,Ranged,True,False,57.89473684210527,41.0,steppe_bow,41.0,80.0,68.0,86.0,54.0,49.0,17.75,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
summer_militia_archer,Summer Isles Militia Archer,summer,11.0,0.0,special_or_unlinked,Ranged,True,False,57.89473684210527,41.0,steppe_bow,41.0,80.0,68.0,86.0,54.0,52.0,20.0,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
tyroshi_militia_archer,Tyroshi Militia Archer,tyroshi,11.0,0.0,special_or_unlinked,Ranged,True,False,57.89473684210527,41.0,steppe_bow,41.0,80.0,68.0,86.0,54.0,52.0,20.0,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
valyrian_militia_archer,Valyrian Militia Archer,valyrian,11.0,0.0,special_or_unlinked,Ranged,True,False,57.89473684210527,41.0,steppe_bow,41.0,80.0,68.0,86.0,54.0,60.0,20.4,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
volantine_militia_archer,Volantene Militia Archer,volantine,11.0,0.0,special_or_unlinked,Ranged,True,False,57.89473684210527,41.0,steppe_bow,41.0,80.0,68.0,86.0,54.0,60.0,20.4,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
yiti_militia_archer,Yitish Militia Archer,yiti,11.0,0.0,special_or_unlinked,Ranged,True,False,57.89473684210527,41.0,steppe_bow,41.0,80.0,68.0,86.0,54.0,60.0,20.4,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
ibbenese_militia_archer,Ibbenese Militia Archer,ibbenese,11.0,0.0,special_or_unlinked,Ranged,True,False,53.94736842105263,40.0,hunting_bow,40.0,85.0,64.0,87.0,27.0,36.25,11.3125,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
