batch,track,context,efficiency_rank,impact_rank,rank_delta,display_name,provisional_slug,canonical_troop_id,identity_status,independent_battles,deployed,kills,kills_per_deployed,verified_player_side_total_kills,player_side_kill_share,share_adjusted_impact,kill_share_coverage_battles,kill_share_coverage_complete,kill_share_status,kill_share_denominator_provenance,reliability_status
2026-07-27-normalized-only,realm_of_thrones,siege_attack,26,,,Mallister House Guard [T5],mallister_house_guard,mallister_houseguard,confirmed_id,5,68,47,0.691176,,,,0,False,missing_player_side_total,,reliable
2026-07-27-normalized-only,realm_of_thrones,siege_attack,27,,,Northern Mounted Warlord [T6],northern_mounted_warlord,,unresolved,4,29,20,0.689655,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,28,,,Blackwood Bowman [T3],blackwood_bowman,,unresolved,1,19,12,0.631579,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,29,,,Riverlands Elite Archer [T4],riverlands_elite_archer,,unresolved,1,29,17,0.586207,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,30,,,Mallister Eagle Knight [T6],mallister_eagle_knight,mallister_knight,confirmed_id,5,67,38,0.567164,,,,0,False,missing_player_side_total,,reliable
2026-07-27-normalized-only,realm_of_thrones,siege_attack,31,,,Northern Colonel [T5],northern_colonel,,unresolved,2,18,10,0.555556,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,32,,,Mallister Footman [T3],mallister_footman,,unresolved,1,9,5,0.555556,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,33,,,Northern Winter Champion [T5],northern_winter_champion,,unresolved,4,30,16,0.533333,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,34,,,Blackwood Levy [T2],blackwood_levy,,unresolved,1,35,17,0.485714,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,35,,,Northern Horseman [T5],northern_horseman,,unresolved,3,34,16,0.470588,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,36,,,Blackwood Archer [T4],blackwood_archer,,unresolved,1,13,6,0.461538,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,37,,,Mallister Horseman [T4],mallister_horseman,,unresolved,1,5,2,0.400000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,38,,,Northern Archer [T4],northern_archer,,unresolved,1,6,2,0.333333,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,39,,,Riverlands Soldier [T3],riverlands_soldier,,unresolved,1,10,3,0.300000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,40,,,Riverlands Archer [T3],riverlands_archer,,unresolved,1,21,6,0.285714,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,41,,,Riverlands Axeman [T5],riverlands_axeman,river_axeman,confirmed_id,1,14,3,0.214286,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,42,,,Blackwood Recruit [T1],blackwood_recruit,,unresolved,1,8,1,0.125000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_defense,1,,,Northern Winter Champion [T5],northern_winter_champion,,unresolved,1,4,132,33.000000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_defense,2,,,Westerlands Militia Spearman [T2],westerlands_militia_spearman,,unresolved,1,8,51,6.375000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_defense,3,,,Northern Ranger [T5],northern_ranger,,unresolved,1,4,20,5.000000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_defense,4,,,Riverlands Admiral [T6],riverlands_admiral,river_admiral,confirmed_id,1,4,18,4.500000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_defense,5,,,Mallister Elite Archer [T5],mallister_elite_archer,mallister_elite_archer,confirmed_id,1,32,141,4.406250,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_defense,6,,,Ravens' Teeth [T6],ravens_teeth,ravens_teeth,confirmed_id,1,19,61,3.210526,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_defense,7,,,Mallister House Guard [T5],mallister_house_guard,mallister_houseguard,confirmed_id,1,13,19,1.461538,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_defense,8,,,Westerlands Banner Knight [T6],westerlands_banner_knight,,unresolved,1,10,12,1.200000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_defense,9,,,Riverlands Ranger [T5],riverlands_ranger,river_ranger,confirmed_id,1,52,46,0.884615,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_defense,10,,,Mallister Eagle Knight [T6],mallister_eagle_knight,mallister_knight,confirmed_id,1,15,12,0.800000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_defense,11,,,Westerlands Militia Archer [T2],westerlands_militia_archer,,unresolved,1,10,7,0.700000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_defense,12,,,Blackwood House Guard [T5],blackwood_house_guard,,unresolved,1,19,7,0.368421,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_defense,13,,,Westerlands Militia Veteran Archer [T4],westerlands_militia_veteran_archer,,unresolved,1,1,0,0.000000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-rot-field-followup,realm_of_thrones,field,1,1,0,Ravens' Teeth [T6],ravens_teeth,ravens_teeth,confirmed_id,1,9,28,3.111111,202,0.138614,0.431243,1,True,complete,battle_metadata_direct,insufficient_evidence
2026-07-27-rot-field-followup,realm_of_thrones,field,2,8,6,Mallister Horseman [T4],mallister_horseman,,unresolved,1,1,3,3.000000,202,0.014851,0.044554,1,True,complete,battle_metadata_direct,insufficient_evidence
2026-07-27-rot-field-followup,realm_of_thrones,field,3,3,0,Frey Assassin [T6],frey_assassin,,unresolved,1,5,12,2.400000,202,0.059406,0.142574,1,True,complete,battle_metadata_direct,insufficient_evidence
2026-07-27-rot-field-followup,realm_of_thrones,field,4,9,5,Riverlands Admiral [T6],riverlands_admiral,river_admiral,confirmed_id,1,2,4,2.000000,202,0.019802,0.039604,1,True,complete,battle_metadata_direct,insufficient_evidence
2026-07-27-rot-field-followup,realm_of_thrones,field,5,11,6,Riverrun Captain [T6],riverrun_captain,,unresolved,1,2,3,1.500000,202,0.014851,0.022277,1,True,complete,battle_metadata_direct,insufficient_evidence
2026-07-27-rot-field-followup,realm_of_thrones,field,6,2,-4,Blackwood Longbowman [T5],blackwood_longbowman,,unresolved,2,27,38,1.407407,322,0.118012,0.166092,2,True,complete,battle_metadata_direct,insufficient_evidence
2026-07-27-rot-field-followup,realm_of_thrones,field,7,10,3,Guard of the Crossing [T5],guard_of_the_crossing,,unresolved,1,3,4,1.333333,202,0.019802,0.026403,1,True,complete,battle_metadata_direct,insufficient_evidence
2026-07-27-rot-field-followup,realm_of_thrones,field,8,4,-4,Blackwood Archer [T4],blackwood_archer,,unresolved,2,59,52,0.881356,322,0.161491,0.142331,2,True,complete,battle_metadata_direct,insufficient_evidence
2026-07-27-rot-field-followup,realm_of_thrones,field,9,5,-4,Blackwood Bowman [T3],blackwood_bowman,,unresolved,2,61,45,0.737705,322,0.139752,0.103095,2,True,complete,battle_metadata_direct,insufficient_evidence
2026-07-27-rot-field-followup,realm_of_thrones,field,10,6,-4,Mallister Man at Arms [T4],mallister_man_at_arms,,unresolved,2,62,42,0.677419,322,0.130435,0.088359,2,True,complete,battle_metadata_direct,insufficient_evidence
2026-07-27-rot-field-followup,realm_of_thrones,field,11,7,-4,Mallister House Guard [T5],mallister_house_guard,mallister_houseguard,confirmed_id,2,51,34,0.666667,322,0.105590,0.070393,2,True,complete,battle_metadata_direct,insufficient_evidence
2026-07-27-rot-field-followup,realm_of_thrones,field,12,12,0,Mallister Footman [T3],mallister_footman,,unresolved,1,29,3,0.103448,120,0.025000,0.002586,1,True,complete,battle_metadata_direct,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,1,,,Nord Hearthguard [T4],nord_hearthguard,nord_jarlsmann,confirmed_id,1,4,15,3.750000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,2,,,Forest Lord [T6],forest_lord,forest_bandits_boss,confirmed_id,5,5,18,3.600000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,3,,,Battanian Veteran Skirmisher [T4],battanian_veteran_skirmisher,,unresolved,1,2,7,3.500000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,4,,,Nord Huscarl [T6],nord_huscarl,nord_huscarl,confirmed_id,6,25,78,3.120000,,,,0,False,archive_hash_mismatch,,reliable
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,5,,,Desert Emir [T6],desert_emir,desert_bandits_boss,confirmed_id,3,3,9,3.000000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,6,,,Nord War-Proven [T3],nord_war_proven,nord_thegn,confirmed_id,2,2,6,3.000000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,7,,,Battanian Wildling [T5],battanian_wildling,battanian_wildling,confirmed_id,8,34,91,2.676471,,,,0,False,archive_hash_mismatch,,reliable
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,8,,,Sturgian Varyag Guard [T4],sturgian_varyag_guard,varyag_veteran,confirmed_id,2,5,11,2.200000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,9,,,Nord Scion [T2],nord_scion,nord_ungmann,confirmed_id,1,7,15,2.142857,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,10,,,Sturgian Varyag [T3],sturgian_varyag,varyag,confirmed_id,2,5,10,2.000000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,11,,,Nord Shield-Companion [T5],nord_shield_companion,nord_hirdmann,confirmed_id,1,1,2,2.000000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,12,,,Sturgian Soldier [T3],sturgian_soldier,,unresolved,1,1,2,2.000000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,13,,,Sturgian Druzhinnik Champion [T6],sturgian_druzhinnik_champion,druzhinnik_champion,confirmed_id,5,14,27,1.928571,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,14,,,Hired Valkyrja [T5],hired_valkyrja,shield_sisters_sister_t5,confirmed_id,6,16,30,1.875000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,15,,,Vlandian Banner Knight [T6],vlandian_banner_knight,vlandian_banner_knight,confirmed_id,2,4,7,1.750000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,16,,,Imperial Legionary [T5],imperial_legionary,imperial_legionary,confirmed_id,3,26,39,1.500000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,17,,,Steppe Chief [T6],steppe_chief,steppe_bandits_boss,confirmed_id,2,2,3,1.500000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,18,,,Steppe Khorchighai [T5],steppe_khorchighai,steppe_bandits_bossen,confirmed_id,2,2,3,1.500000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,19,,,Mountain Hedgeknight [T5],mountain_hedgeknight,mountain_bandits_bossen,confirmed_id,5,9,13,1.444444,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,20,,,Forest Reaper [T5],forest_reaper,forest_bandits_bossen,confirmed_id,6,24,33,1.375000,,,,0,False,archive_hash_mismatch,,reliable
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,21,,,Imperial Elite Cataphract [T6],imperial_elite_cataphract,imperial_elite_cataphract,confirmed_id,7,140,189,1.350000,,,,0,False,archive_hash_mismatch,,reliable
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,22,,,Imperial Menavliaton [T4],imperial_menavliaton,,unresolved,1,7,7,1.000000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,23,,,Khuzait Qanqli [T3],khuzait_qanqli,,unresolved,1,5,5,1.000000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,24,,,Battanian Skirmisher [T3],battanian_skirmisher,,unresolved,1,2,2,1.000000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,25,,,Khuzait Torguud [T4],khuzait_torguud,,unresolved,1,2,2,1.000000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,26,,,Imperial Veteran Infantryman [T4],imperial_veteran_infantryman,,unresolved,3,20,19,0.950000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,27,,,Veteran Outrider [T5],veteran_outrider,eastern_mounted_mercenary_t5,confirmed_id,5,39,36,0.923077,,,,0,False,archive_hash_mismatch,,reliable
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,28,,,Khuzait Khan's Guard [T6],khuzait_khans_guard,khuzait_khans_guard,confirmed_id,7,112,99,0.883929,,,,0,False,archive_hash_mismatch,,reliable
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,29,,,Imperial Elite Menavliaton [T5],imperial_elite_menavliaton,,unresolved,1,8,7,0.875000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,30,,,Khuzait Footman [T2],khuzait_footman,,unresolved,1,8,7,0.875000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,31,,,Imperial Trained Infantryman [T3],imperial_trained_infantryman,,unresolved,5,41,32,0.780488,,,,0,False,archive_hash_mismatch,,reliable
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,32,,,Sturgian Otrok [T2],sturgian_otrok,sturgian_warrior_son,confirmed_id,1,4,3,0.750000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,33,,,Khuzait Marksman [T5],khuzait_marksman,khuzait_marksman,confirmed_id,4,15,11,0.733333,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,34,,,Imperial Recruit [T1],imperial_recruit,,unresolved,4,62,31,0.500000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,35,,,Imperial Infantryman [T2],imperial_infantryman,,unresolved,4,30,13,0.433333,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,36,,,Sturgian Druzhinnik [T5],sturgian_druzhinnik,druzhinnik,confirmed_id,1,5,2,0.400000,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-07-28-to-29-nightmare-sails-field,nightmare_sails,field,37,,,Khuzait Noble's Son [T2],khuzait_nobles_son,,unresolved,2,14,3,0.214286,,,,0,False,archive_hash_mismatch,,insufficient_evidence
2026-08-08-to-10-sarnori-mixed,realm_of_thrones,field,1,2,1,Qartheen Enthroned Guardian [T6],qartheen_enthroned_guardian,enthroned_guardian,confirmed_id,1,7,43,6.142857,1037,0.041466,0.254718,1,True,complete,side_total_direct,insufficient_evidence
2026-08-08-to-10-sarnori-mixed,realm_of_thrones,field,2,9,7,Dothraki Savage [T4],dothraki_savage,,unresolved,1,1,6,6.000000,1234,0.004862,0.029173,1,True,complete,side_total_direct,insufficient_evidence
2026-08-08-to-10-sarnori-mixed,realm_of_thrones,field,3,8,5,Ibbenese Whaler [T5],ibbenese_whaler,ibbenese_whaler,confirmed_id,1,3,13,4.333333,1234,0.010535,0.045651,1,True,complete,side_total_direct,insufficient_evidence
2026-08-08-to-10-sarnori-mixed,realm_of_thrones,field,4,14,10,Dothraki Barbarian [T5],dothraki_barbarian,,unresolved,1,1,4,4.000000,1234,0.003241,0.012966,1,True,complete,side_total_direct,insufficient_evidence
2026-08-08-to-10-sarnori-mixed,realm_of_thrones,field,5,4,-1,Unsullied [T6],unsullied,unsullied,confirmed_id,2,34,113,3.323529,1900,0.059474,0.197663,2,True,complete,side_total_direct,insufficient_evidence
2026-08-08-to-10-sarnori-mixed,realm_of_thrones,field,6,5,-1,Ibbenese Navigator [T6],ibbenese_navigator,ibbenese_navigator,confirmed_id,2,29,95,3.275862,2271,0.041832,0.137035,2,True,complete,side_total_direct,insufficient_evidence
2026-08-08-to-10-sarnori-mixed,realm_of_thrones,field,7,10,3,Ibbenese Mariner [T5],ibbenese_mariner,ibbenese_mariner,confirmed_id,2,5,16,3.200000,2271,0.007045,0.022545,2,True,complete,side_total_direct,insufficient_evidence
