context,rank,display_name,provisional_slug,canonical_troop_id,identity_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,impact_rank,verified_player_side_total_kills,player_side_kill_share,share_adjusted_impact,kill_share_coverage_battles,kill_share_coverage_complete,kill_share_status,kill_share_denominator_provenance,death_rate,casualty_rate,ci95_low,ci95_high,reliability_status
field,12,Stark Master Longbowman [T5],stark_master_longbowman,stark_master_archer,confirmed_id,1,58,0,89,6,52,0,1.534483,2,361,0.246537,0.378307,1,True,complete,battle_metadata_and_side_total,0.103448,1.000000,,,insufficient_evidence
field,13,Riverlands Soldier [T3],riverlands_soldier,river_soldier,confirmed_id,1,15,0,22,2,13,0,1.466667,7,378,0.058201,0.085362,1,True,complete,battle_metadata_and_side_total,0.133333,1.000000,,,insufficient_evidence
field,14,Northern Raider [T3],northern_raider,,unresolved,1,3,3,4,0,0,0,1.333333,11,140,0.028571,0.038095,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
field,15,Northern Man at Arms [T3],northern_man_at_arms,,unresolved,1,7,6,9,0,1,0,1.285714,8,140,0.064286,0.082653,1,True,complete,battle_metadata_and_side_total,0.000000,0.142857,,,insufficient_evidence
field,16,Northern Ranger [T5],northern_ranger,,unresolved,3,316,207,363,13,96,0,1.148734,3,1455,0.249485,0.286591,3,True,complete,battle_metadata_and_side_total,0.041139,0.344937,,,insufficient_evidence
field,17,Reaver [T4],reaver,,unresolved,1,70,0,74,11,59,0,1.057143,6,361,0.204986,0.216700,1,True,complete,battle_metadata_and_side_total,0.157143,1.000000,,,insufficient_evidence
field,18,Stark House Guard [T5],stark_house_guard,stark_houseguard,confirmed_id,3,72,35,72,11,26,0,1.000000,9,987,0.072948,0.072948,3,True,complete,battle_metadata_and_side_total,0.152778,0.513889,,,insufficient_evidence
field,19,Riverlands Admiral [T6],riverlands_admiral,river_admiral,confirmed_id,2,4,1,4,1,2,0,1.000000,31,969,0.004128,0.004128,2,True,complete,battle_metadata_and_side_total,0.250000,0.750000,,,insufficient_evidence
field,20,Northern Woodsman [T2],northern_woodsman,,unresolved,1,1,1,1,0,0,0,1.000000,28,140,0.007143,0.007143,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
field,21,Gold Cloak Soldier [T3],gold_cloak_soldier,goldcloak_soldier,confirmed_id,2,31,8,29,2,21,0,0.935484,14,864,0.033565,0.031399,2,True,complete,battle_metadata_and_side_total,0.064516,0.741935,,,insufficient_evidence
field,22,Northern Archer [T4],northern_archer,,unresolved,1,24,22,18,0,2,0,0.750000,17,486,0.037037,0.027778,1,True,complete,battle_metadata_and_side_total,0.000000,0.083333,,,insufficient_evidence
field,23,Northern Sergeant [T4],northern_sergeant,,unresolved,2,14,10,10,1,3,0,0.714286,23,626,0.015974,0.011410,2,True,complete,battle_metadata_and_side_total,0.071429,0.285714,,,insufficient_evidence
field,24,Gold Cloak Sniper [T5],gold_cloak_sniper,goldcloak_master_archer,confirmed_id,3,111,66,77,8,37,0,0.693694,12,1455,0.052921,0.036711,3,True,complete,battle_metadata_and_side_total,0.072072,0.405405,,,insufficient_evidence
field,25,Westerlands Footman [T2],westerlands_footman,,unresolved,1,6,0,4,1,5,0,0.666667,29,378,0.010582,0.007055,1,True,complete,battle_metadata_and_side_total,0.166667,1.000000,,,insufficient_evidence
field,26,Stark Soldier [T4],stark_soldier,stark_soldier,confirmed_id,3,58,23,35,7,28,0,0.603448,19,987,0.035461,0.021399,3,True,complete,battle_metadata_and_side_total,0.120690,0.603448,,,insufficient_evidence
field,27,Ravager [T3],ravager,,unresolved,1,5,0,3,1,4,0,0.600000,30,361,0.008310,0.004986,1,True,complete,battle_metadata_and_side_total,0.200000,1.000000,,,insufficient_evidence
field,28,Crownlands Levy [T2],crownlands_levy,crownlands_levy,confirmed_id,3,30,5,16,4,21,0,0.533333,24,1004,0.015936,0.008499,3,True,complete,battle_metadata_and_side_total,0.133333,0.833333,,,insufficient_evidence
field,29,Gold Cloak Elite Archer [T4],gold_cloak_elite_archer,goldcloak_elite_archer,confirmed_id,1,22,21,9,0,1,0,0.409091,26,486,0.018519,0.007576,1,True,complete,battle_metadata_and_side_total,0.000000,0.045455,,,insufficient_evidence
field,30,Gold Cloak Archer [T3],gold_cloak_archer,goldcloak_archer,confirmed_id,1,23,21,9,1,1,0,0.391304,27,486,0.018519,0.007246,1,True,complete,battle_metadata_and_side_total,0.043478,0.086957,,,insufficient_evidence
field,31,Stark Footman [T3],stark_footman,stark_footman,confirmed_id,2,29,11,11,6,12,0,0.379310,25,501,0.021956,0.008328,2,True,complete,battle_metadata_and_side_total,0.206897,0.620690,,,insufficient_evidence
field,32,Andal Convoy Guard [T4],andal_convoy_guard,,unresolved,1,6,0,2,1,5,0,0.333333,33,361,0.005540,0.001847,1,True,complete,battle_metadata_and_side_total,0.166667,1.000000,,,insufficient_evidence
field,33,Andal Veteran Convoy Guard [T5],andal_veteran_convoy_guard,,unresolved,1,4,0,1,1,3,0,0.250000,35,361,0.002770,0.000693,1,True,complete,battle_metadata_and_side_total,0.250000,1.000000,,,insufficient_evidence
field,34,Andal Caravan Guard [T4],andal_caravan_guard,,unresolved,1,6,4,1,0,2,0,0.166667,34,140,0.007143,0.001190,1,True,complete,battle_metadata_and_side_total,0.000000,0.333333,,,insufficient_evidence
field,35,Crownlands Recruit [T1],crownlands_recruit,crownlands_recruit,confirmed_id,1,20,15,3,1,4,0,0.150000,32,140,0.021429,0.003214,1,True,complete,battle_metadata_and_side_total,0.050000,0.250000,,,insufficient_evidence
siege_attack,1,Riverlands Axeman [T5],riverlands_axeman,river_axeman,confirmed_id,2,8,3,21,1,4,0,2.625000,8,582,0.036082,0.094716,2,True,complete,battle_metadata_and_side_total|battle_metadata_direct,0.125000,0.625000,,,insufficient_evidence
siege_attack,2,Riverlands Admiral [T6],riverlands_admiral,river_admiral,confirmed_id,1,3,2,6,0,1,0,2.000000,13,312,0.019231,0.038462,1,True,complete,battle_metadata_direct,0.000000,0.333333,,,insufficient_evidence
siege_attack,3,Northern Archer [T4],northern_archer,,unresolved,1,2,2,4,0,0,0,2.000000,18,270,0.014815,0.029630,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
siege_attack,4,Westerlands Banner Knight [T6],westerlands_banner_knight,,unresolved,1,1,1,2,0,0,0,2.000000,22,270,0.007407,0.014815,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
siege_attack,5,Stark House Guard [T5],stark_house_guard,stark_houseguard,confirmed_id,2,29,27,51,1,1,0,1.758621,5,633,0.080569,0.141690,2,True,complete,battle_metadata_and_side_total,0.034483,0.068966,,,insufficient_evidence
siege_attack,6,Stark Soldier [T4],stark_soldier,stark_soldier,confirmed_id,1,33,29,55,1,3,0,1.666667,2,363,0.151515,0.252525,1,True,complete,battle_metadata_and_side_total,0.030303,0.121212,,,insufficient_evidence
siege_attack,7,Andal Convoy Guard [T4],andal_convoy_guard,,unresolved,1,8,6,12,1,1,0,1.500000,12,363,0.033058,0.049587,1,True,complete,battle_metadata_and_side_total,0.125000,0.250000,,,insufficient_evidence
siege_attack,8,Reaver [T4],reaver,,unresolved,1,33,26,43,1,6,0,1.303030,4,363,0.118457,0.154353,1,True,complete,battle_metadata_and_side_total,0.030303,0.212121,,,insufficient_evidence
siege_attack,9,Ravager [T3],ravager,,unresolved,1,18,14,22,0,4,0,1.222222,9,363,0.060606,0.074074,1,True,complete,battle_metadata_and_side_total,0.000000,0.222222,,,insufficient_evidence
siege_attack,10,Northern Ranger [T5],northern_ranger,,unresolved,3,394,320,478,10,64,0,1.213198,1,1136,0.420775,0.510483,3,True,complete,battle_metadata_and_side_total|battle_metadata_direct,0.025381,0.187817,,,insufficient_evidence
siege_attack,11,Gold Cloak Sniper [T5],gold_cloak_sniper,goldcloak_master_archer,confirmed_id,3,170,141,201,8,21,0,1.182353,3,1136,0.176937,0.209202,3,True,complete,battle_metadata_and_side_total|battle_metadata_direct,0.047059,0.170588,,,insufficient_evidence
siege_attack,12,Stark Levy [T2],stark_levy,stark_levy,confirmed_id,1,33,23,34,2,8,0,1.030303,7,363,0.093664,0.096502,1,True,complete,battle_metadata_and_side_total,0.060606,0.303030,,,insufficient_evidence
siege_attack,13,Andal Veteran Convoy Guard [T5],andal_veteran_convoy_guard,,unresolved,1,5,3,5,1,1,0,1.000000,23,363,0.013774,0.013774,1,True,complete,battle_metadata_and_side_total,0.200000,0.400000,,,insufficient_evidence
siege_attack,14,Westerlands Halberdier [T5],westerlands_halberdier,,unresolved,1,1,1,1,0,0,0,1.000000,25,270,0.003704,0.003704,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
siege_attack,15,Stark Sworn Sword [T6],stark_sworn_sword,stark_swornsword,confirmed_id,4,191,111,190,23,57,0,0.994764,6,1499,0.126751,0.126088,4,True,complete,battle_metadata_and_side_total|battle_metadata_direct,0.120419,0.418848,,,insufficient_evidence
siege_attack,16,Northern Colonel [T5],northern_colonel,,unresolved,3,75,58,70,3,14,0,0.933333,11,1136,0.061620,0.057512,3,True,complete,battle_metadata_and_side_total|battle_metadata_direct,0.040000,0.226667,,,insufficient_evidence
siege_attack,17,Stark Master Longbowman [T5],stark_master_longbowman,stark_master_archer,confirmed_id,2,27,16,23,4,7,0,0.851852,17,633,0.036335,0.030952,2,True,complete,battle_metadata_and_side_total,0.148148,0.407407,,,insufficient_evidence
siege_attack,18,Gold Cloak Petty Officer [T4],gold_cloak_petty_officer,goldcloak_officer,confirmed_id,1,10,5,8,0,5,0,0.800000,20,312,0.025641,0.020513,1,True,complete,battle_metadata_direct,0.000000,0.500000,,,insufficient_evidence
siege_attack,19,Stark Footman [T3],stark_footman,stark_footman,confirmed_id,1,44,32,32,2,10,0,0.727273,10,363,0.088154,0.064112,1,True,complete,battle_metadata_and_side_total,0.045455,0.272727,,,insufficient_evidence
siege_attack,20,Gold Cloak Halberdier [T5],gold_cloak_halberdier,kingsguard,confirmed_id,3,48,29,33,5,14,0,0.687500,21,1136,0.029049,0.019971,3,True,complete,battle_metadata_and_side_total|battle_metadata_direct,0.104167,0.395833,,,insufficient_evidence
siege_attack,21,Pirate [T2],pirate,,unresolved,1,31,22,20,4,5,0,0.645161,14,363,0.055096,0.035546,1,True,complete,battle_metadata_and_side_total,0.129032,0.290323,,,insufficient_evidence
siege_attack,22,Riverlands Ranger [T5],riverlands_ranger,river_ranger,confirmed_id,1,19,19,12,0,0,0,0.631579,19,270,0.044444,0.028070,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
siege_attack,23,Stark Longbowman [T4],stark_longbowman,stark_archer,confirmed_id,1,38,10,21,3,25,0,0.552632,15,363,0.057851,0.031970,1,True,complete,battle_metadata_and_side_total,0.078947,0.736842,,,insufficient_evidence
siege_attack,24,Stark Bowman [T3],stark_bowman,stark_bowman,confirmed_id,1,79,23,30,11,45,0,0.379747,16,363,0.082645,0.031384,1,True,complete,battle_metadata_and_side_total,0.139241,0.708861,,,insufficient_evidence
siege_attack,25,Westerlands Footman [T2],westerlands_footman,,unresolved,1,10,6,3,1,3,0,0.300000,27,312,0.009615,0.002885,1,True,complete,battle_metadata_direct,0.100000,0.400000,,,insufficient_evidence
siege_attack,26,Gold Cloak Elite Archer [T4],gold_cloak_elite_archer,goldcloak_elite_archer,confirmed_id,1,11,10,3,1,0,0,0.272727,26,270,0.011111,0.003030,1,True,complete,battle_metadata_and_side_total,0.090909,0.090909,,,insufficient_evidence
siege_attack,27,Riverlands Soldier [T3],riverlands_soldier,river_soldier,confirmed_id,1,20,16,5,2,2,0,0.250000,24,312,0.016026,0.004006,1,True,complete,battle_metadata_direct,0.100000,0.200000,,,insufficient_evidence
siege_attack,28,Crownlands Levy [T2],crownlands_levy,crownlands_levy,confirmed_id,1,9,3,2,2,4,0,0.222222,31,554,0.003610,0.000802,1,True,complete,battle_metadata_and_side_total,0.222222,0.666667,,,insufficient_evidence
siege_attack,29,Gold Cloak Soldier [T3],gold_cloak_soldier,goldcloak_soldier,confirmed_id,1,17,16,3,1,0,0,0.176471,28,312,0.009615,0.001697,1,True,complete,battle_metadata_direct,0.058824,0.058824,,,insufficient_evidence
siege_attack,30,Riverlands Man at Arms [T4],riverlands_man_at_arms,river_man_at_arms,confirmed_id,1,12,7,2,2,3,0,0.166667,30,312,0.006410,0.001068,1,True,complete,battle_metadata_direct,0.166667,0.416667,,,insufficient_evidence
siege_attack,31,Crownlands Recruit [T1],crownlands_recruit,crownlands_recruit,confirmed_id,1,38,4,5,3,31,0,0.131579,29,554,0.009025,0.001188,1,True,complete,battle_metadata_and_side_total,0.078947,0.894737,,,insufficient_evidence
siege_attack,32,Riverlands Recruit [T1],riverlands_recruit,river_recruit,confirmed_id,1,40,4,2,2,34,0,0.050000,32,554,0.003610,0.000181,1,True,complete,battle_metadata_and_side_total,0.050000,0.900000,,,insufficient_evidence
