display_name,observed_tiers,row_class,ordinary_occurrences,excluded_character_occurrences,canonical_troop_id,resolution_status,default_group,canonical_role,level,candidate_count,candidate_troop_ids,non_soldier_exact_match_ids,resolution_method,blocking_reason,audit_path,audit_sha256
Forest Bandit,4,ordinary_troop,1,0,,unresolved_provisional_label,,,,0,,forest_bandits_chief,no inferred alias,exact display-name matches only non-soldier audit rows,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Frey Assassin,6,ordinary_troop,2,0,frey_assassin,confirmed_id,Ranged,ranged,31.0,1,frey_assassin,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Ghiscari Archer,3,ordinary_troop,1,0,ghiscari_archer,confirmed_id,Ranged,ranged,16.0,1,ghiscari_archer,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Ghiscari Footman,2,ordinary_troop,1,0,ghiscari_footman,confirmed_id,Infantry,frontline_infantry,11.0,1,ghiscari_footman,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Ghiscari Lockstep Legionnaire,6,ordinary_troop,10,0,ghiscari_unsullied_unbroken,confirmed_id,Infantry,frontline_infantry,31.0,1,ghiscari_unsullied_unbroken,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Ghiscari Recruit,1,ordinary_troop,1,0,ghiscari_recruit,confirmed_id,Infantry,frontline_infantry,6.0,1,ghiscari_recruit,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Ghiscari Soldier,4,ordinary_troop,3,0,ghiscari_soldier,confirmed_id,Infantry,frontline_infantry,21.0,1,ghiscari_soldier,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Lengii Mounted Slayer,4,ordinary_troop,2,0,,unresolved_provisional_label,,,,0,,,no inferred alias,no exact display-name match in the versioned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Lord Varys,,character,0,4,ROTwanderer2,excluded_character_confirmed,Ranged,ranged,,1,ROTwanderer2,ROTwanderer2,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Maelor of Elyria,,character,0,2,,excluded_character_unresolved_identity,,,,0,,,no inferred alias,no exact display-name match in the versioned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Mountain's Man,6,ordinary_troop,2,0,mountains_man,confirmed_id,Infantry,frontline_infantry,31.0,1,mountains_man,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Norvoshi Spearman,4,ordinary_troop,1,0,norvos_spearman,confirmed_id,Infantry,frontline_infantry,21.0,1,norvos_spearman,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Archer,3,ordinary_troop,4,0,qartheen_archer,confirmed_id,Ranged,ranged,16.0,1,qartheen_archer,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Bowman,2,ordinary_troop,1,0,qartheen_bowman,confirmed_id,Ranged,ranged,11.0,1,qartheen_bowman,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Elite Hoplite,5,ordinary_troop,6,0,qartheen_elite_hoplite,confirmed_id,Infantry,frontline_infantry,26.0,1,qartheen_elite_hoplite,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Enthroned Guardian,6,ordinary_troop,13,0,enthroned_guardian,confirmed_id,Ranged,ranged,31.0,1,enthroned_guardian,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Footman,2,ordinary_troop,1,0,qartheen_footman,confirmed_id,Infantry,frontline_infantry,11.0,1,qartheen_footman,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Hoplite,4,ordinary_troop,4,0,qartheen_hoplite,confirmed_id,Infantry,frontline_infantry,21.0,1,qartheen_hoplite,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Longbowman,5,ordinary_troop,13,0,qartheen_longbowman,confirmed_id,Ranged,ranged,26.0,1,qartheen_longbowman,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Master Cameleer,5,ordinary_troop,1,0,qartheen_master_cameleer,confirmed_id,Cavalry,melee_cavalry,26.0,1,qartheen_master_cameleer,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Pureborn Champion,5,ordinary_troop,7,0,qartheen_champion,confirmed_id,Ranged,ranged,26.0,1,qartheen_champion,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Pureborn Fighter,3,ordinary_troop,2,0,qartheen_pureborn,confirmed_id,Infantry,frontline_infantry,16.0,1,qartheen_pureborn,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Pureborn Warrior,4,ordinary_troop,5,0,qartheen_pureborn_warrior,confirmed_id,Infantry,frontline_infantry,21.0,1,qartheen_pureborn_warrior,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Pureborn Youth,2,ordinary_troop,2,0,qartheen_noble_recruit,confirmed_id,Infantry,frontline_infantry,11.0,1,qartheen_noble_recruit,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Recruit,1,ordinary_troop,1,0,qartheen_recruit,confirmed_id,Infantry,frontline_infantry,6.0,1,qartheen_recruit,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Soldier,3,ordinary_troop,2,0,qartheen_warrior,confirmed_id,Infantry,frontline_infantry,16.0,1,qartheen_warrior,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qarthene Veteran Archer,4,ordinary_troop,9,0,qartheen_elite_archer,confirmed_id,Ranged,ranged,21.0,1,qartheen_elite_archer,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qohorik Elite Archer,5,ordinary_troop,1,0,qohorik_elite_archer,confirmed_id,Ranged,ranged,26.0,1,qohorik_elite_archer,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Queen's Man,6,ordinary_troop,2,0,dragonstone_steel_curtain,confirmed_id,Cavalry,melee_cavalry,31.0,1,dragonstone_steel_curtain,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Samwell Tarly,,character,0,10,ROTwanderer5,excluded_character_confirmed,Ranged,ranged,,1,ROTwanderer5,ROTwanderer5,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Senelle of Duskendale,,character,0,2,,excluded_character_unresolved_identity,,,,0,,,no inferred alias,no exact display-name match in the versioned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Unsullied,6,ordinary_troop,14,0,unsullied,confirmed_id,Infantry,frontline_infantry,31.0,1,unsullied,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Uthero the Restless,,character,0,9,,excluded_character_unresolved_identity,,,,0,,,no inferred alias,no exact display-name match in the versioned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Velaryon Renegade,5,ordinary_troop,2,0,velaryon_renegade,confirmed_id,Infantry,frontline_infantry,26.0,1,velaryon_renegade,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Velaryon Sea Guard,6,ordinary_troop,2,0,velaryon_sea_guard,confirmed_id,Infantry,frontline_infantry,31.0,1,velaryon_sea_guard,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Walder Frey,,character,0,2,,excluded_character_unresolved_identity,,,,0,,,no inferred alias,no exact display-name match in the versioned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Walder Rivers,,character,0,2,,excluded_character_unresolved_identity,,,,0,,,no inferred alias,no exact display-name match in the versioned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Xando Emeros,,character,0,6,ROTlord_621,excluded_character_confirmed,Cavalry,melee_cavalry,,1,ROTlord_621,ROTlord_621,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Xhoana Emeros,,character,0,7,ROTlord_622,excluded_character_confirmed,Cavalry,melee_cavalry,,1,ROTlord_622,ROTlord_622,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
