rank,tier,troop_name,troop_id,defensive_role_score,defense_score_base,armor_total,effective_armor,armor_audit_sum,shield_armor,shield_hp,OneHanded,Athletics,culture,level,n_rosters,line_status
25,A,[Iron Hills] Royal Warden,iron_hills_noble_royal_warden,56.57,51.73,242.0,60.65,174.0,1.0,670.0,345.0,185.0,erebor,46.0,1,main_or_minor_line
26,A,[Dale] Dalian Mariner,dale_dalian_mariner,56.5,51.64,197.0,57.75,165.0,7.0,560.0,180.0,105.0,sturgia,26.0,2,main_or_minor_line
27,A,[Rhûn] Darkhûn Guard,darkhun_guard,56.43,51.55,212.0,56.35,152.0,10.0,500.0,230.0,125.0,khuzait,31.0,1,main_or_minor_line
28,A,[Rhûn] Sagarûn Marine,sagarun_marine,56.11,50.47,217.5,58.38,158.0,9.0,380.0,230.0,125.0,khuzait,31.0,2,main_or_minor_line
29,A,[Rhûn] Sagarûn Storm Forged Marine,sagarun_storm_forged_marine,56.01,50.74,219.5,58.77,160.0,9.0,380.0,270.0,145.0,khuzait,36.0,2,main_or_minor_line
30,A,[Rivendell] Militia Veteran Spearman,rivendell_militia_veteran_spearman,55.49,48.35,242.0,51.74,168.1,8.4,557.1,145.0,130.0,rivendell,16.0,14,special_or_unlinked
31,A,[Isengard] Uruk-Hai Pavise Guard,urukhai_pavise,55.42,50.23,226.0,63.45,184.0,1.0,450.0,240.0,130.0,isengard,31.0,1,main_or_minor_line
32,A,[Ironpass] Infantry,ironpass_infantry,55.37,40.73,188.8,48.51,126.6,0.8,494.0,135.0,105.0,erebor,21.0,5,main_or_minor_line
33,A,[Erebor] Guard,erebor_noble_guard,54.88,49.53,231.0,63.55,182.8,1.0,400.0,240.0,130.0,erebor,31.0,4,main_or_minor_line
34,A,[Isengard] Orthanc Bodyguard,orthanc_bodyguard,54.85,50.53,237.0,63.9,195.0,1.0,450.0,332.0,178.0,isengard,41.0,1,main_or_minor_line
35,A,[Isengard] Orthanc Warden,orthanc_warden,54.66,50.29,231.43,63.54,195.4,1.0,450.0,292.0,158.0,isengard,36.0,7,main_or_minor_line
36,A,[Rivendell] Aegedhrim Elenath,rivendell_warden_gondolin,54.5,49.03,205.0,51.2,145.0,9.0,600.0,385.0,225.0,rivendell,51.0,32,main_or_minor_line
37,A,[Mirkwood] Greenwood Wardens,mirkwood_wardens,54.2,48.65,205.0,61.1,170.0,1.0,450.0,350.0,205.0,mirkwood,41.0,1,main_or_minor_line
38,A,[Mirkwood] Guardians of Felegoth,mirkwood_guardians,54.2,48.65,205.0,61.1,170.0,1.0,450.0,370.0,220.0,mirkwood,46.0,1,main_or_minor_line
39,A,[Mirkwood] Palace Guard,mirkwood_palaceguard,54.2,48.65,205.0,61.1,170.0,1.0,450.0,390.0,235.0,mirkwood,51.0,1,main_or_minor_line
40,A,[Rhûn] Loke-Rim Infantry,loke_rim_infantry,53.85,48.18,206.5,54.98,148.0,9.0,380.0,175.0,105.0,khuzait,26.0,2,main_or_minor_line
41,A,[Gundabad] Bolg's Ironfang,gundabad_bolgs_ironfang,53.8,50.09,245.0,63.25,180.0,1.0,450.0,270.0,145.0,gundabad,36.0,1,main_or_minor_line
42,A,[Rivendell] Megil-Aran Elenath,rivendell_gondolin_battlemaster,53.7,44.17,205.0,51.2,145.0,6.0,400.0,385.0,225.0,rivendell,51.0,48,main_or_minor_line
43,A,[Gondor] Serelond Coastwarden,gondor_ser_coastwarden,53.3,47.47,197.0,57.75,165.0,1.0,520.0,280.0,145.0,gondor,36.0,1,main_or_minor_line
44,A,[Rivendell] Imladris Infantry,imladris_infantry,53.26,48.45,204.21,50.34,169.2,9.0,600.0,210.0,135.0,rivendell,26.0,14,main_or_minor_line
45,A,[Rhûn] Darkhûn Veteran Infantry,darkhun_veteran_infantry,52.98,47.06,205.0,53.3,146.0,9.0,380.0,175.0,105.0,khuzait,26.0,1,main_or_minor_line
46,A,[Rohan] Meduseld Master Spearman,rohan_edoras_meduseld_master_spearman,52.61,46.58,161.8,52.13,134.8,9.0,400.0,215.0,115.0,vlandia,31.0,5,main_or_minor_line
47,A,[Dale] Dalian Swordsman,dale_royal_guard,52.56,47.02,159.5,47.25,134.0,14.0,450.0,195.0,105.0,sturgia,26.0,2,main_or_minor_line
48,A,[Gondor] Lossarnach Noble Captain,gondor_loss_noble_captain,52.04,47.27,191.0,57.45,159.0,1.0,520.0,290.0,145.0,gondor,36.0,1,main_or_minor_line
49,A,[Dale] Dalian Shipman,dale_shipman,52.0,45.78,164.0,49.05,139.0,7.0,560.0,130.0,100.0,sturgia,21.0,2,main_or_minor_line
50,B,[Isengard] Orthanc Chosen,orthanc_chosen,51.91,46.69,208.0,58.2,174.0,1.0,450.0,197.0,118.0,isengard,26.0,4,main_or_minor_line
51,B,[Isengard] Orthanc Guard,orthanc_guard,51.91,46.69,208.0,58.2,174.0,1.0,450.0,252.0,138.0,isengard,31.0,4,main_or_minor_line
52,B,[Rohan] Edoras Master Swordsman,rohan_edoras_master_swordsman,51.9,46.69,168.8,52.29,141.8,9.0,400.0,245.0,115.0,vlandia,31.0,5,main_or_minor_line
53,B,[Isengard] Champions of the White Hand,urukhai_veteraninfantry,51.86,46.63,215.0,58.1,175.0,1.0,450.0,240.0,130.0,isengard,31.0,1,main_or_minor_line
54,B,[Isengard] Uruk-Hai Veteran Spearman,urukhai_veteranspearman,51.44,45.04,195.0,55.75,155.0,1.0,450.0,170.0,110.0,isengard,26.0,1,main_or_minor_line
55,B,[Dale] Dalian Riverman,dale_riverman,51.1,44.6,158.0,47.3,134.0,7.0,560.0,95.0,85.0,sturgia,16.0,2,main_or_minor_line
56,B,[Erebor] Infantry,erebor_noble_infantry,50.65,44.02,194.75,55.38,149.8,1.0,400.0,185.0,110.0,erebor,26.0,4,main_or_minor_line
57,B,Guard,guard_rivendell,50.62,45.02,220.0,45.25,150.0,9.0,600.0,80.0,50.0,rivendell,16.0,2,special_or_unlinked
58,B,[Dol Guldur] Uruk Black Guard,dg_uruk_black_guard,50.44,45.72,210.0,56.75,165.0,1.0,450.0,245.0,132.0,dolguldur,31.0,1,main_or_minor_line
59,B,[Iron Hills] Warrior,iron_hills_reg_warrior,50.28,36.25,168.0,43.82,117.8,0.8,408.0,245.0,130.0,erebor,31.0,5,main_or_minor_line
60,B,[Rhûn] Far-Rhun Iron Legionary,far_rhun_iron_legionary,50.28,42.88,185.0,47.1,134.0,9.0,380.0,230.0,125.0,khuzait,31.0,1,main_or_minor_line
61,B,[Rivendell] Megil Mallenloth,rivendell_knight_golden_flower,50.13,44.38,191.0,44.3,135.0,9.0,600.0,385.0,225.0,rivendell,51.0,16,main_or_minor_line
62,B,[Rhûn] Wain Darkhan,wain_darkhan,50.07,41.57,209.0,55.85,154.0,1.0,220.0,270.0,145.0,khuzait,36.0,1,main_or_minor_line
63,B,[Mordor] Black Uruk Barad-Dur Guard,mordor_uruk_baraddurguard,50.01,43.18,169.0,49.55,134.0,1.0,600.0,282.0,150.0,mordor,36.0,5,main_or_minor_line
64,B,[Dol Guldur] Shadow Warden,dg_khamul_shadow_warden,49.95,45.08,173.33,44.37,124.3,14.0,450.0,285.0,152.0,dolguldur,36.0,3,main_or_minor_line
65,B,[Dunland] Turch-lûth Huskarl,dunland_boar_warlord,49.92,41.38,168.0,51.9,147.0,1.0,380.0,235.0,140.0,empire,31.0,1,main_or_minor_line
66,B,[Gundabad] Pale Uruk Mountain Guard,gundabad_chosen_of_tharzog,49.79,44.88,220.0,55.5,165.0,1.0,450.0,270.0,145.0,gundabad,36.0,1,main_or_minor_line
67,B,[Mirkwood] Greenwood Guards,mirkwood_guards,49.69,43.8,206.0,53.9,159.0,1.0,450.0,350.0,205.0,mirkwood,41.0,1,main_or_minor_line
68,B,[Mirkwood] Greenwood Swordsman,mirkwood_swordsman,49.69,43.8,206.0,53.9,159.0,1.0,450.0,385.0,220.0,mirkwood,46.0,1,main_or_minor_line
69,B,[Gondor] Anfalas Veteran Infantry,gondor_anf_vet_infantry,49.53,42.55,165.0,50.45,139.0,1.0,520.0,240.0,125.0,gondor,31.0,1,main_or_minor_line
70,B,[Gondor] Harondor Frontier Guard,gondor_har_frontier_guard,49.53,42.55,165.0,50.45,139.0,1.0,520.0,240.0,125.0,gondor,31.0,1,main_or_minor_line
71,B,[Isengard] Uruk-Hai Infantry,urukhai_infantry,49.53,43.6,199.0,53.6,161.0,1.0,450.0,185.0,110.0,isengard,26.0,1,main_or_minor_line
72,B,[Dunland] Blaidd-lûth Champion,dunland_wolf_champion,49.41,42.15,168.0,53.05,145.0,1.0,380.0,235.0,140.0,empire,31.0,1,main_or_minor_line
73,B,[Dunland] Turch-lûth Ironhide,dunland_boar_boar_warrior,49.3,40.57,161.0,50.7,142.0,1.0,380.0,180.0,120.0,empire,26.0,1,main_or_minor_line
74,B,[Gondor] Lebennin Sea Guard,gondor_leb_sea_guard,49.2,41.48,157.0,48.85,131.0,1.0,520.0,280.0,145.0,gondor,36.0,1,main_or_minor_line
75,B,[Mordor] Black Uruk Shield Guard,mordor_uruk_shieldguard,49.15,42.07,163.0,47.9,128.0,1.0,600.0,257.0,130.0,mordor,31.0,5,main_or_minor_line
76,B,[Rhûn] Far-Rhun Gate Guard,far_rhun_gate_guard,49.04,41.27,176.0,44.7,128.0,9.0,380.0,175.0,105.0,khuzait,26.0,1,main_or_minor_line
77,B,[Gondor] Serelond Veteran Maceman,gondor_ser_vet_maceman,48.88,41.71,172.0,49.2,148.0,1.0,520.0,240.0,125.0,gondor,31.0,1,main_or_minor_line
78,B,[Ironpass] Warrior,ironpass_warrior,48.78,33.86,141.2,38.3,89.8,0.8,494.0,100.0,90.0,erebor,16.0,5,main_or_minor_line
79,B,[Gondor] Belfalas Coastguard,gondor_bel_coastguard,48.7,41.48,157.0,48.85,131.0,1.0,520.0,240.0,125.0,gondor,31.0,1,main_or_minor_line
80,B,[Gondor] Linhir High Guard,gondor_lin_high_guard,48.7,41.48,157.0,48.85,131.0,1.0,520.0,280.0,145.0,gondor,36.0,1,main_or_minor_line
81,B,[Gondor] Linhir Veteran Spearman,gondor_lin_vet_spearman,48.7,41.48,157.0,48.85,131.0,1.0,520.0,225.0,125.0,gondor,31.0,1,main_or_minor_line
82,B,[Gondor] Methir Glaive Guard,gondor_met_glaive_guard,48.7,41.48,157.0,48.85,131.0,1.0,520.0,225.0,125.0,gondor,31.0,1,main_or_minor_line
83,B,[Gondor] Methir Sun Knight,gondor_met_sun_knight,48.7,41.48,157.0,48.85,131.0,1.0,520.0,320.0,165.0,gondor,41.0,1,main_or_minor_line
84,B,[Gondor] Methir Sun Warden,gondor_met_sun_warden,48.7,41.48,157.0,48.85,131.0,1.0,520.0,280.0,145.0,gondor,36.0,1,main_or_minor_line
85,B,[Gondor] Pelargir Anchor Guard,gondor_pel_anchor_guard,48.7,41.48,157.0,48.85,131.0,1.0,520.0,320.0,165.0,gondor,41.0,1,main_or_minor_line
86,B,[Gondor] Pelargir Infantry,gondor_pel_infantry,48.7,41.48,157.0,48.85,131.0,1.0,520.0,240.0,125.0,gondor,31.0,1,main_or_minor_line
87,B,[Gondor] Pelargir Veteran Infantry,gondor_pel_vet_infantry,48.7,41.48,157.0,48.85,131.0,1.0,520.0,280.0,145.0,gondor,36.0,1,main_or_minor_line
88,B,[Gondor] Ringlo Vale Spearman,gondor_ring_spearman,48.7,41.48,157.0,48.85,131.0,1.0,520.0,225.0,125.0,gondor,31.0,1,main_or_minor_line
89,B,[Gondor] Ringlo Vale Warden,gondor_ring_warden,48.7,41.48,157.0,48.85,131.0,1.0,520.0,280.0,145.0,gondor,36.0,1,main_or_minor_line
90,B,[Mordor] Black Uruk Captain,mordor_uruk_captain,48.68,41.68,185.0,50.75,150.0,1.0,450.0,282.0,150.0,mordor,36.0,5,main_or_minor_line
91,B,[Gondor] Anfalas Infantry,gondor_anf_infantry,48.49,41.21,149.0,48.45,123.0,1.0,520.0,185.0,105.0,gondor,26.0,1,main_or_minor_line
92,B,[Gondor] Belfalas Veteran Infantry,gondor_bel_vet_infantry,48.49,41.21,149.0,48.45,123.0,1.0,520.0,185.0,105.0,gondor,26.0,1,main_or_minor_line
93,B,[Gondor] Harondor Infantry,gondor_har_infantry,48.42,41.11,160.0,48.3,136.0,1.0,520.0,185.0,105.0,gondor,26.0,1,main_or_minor_line
94,B,[Iron Hills] Fighter,iron_hills_reg_fighter,48.37,34.26,158.4,40.87,112.8,0.8,408.0,190.0,110.0,erebor,26.0,5,main_or_minor_line
95,B,[Gondor] Dol Amroth Foot Knight,gondor_da_foot_knight,48.29,39.94,157.0,48.85,131.0,1.0,420.0,280.0,145.0,gondor,36.0,3,main_or_minor_line
96,B,[Gondor] Dol Amroth Swan Guard,gondor_da_swan_guard,48.29,39.94,157.0,48.85,131.0,1.0,420.0,320.0,165.0,gondor,41.0,3,main_or_minor_line
97,B,[Dol Guldur] Uruk Fell Infantry,dg_uruk_fell_infantry,48.24,42.86,195.0,52.5,150.0,1.0,450.0,190.0,112.0,dolguldur,26.0,1,main_or_minor_line
98,B,[Gondor] Lossarnach Noble Warden,gondor_loss_noble_warden,48.22,42.28,169.0,50.05,143.0,1.0,520.0,240.0,125.0,gondor,31.0,1,main_or_minor_line
99,B,[Dunland] Blaidd-lûth Axeman,dunland_wolf_axeman,48.2,40.57,161.0,50.7,142.0,1.0,380.0,165.0,120.0,empire,26.0,1,main_or_minor_line
100,B,[Gondor] Osgiliath Dome Guard,gondor_osg_dome_guard,48.1,40.03,163.0,49.45,137.0,1.0,400.0,280.0,145.0,gondor,36.0,1,main_or_minor_line
101,B,[Rhûn] Darkhûn Infantry,darkhun_infantry,47.97,40.53,174.0,43.6,124.0,9.0,380.0,125.0,100.0,khuzait,21.0,1,main_or_minor_line
102,B,[Iron Hills] Noble,iron_hills_noble,47.94,41.52,195.0,49.15,140.0,1.0,510.0,105.0,90.0,erebor,16.0,1,main_or_minor_line
103,B,[Gondor] Serelond Maceman,gondor_ser_maceman,47.93,41.51,166.0,48.9,142.0,1.0,520.0,185.0,105.0,gondor,26.0,1,main_or_minor_line
104,B,[Gondor] Lossarnach Noble Sergeant,gondor_loss_noble_sergeant,47.91,41.88,163.0,49.45,137.0,1.0,520.0,190.0,105.0,gondor,26.0,1,main_or_minor_line
105,B,[Gondor] Arndir Foot-Knight,gondor_arn_foot_knight,47.9,41.48,157.0,48.85,131.0,1.0,520.0,280.0,145.0,gondor,36.0,1,main_or_minor_line
106,B,[Gondor] Arndir Veteran Infantry,gondor_arn_vet_infantry,47.9,41.48,157.0,48.85,131.0,1.0,520.0,240.0,125.0,gondor,31.0,1,main_or_minor_line
107,B,[Gondor] Cair Andros Warden,gondor_ca_warden,47.9,41.48,157.0,48.85,131.0,1.0,520.0,280.0,145.0,gondor,36.0,1,main_or_minor_line
108,B,[Gundabad] Pale Uruk Infantry,gundabad_veteran_sword_warrior,47.84,41.4,193.33,50.33,146.7,1.0,450.0,245.0,125.0,gundabad,31.0,3,main_or_minor_line
109,B,[Mordor] Black Uruk Vanguard,mordor_uruk_vanguard,47.78,40.82,180.0,49.47,145.0,1.0,450.0,242.0,130.0,mordor,31.0,8,main_or_minor_line
110,B,[Isengard] Uruk-Hai Spearman,urukhai_spearman,47.75,40.23,176.0,48.6,138.0,1.0,450.0,120.0,105.0,isengard,21.0,1,main_or_minor_line
111,B,[Gondor] Cair Andros Guard,gondor_ca_guard,47.7,41.21,149.0,48.45,123.0,1.0,520.0,240.0,125.0,gondor,31.0,1,main_or_minor_line
112,B,[Gundabad] Pale Uruk Pike-Reaver,gundabad_veteran_spear_warrior,47.69,38.0,183.33,49.0,136.7,0.7,300.0,200.0,125.0,gundabad,31.0,3,main_or_minor_line
113,B,[Rhûn] Dragon-Wrath Ash Shieldguard,dragon_wrath_ash_shieldguard,47.67,40.14,150.33,37.02,110.3,14.0,450.0,325.0,165.0,khuzait,41.0,3,main_or_minor_line
114,B,[Rhûn] Loke-Rim Shieldguard,loke_rim_shieldguard,47.67,40.14,150.33,37.02,110.3,14.0,450.0,245.0,125.0,khuzait,31.0,3,main_or_minor_line
115,B,[Gondor] Lossarnach Guard,gondor_loss_guard,47.6,41.48,157.0,48.85,131.0,1.0,520.0,185.0,105.0,gondor,26.0,6,main_or_minor_line
116,B,[Gondor] Lossarnach Veteran Guard,gondor_loss_vet_guard,47.6,41.48,157.0,48.85,131.0,1.0,520.0,240.0,125.0,gondor,31.0,6,main_or_minor_line
117,B,[Dale] Veteran Militia Spearman,dale_militia_veteran_spearman,47.53,39.96,122.0,36.75,103.0,14.0,450.0,115.0,100.0,sturgia,16.0,1,main_or_minor_line
118,B,[Dunland] Uch-lûth Iron Wall,dunland_ox_iron_wall,47.5,42.82,173.0,54.05,150.0,1.0,380.0,235.0,140.0,empire,31.0,1,main_or_minor_line
119,B,[Isengard] Uruk-Hai Swordman,urukhai_swordman,47.46,40.9,182.0,49.6,144.0,1.0,450.0,150.0,105.0,isengard,21.0,1,main_or_minor_line
120,B,[Umbar] Naru n'Aru Royal Guard,umbar_elite_root0000,47.43,32.28,156.0,37.14,84.8,4.8,288.0,240.0,130.0,umbar,31.0,5,main_or_minor_line
121,B,[Gondor] Linhir Spearman,gondor_lin_spearman,47.38,39.76,144.0,46.3,120.0,1.0,520.0,170.0,105.0,gondor,26.0,1,main_or_minor_line
122,B,[Gondor] Methir Glaiveman,gondor_met_glaiveman,47.38,39.76,144.0,46.3,120.0,1.0,520.0,170.0,105.0,gondor,26.0,1,main_or_minor_line
123,B,[Gondor] Pelargir Veteran,gondor_pel_veteran,47.38,39.76,144.0,46.3,120.0,1.0,520.0,185.0,105.0,gondor,26.0,1,main_or_minor_line
124,B,[Iron Hills] Infantry,iron_hills_noble_infantry,47.37,39.74,192.0,46.5,141.0,1.0,510.0,190.0,110.0,erebor,26.0,1,main_or_minor_line
125,B,[Dale] Dalian Guardsman,dale_guardsman,47.29,39.64,120.5,36.28,102.0,14.0,450.0,130.0,100.0,sturgia,21.0,2,main_or_minor_line
126,B,[Dol Guldur] Uruk Swordsman,dg_uruk_swordsman,47.28,40.67,190.0,49.25,145.0,1.0,450.0,155.0,107.0,dolguldur,21.0,1,main_or_minor_line
127,B,[Rhûn] Dragon-Wrath Disciple,dragon_wrath_disciple,47.26,39.6,162.5,42.23,114.0,9.0,380.0,230.0,125.0,khuzait,31.0,2,main_or_minor_line
128,B,[Rhûn] Loke-Rim Footman,loke_rim_footman,47.26,39.6,162.5,42.23,114.0,9.0,380.0,125.0,100.0,khuzait,21.0,2,main_or_minor_line
129,B,[Ironpass] Recruit,ironpass_recruit,47.17,32.17,133.4,35.8,85.4,0.8,494.0,70.0,58.0,erebor,11.0,5,main_or_minor_line
130,B,[Gondor] Dol Amroth Veteran Infantry,gondor_da_vet_infantry,47.12,39.94,157.0,48.85,131.0,1.0,420.0,240.0,125.0,gondor,31.0,2,main_or_minor_line
131,B,[Gundabad] Pale Uruk Ravager,gundabad_brute,47.11,40.84,185.0,49.5,140.0,1.0,450.0,175.0,105.0,gundabad,26.0,1,main_or_minor_line
132,B,[Gondor] Fountain Guard,gondor_mt_fountain_guard,46.9,40.17,165.0,49.65,137.0,1.0,400.0,340.0,180.0,gondor,46.0,1,main_or_minor_line
133,B,[Gondor] Ithil Guard Captain,gondor_ith_captain,46.9,35.67,165.0,49.65,137.0,0.3,133.3,320.0,165.0,gondor,41.0,3,main_or_minor_line
134,B,[Gondor] Pinnath Gelin Spearwarden,gondor_pg_spearwarden,46.81,39.02,157.0,48.85,131.0,1.0,360.0,225.0,125.0,gondor,31.0,1,main_or_minor_line
135,B,[Gondor] Pinnath Gelin Veteran Spearman,gondor_pg_vet_spearman,46.81,39.02,157.0,48.85,131.0,1.0,360.0,170.0,105.0,gondor,26.0,1,main_or_minor_line
136,B,[Gondor] Arndir Infantry,gondor_arn_infantry,46.59,39.76,144.0,46.3,120.0,1.0,520.0,185.0,105.0,gondor,26.0,1,main_or_minor_line
137,B,[Gondor] Calembel Swordsman,gondor_cal_swordsman,46.59,39.76,144.0,46.3,120.0,1.0,520.0,200.0,105.0,gondor,26.0,1,main_or_minor_line
138,B,[Gondor] Citadel Guard Captain,gondor_mt_captain,46.59,39.77,159.0,49.05,131.0,1.0,400.0,320.0,165.0,gondor,41.0,1,main_or_minor_line
139,B,[Gondor] Harondor Guardsman,gondor_har_guardsman,46.59,39.76,144.0,46.3,120.0,1.0,520.0,135.0,100.0,gondor,21.0,1,main_or_minor_line
140,B,[Dale] Dalian Militia,dale_man_at_arms,46.44,39.05,117.5,35.4,99.5,14.0,450.0,95.0,85.0,sturgia,16.0,2,main_or_minor_line
141,B,[Gondor] Citadel Guard Sergeant,gondor_mt_sergeant,46.38,39.5,151.0,48.65,123.0,1.0,400.0,280.0,145.0,gondor,36.0,1,main_or_minor_line
142,B,[Gondor] Osgiliath Guard,gondor_osg_guard,46.28,39.36,149.0,48.45,123.0,1.0,400.0,240.0,125.0,gondor,31.0,1,main_or_minor_line
143,B,[Mordor] Morannon Heavy Infantry,morannon_heavy_infantry,46.28,39.36,158.0,47.3,134.0,1.0,450.0,175.0,95.0,mordor,26.0,1,main_or_minor_line
144,B,[Dol Guldur] Shadow Infantry,dg_khamul_shadow_infantry,46.13,40.1,163.33,42.97,114.3,9.0,380.0,245.0,132.0,dolguldur,31.0,3,main_or_minor_line
145,B,[Dol Guldur] Shadow Disciple,dg_khamul_shadow_disciple,46.02,39.96,163.0,42.75,114.0,9.0,380.0,190.0,112.0,dolguldur,26.0,3,main_or_minor_line
146,B,[Rohan] Meduseld Helmingas Spearman,rohan_edoras_meduseld_helmingas_spearman,46.0,37.96,129.0,39.33,109.8,9.0,400.0,160.0,95.0,vlandia,26.0,5,main_or_minor_line
147,B,[Dunland] Uch-lûth Bodyguard,dunland_ox_guard,45.77,40.57,161.0,50.7,142.0,1.0,380.0,180.0,120.0,empire,26.0,1,main_or_minor_line
148,B,[Iron Hills] Swordsman,iron_hills_noble_swordsman,45.64,38.53,185.0,44.7,137.0,1.0,510.0,155.0,105.0,erebor,21.0,1,main_or_minor_line
149,B,[Rohan] Edoras Helmingas Swordsman,rohan_edoras_helmingas_swordsman,45.62,38.5,134.6,40.13,119.4,9.0,400.0,190.0,95.0,vlandia,26.0,5,main_or_minor_line
150,B,[Rohan] Meduseld Veteran Spearman,rohan_edoras_meduseld_veteran_spearman,45.59,37.42,128.0,38.53,112.8,9.0,400.0,110.0,90.0,vlandia,21.0,5,main_or_minor_line
151,B,[Dol Guldur] Orc Reaver,dg_orc_reaver,45.5,38.89,180.0,46.6,135.0,1.0,450.0,125.0,107.0,dolguldur,21.0,5,main_or_minor_line
152,B,[Gondor] Dol Amroth Infantry,gondor_da_infantry,45.41,38.22,144.0,46.3,120.0,1.0,420.0,185.0,105.0,gondor,26.0,1,main_or_minor_line
153,B,[Harad] Bronze Fang,harad_bronzefang,45.24,35.28,169.0,43.3,117.0,1.0,360.0,180.0,100.0,aserai,26.0,1,main_or_minor_line
154,B,[Harad] Sunlance,harad_sunlance,45.24,35.28,169.0,43.3,117.0,1.0,360.0,165.0,100.0,aserai,26.0,1,main_or_minor_line
155,B,[Harad] Warlance,harad_warlance,45.24,35.28,169.0,43.3,117.0,1.0,360.0,220.0,120.0,aserai,31.0,1,main_or_minor_line
