troop_id,troop_name,culture,level,default_group,defensive_lane,roster_count,shield_share,horse_share,armor_total_mean,survivability_armor_v71_mean,shield_hp_mean,shield_armor_mean,harness_armor_mean,horse_extra_health_mean,horse_speed_mean,horse_maneuver_mean,horse_charge_damage_audit_only_mean,horse_charge_damage_max_audit_only,mount_ids_audit_only,mount_evidence_status,unresolved_mount_evidence,unresolved_item_evidence,spectacle_reason,athletics,riding,melee_skill,armor_component_v2,shield_hp_component_v2,shield_armor_component_v2,harness_component_v2,mount_health_component_v2,mobility_component_v2,counterpressure_component_v2,protection_score_v2,defensive_utility_score_v2,protection_rank_v2,defensive_utility_rank_v2,normalization_includes_outliers,roster_aggregation,evidence_basis,empirical,score_status
isengard_orc_warg_raider_v2,[Isengard] Orc Warg Raider,isengard,16.000000,Cavalry,cavalry,1,1.000000,1.000000,114.000000,32.900000,450.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_dark,review_required_mount_evidence,"warg_dark:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,95.000000,100.000000,115.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
isengard_orc_warg_ravager_v2,[Isengard] Orc Warg Ravager,isengard,21.000000,Cavalry,cavalry,1,1.000000,1.000000,138.000000,41.500000,450.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_albino,review_required_mount_evidence,"warg_albino:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,110.000000,125.000000,160.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
isengard_orc_warg_rider_v2,[Isengard] Orc Warg Rider,isengard,11.000000,Cavalry,cavalry,1,1.000000,1.000000,102.000000,30.800000,550.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_brown,review_required_mount_evidence,"warg_brown:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,70.000000,70.000000,75.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
isengard_orc_warg_scout_v2,[Isengard] Orc Warg Scout,isengard,6.000000,Cavalry,cavalry,1,1.000000,1.000000,55.000000,17.250000,550.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_brown,review_required_mount_evidence,"warg_brown:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,60.000000,55.000000,45.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
mordor_warg_beastmaster,[Mordor] Nurn Beast Master,mordor,26.000000,Cavalry,cavalry,1,0.000000,1.000000,138.000000,41.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_dark,review_required_mount_evidence,"warg_dark:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,110.000000,155.000000,190.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
mordor_warg_raider,[Mordor] Nurn Warg Raider,mordor,11.000000,Cavalry,cavalry,1,0.000000,1.000000,65.000000,20.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_brown,review_required_mount_evidence,"warg_brown:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,55.000000,60.000000,55.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
mordor_warg_ravager,[Mordor] Nurn Warg Ravager,mordor,21.000000,Cavalry,cavalry,1,0.000000,1.000000,138.000000,41.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_dark,review_required_mount_evidence,"warg_dark:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,95.000000,115.000000,140.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
mordor_warg_reaver,[Mordor] Nurn Warg Reaver,mordor,16.000000,Cavalry,cavalry,1,0.000000,1.000000,114.000000,32.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_brown,review_required_mount_evidence,"warg_brown:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,80.000000,90.000000,95.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
orc_warg_enforcer,[Isengard] Orc Warg-Rider Enforcer,isengard,21.000000,Cavalry,cavalry,1,1.000000,1.000000,146.000000,42.500000,450.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_dark,review_required_mount_evidence,"warg_dark:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,110.000000,125.000000,160.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
orc_warg_lieutenant,[Isengard] Orc Warg-Rider Lieutenant,isengard,26.000000,Cavalry,cavalry,1,1.000000,1.000000,147.000000,42.550000,450.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_dark,review_required_mount_evidence,"warg_dark:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,125.000000,165.000000,210.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
orc_warg_overseer,[Isengard] Orc Warg-Rider Overseer,isengard,16.000000,Cavalry,cavalry,1,1.000000,1.000000,129.000000,38.650000,550.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_brown,review_required_mount_evidence,"warg_brown:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,95.000000,100.000000,115.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
orc_warg_scout,[Isengard] Orc Warg-Rider Scout,isengard,11.000000,Cavalry,cavalry,1,1.000000,1.000000,104.000000,24.900000,550.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_brown,review_required_mount_evidence,"warg_brown:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,70.000000,70.000000,75.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
