item_id,item_name,crafting_template,affected_troops,affected_slots,active_test_weapon,missing_contract,no_skill_fallback
northern_spear_2_t3,Broad Leaf Shaped Spear,TwoHandedPolearm,22,26,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
northern_spear_3_t4,Jagged Fine Steel Spear,TwoHandedPolearm,14,14,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
northern_spear_4_t5,Fine Steel Hewing Spear,TwoHandedPolearm,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
northern_spiked_mace,Northern Spiked Mace,Mace,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
northern_sword,Stark Arming Sword,OneHandedSword,6,8,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
northern_twoh_axe,Northern Great Axe,TwoHandedAxe,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
norvoshi_long_axe,Norvoshi Long Axe,TwoHandedPolearm,4,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
peasant_hammer_1_t1,Blacksmith Hammer,Mace,20,23,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
peasant_hammer_2_t1,Wooden Hammer,Mace,12,13,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
peasant_hatchet_1_t1,Hatchet,OneHandedAxe,20,37,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
peasant_maul_t1_2,Maul,TwoHandedMace,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
peasant_pickaxe_1_t1,Pickaxe,OneHandedAxe,11,11,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
peasant_pitchfork_1_t1,Iron Pitchfork,TwoHandedPolearm,6,6,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
peasant_polearm_1_t1,Scythe,TwoHandedPolearm,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
peasant_sickle_1_t1,Sickle,OneHandedAxe,7,8,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
pentoshi_spear,Pentoshi Spear,TwoHandedPolearm,5,5,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
pentoshi_sword,Pentoshi Sword,OneHandedSword,11,11,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
qarth_spear,Qartheen Spear,TwoHandedPolearm,4,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
qarth_spear2,Qartheen Spear 2,TwoHandedPolearm,4,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
qarth_sword,Qartheen Sword,OneHandedSword,11,11,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
qohorik_spear,Qohorik Spear,TwoHandedPolearm,7,7,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
qohorik_sword,Qohorik Sword,OneHandedSword,11,11,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
qohorik_sword2,Qohorik Infused Sword,OneHandedSword,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
ranseur,Ranseur,TwoHandedPolearm,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
short_sword_t3,Short Sword,OneHandedSword,17,17,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
simple_pike_t2,Simple Pike,Pike,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
simple_sabre_sword_t2,Simple Saber ,OneHandedSword,42,66,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
skagosi_spear,Skagosi Spear,TwoHandedPolearm,6,6,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
skagosi_sword,Skagosi Sword,OneHandedSword,7,7,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
sledgehammer,Sledgehammer,TwoHandedAxe,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
small_bit_axe_t2,Small Bit Axe,OneHandedAxe,5,5,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
small_spurred_axe_t2,Small Spurred Axe,OneHandedAxe,14,28,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
southern_spear_3_t3,Knob Headed Spear with Frills,TwoHandedPolearm,13,13,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
spiked_polehammer,Spiked Polehammer,TwoHandedPolearm,3,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
stormlands_halberd,Stormlander Halberd,TwoHandedPolearm,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
sturgia_2haxe_1_t4,Drilled Two Handed Axe,TwoHandedAxe,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
sturgia_2haxe_2_t5,Northlander Decorated Two Handed Axe,TwoHandedAxe,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
sturgia_axe_2_t2,Galloglaich Axe,OneHandedAxe,15,16,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
sturgia_axe_4_t4,Veteran Warrior Axe,OneHandedAxe,8,8,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
sturgia_axe_5_t5,Rectangular Bitted Axe,OneHandedAxe,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
sturgia_lance_1_t4,Druzhinnik Lance,TwoHandedPolearm,5,5,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
sturgia_lance_2_t5,Heavy Druzhinnik Lance,TwoHandedPolearm,10,10,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
sturgia_sword_1_t2,Tapered Blade,OneHandedSword,13,13,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
sturgia_sword_2_t3,Backsword,OneHandedSword,12,12,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
sturgia_sword_3_t3,Pointy Warsword,OneHandedSword,12,12,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
sturgia_sword_4_t4,Long Warsword,OneHandedSword,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
sturgia_sword_5_t4,Fullered Narrow Warsword,OneHandedSword,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
thamaskene_pike_t4,Thamaskene Pike,Pike,2,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
thenn_sword2,Thenn Broad Sword,OneHandedSword,4,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
triangular_spear_t3,,,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
trident,Trident,TwoHandedPolearm,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
tyroshi_axe,Tyroshi Axe,OneHandedAxe,4,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
tyroshi_axe2,Tyroshi Battle Axe,OneHandedAxe,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
tyroshi_axe3,Tyroshi Elite Battle Axe,OneHandedAxe,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
tzkurion_axe_t3,Broad Tzikourion,OneHandedAxe,7,7,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
unsullied_spear,Unsullied Spear,TwoHandedPolearm,5,5,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
unsullied_sword,Unsullied Short Sword,OneHandedSword,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
velaryon_axe,Velaryon Axe,TwoHandedAxe,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
velaryon_cutlass,Velaryon Cutlass,OneHandedSword,7,7,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
vlandia_2hsword_1_t5,Wide Fullered Broad Two Hander,TwoHandedSword,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
vlandia_axe_1_t3,Infantry Axe,OneHandedAxe,6,9,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
vlandia_axe_2_t4,Spiked Battle Axe,OneHandedAxe,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
vlandia_lance_1_t3,Light Lance,TwoHandedPolearm,15,16,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
vlandia_lance_2_t4,Knight Lance,TwoHandedPolearm,15,18,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
vlandia_lance_3_t5,Heavy Knight Lance,TwoHandedPolearm,40,42,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
vlandia_mace_1_t2,Spiked Mace,Mace,10,10,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
vlandia_mace_2_t4,Fullered Cavalry Mace,Mace,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
vlandia_pike_1_t5,Pike,Pike,10,10,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
vlandia_polearm_1_t5,Voulge,TwoHandedPolearm,7,7,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
vlandia_sword_1_t2,Iron Arming Sword,OneHandedSword,110,129,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
vlandia_sword_2_t3,Ridged Tipped Arming Sword,OneHandedSword,75,94,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
vlandia_sword_3_t4,Knightly Arming Sword,OneHandedSword,49,49,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
vlandia_sword_4_t4,Ridged Arming Sword,OneHandedSword,50,53,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
war_scythe,War Scythe,TwoHandedAxe,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
westerling_axe,Westerling Axe,OneHandedAxe,6,6,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
westerling_hammer,Westerling Hammer,TwoHandedAxe,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
westerling_mace,Westerling Mace,Mace,6,6,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
western_2hsword_t4,Broad Two Hander,TwoHandedSword,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
western_spear_1_t2,Simple Commoner Spear,TwoHandedPolearm,33,34,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
western_spear_2_t2,Simple Short Spear,TwoHandedPolearm,6,6,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
western_spear_3_t3,Tall Tipped Long Spear,TwoHandedPolearm,8,11,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
western_spear_5_t4,Fine Steel Spear,TwoHandedPolearm,5,5,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
wide_leaf_spear_t4,Wide Leaf Spear,TwoHandedPolearm,11,11,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
wildling_axe,Wildling Axe,OneHandedAxe,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
wildling_knife,Wildling Knife,OneHandedSword,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
wildling_pickaxe,Wildling Pickaxe,OneHandedAxe,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
wildling_shield,,,2,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
wildling_sword,Wildling Sword,OneHandedSword,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
woodland_axe_t3,Woodland Axe,OneHandedAxe,11,12,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
yiti_guandao,YiTish Guandao,TwoHandedPolearm,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
yiti_qinglongji,YiTish Qinglong ji,TwoHandedPolearm,2,2,True,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
yiti_spear,Yitish Spear,TwoHandedPolearm,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
yiti_sword,Yitish Sword,TwoHandedSword,2,2,True,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
