troop_id,troop_name,roster_index,slot,item_id,item_name,family,item_kind,crafting_template,mount_state,source_row,source_reference,swing_damage,swing_speed,thrust_damage,thrust_speed,raw_speed_rating,stack_amount,evidence_grade,eligible_usage_pairs
arryn_rider,Arryn Rider,0,Item2,western_spear_1_t2,Simple Commoner Spear,melee,CraftedItem,TwoHandedPolearm,mounted,49468,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49468,,,,,,,crafted_unvalidated,0
baratheon_archer,Baratheon Archer,0,Item0,battania_mace_1_t2,Knobbed Club,melee,CraftedItem,Mace,dismounted,47599,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47599,,,,,,,crafted_unvalidated,0
baratheon_bowman,Baratheon Bowman,0,Item0,battania_mace_1_t2,Knobbed Club,melee,CraftedItem,Mace,dismounted,47592,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47592,,,,,,,crafted_unvalidated,0
baratheon_footman,Baratheon Footman,0,Item0,vlandia_sword_1_t2,Iron Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,47587,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47587,,,,,,,crafted_unvalidated,0
baratheon_hammer,Baratheon Hammerman,0,Item0,spiked_polehammer,Spiked Polehammer,melee,CraftedItem,TwoHandedPolearm,dismounted,47628,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47628,,,,,,,crafted_unvalidated,0
baratheon_horseman,Baratheon Horseman,0,Item0,vlandia_sword_2_t3,Ridged Tipped Arming Sword,melee,CraftedItem,OneHandedSword,mounted,47665,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47665,,,,,,,crafted_unvalidated,0
baratheon_horseman,Baratheon Horseman,0,Item2,vlandia_lance_3_t5,Heavy Knight Lance,melee,CraftedItem,TwoHandedPolearm,mounted,47667,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47667,,,,,,,crafted_unvalidated,0
baratheon_horseman,Baratheon Horseman,1,Item0,vlandia_sword_2_t3,Ridged Tipped Arming Sword,melee,CraftedItem,OneHandedSword,mounted,47674,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47674,,,,,,,crafted_unvalidated,0
baratheon_horseman,Baratheon Horseman,1,Item2,vlandia_lance_3_t5,Heavy Knight Lance,melee,CraftedItem,TwoHandedPolearm,mounted,47676,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47676,,,,,,,crafted_unvalidated,0
baratheon_houseguard,Baratheon House Guard,0,Item0,vlandia_sword_4_t4,Ridged Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,47633,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47633,,,,,,,crafted_unvalidated,0
baratheon_houseguard,Baratheon House Guard,0,Item2,spiked_polehammer,Spiked Polehammer,melee,CraftedItem,TwoHandedPolearm,dismounted,47635,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47635,,,,,,,crafted_unvalidated,0
baratheon_houseguard,Baratheon House Guard,1,Item0,vlandia_sword_4_t4,Ridged Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,47641,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47641,,,,,,,crafted_unvalidated,0
baratheon_houseguard,Baratheon House Guard,1,Item2,sledgehammer,Sledgehammer,melee,CraftedItem,TwoHandedAxe,dismounted,47643,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47643,,,,,,,crafted_unvalidated,0
baratheon_knight,Baratheon Knight,0,Item0,vlandia_sword_2_t3,Ridged Tipped Arming Sword,melee,CraftedItem,OneHandedSword,mounted,47683,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47683,,,,,,,crafted_unvalidated,0
baratheon_knight,Baratheon Knight,0,Item2,baratheon_spear,Baratheon Hunting Spear,melee,CraftedItem,TwoHandedPolearm,mounted,47685,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47685,,,,,,,crafted_unvalidated,0
baratheon_knight,Baratheon Knight,1,Item0,vlandia_sword_2_t3,Ridged Tipped Arming Sword,melee,CraftedItem,OneHandedSword,mounted,47693,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47693,,,,,,,crafted_unvalidated,0
baratheon_knight,Baratheon Knight,1,Item2,baratheon_spear,Baratheon Hunting Spear,melee,CraftedItem,TwoHandedPolearm,mounted,47695,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47695,,,,,,,crafted_unvalidated,0
baratheon_longbowman,Baratheon Longbowman,0,Item0,battania_mace_1_t2,Knobbed Club,melee,CraftedItem,Mace,dismounted,47607,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47607,,,,,,,crafted_unvalidated,0
baratheon_pikeknight,Baratheon Hammerknight,0,Item0,spiked_polehammer,Spiked Polehammer,melee,CraftedItem,TwoHandedPolearm,dismounted,47649,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47649,,,,,,,crafted_unvalidated,0
baratheon_pikeknight,Baratheon Hammerknight,0,Item1,vlandia_sword_4_t4,Ridged Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,47650,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47650,,,,,,,crafted_unvalidated,0
baratheon_pikeknight,Baratheon Hammerknight,1,Item0,spiked_polehammer,Spiked Polehammer,melee,CraftedItem,TwoHandedPolearm,dismounted,47657,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47657,,,,,,,crafted_unvalidated,0
baratheon_pikeknight,Baratheon Hammerknight,1,Item1,vlandia_sword_4_t4,Ridged Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,47658,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47658,,,,,,,crafted_unvalidated,0
baratheon_recruit,Baratheon Recruit,0,Item0,vlandia_sword_1_t2,Iron Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,47584,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47584,,,,,,,crafted_unvalidated,0
baratheon_soldier,Baratheon Soldier,0,Item0,vlandia_sword_2_t3,Ridged Tipped Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,47616,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47616,,,,,,,crafted_unvalidated,0
baratheon_soldier,Baratheon Soldier,0,Item2,northern_spear_2_t3,Broad Leaf Shaped Spear,melee,CraftedItem,TwoHandedPolearm,dismounted,47618,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47618,,,,,,,crafted_unvalidated,0
baratheon_soldier,Baratheon Soldier,1,Item0,vlandia_sword_2_t3,Ridged Tipped Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,47622,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47622,,,,,,,crafted_unvalidated,0
baratheon_soldier,Baratheon Soldier,1,Item2,northern_spear_2_t3,Broad Leaf Shaped Spear,melee,CraftedItem,TwoHandedPolearm,dismounted,47624,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=47624,,,,,,,crafted_unvalidated,0
beastbound_wight,Beastbound Wight,0,Item0,wide_leaf_spear_t4,Wide Leaf Spear,melee,CraftedItem,TwoHandedPolearm,mounted,52275,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52275,,,,,,,crafted_unvalidated,0
beastbound_wight,Beastbound Wight,0,Item2,wildling_shield,,unresolved_item,,,mounted,52277,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52277,,,,,,,unresolved,0
beastbound_wight,Beastbound Wight,0,Item3,woodland_axe_t3,Woodland Axe,melee,CraftedItem,OneHandedAxe,mounted,52278,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52278,,,,,,,crafted_unvalidated,0
blackwood_archer,Blackwood Archer,0,Item0,vlandia_sword_2_t3,Ridged Tipped Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,52131,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52131,,,,,,,crafted_unvalidated,0
blackwood_bowman,Blackwood Bowman,0,Item0,vlandia_sword_1_t2,Iron Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,52124,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52124,,,,,,,crafted_unvalidated,0
blackwood_footman,Blackwood Footman,0,Item0,vlandia_sword_3_t4,Knightly Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,52085,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52085,,,,,,,crafted_unvalidated,0
blackwood_footman,Blackwood Footman,0,Item2,highland_spear_t2,Highland War Spear,melee,CraftedItem,TwoHandedPolearm,dismounted,52087,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52087,,,,,,,crafted_unvalidated,0
blackwood_horseman,Blackwood Horseman,0,Item0,vlandia_sword_3_t4,Knightly Arming Sword,melee,CraftedItem,OneHandedSword,mounted,52114,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52114,,,,,,,crafted_unvalidated,0
blackwood_horseman,Blackwood Horseman,0,Item2,highland_spear_3_t3,Reinforced Highland Spear,melee,CraftedItem,TwoHandedPolearm,mounted,52116,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52116,,,,,,,crafted_unvalidated,0
blackwood_houseguard,Blackwood House Guard,0,Item0,vlandia_sword_3_t4,Knightly Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,52098,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52098,,,,,,,crafted_unvalidated,0
blackwood_houseguard,Blackwood House Guard,0,Item2,highland_spear_3_t3,Reinforced Highland Spear,melee,CraftedItem,TwoHandedPolearm,dismounted,52100,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52100,,,,,,,crafted_unvalidated,0
blackwood_levy,Blackwood Levy,0,Item0,vlandia_sword_1_t2,Iron Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,52080,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52080,,,,,,,crafted_unvalidated,0
blackwood_longbowman,Blackwood Longbowman,0,Item0,vlandia_sword_2_t3,Ridged Tipped Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,52139,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52139,,,,,,,crafted_unvalidated,0
blackwood_man_at_arms,Blackwood Man at Arms,0,Item0,vlandia_sword_3_t4,Knightly Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,52091,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52091,,,,,,,crafted_unvalidated,0
blackwood_man_at_arms,Blackwood Man at Arms,0,Item2,highland_spear_3_t3,Reinforced Highland Spear,melee,CraftedItem,TwoHandedPolearm,dismounted,52093,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52093,,,,,,,crafted_unvalidated,0
blackwood_recruit,Blackwood Recruit,0,Item0,vlandia_sword_1_t2,Iron Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,52077,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52077,,,,,,,crafted_unvalidated,0
blackwood_scout,Blackwood Scout,0,Item0,vlandia_sword_3_t4,Knightly Arming Sword,melee,CraftedItem,OneHandedSword,mounted,52106,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52106,,,,,,,crafted_unvalidated,0
blackwood_scout,Blackwood Scout,0,Item2,highland_spear_t2,Highland War Spear,melee,CraftedItem,TwoHandedPolearm,mounted,52108,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52108,,,,,,,crafted_unvalidated,0
bolton_archer,Bolton Archer,0,Item0,sturgia_axe_2_t2,Galloglaich Axe,melee,CraftedItem,OneHandedAxe,dismounted,48462,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48462,,,,,,,crafted_unvalidated,0
bolton_elite_archer,Bolton Veteran Archer,0,Item0,battania_axe_2_t4,One Handed Bearded Axe,melee,CraftedItem,OneHandedAxe,dismounted,48469,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48469,,,,,,,crafted_unvalidated,0
bolton_flayer,Bolton Flayer,0,Item0,bolton_spear,Bolton Spear,melee,CraftedItem,TwoHandedPolearm,dismounted,48679,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48679,,,,,,,crafted_unvalidated,0
bolton_flayer,Bolton Flayer,0,Item1,northern_spiked_mace,Northern Spiked Mace,melee,CraftedItem,Mace,dismounted,48680,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48680,,,,,,,crafted_unvalidated,0
bolton_flayer,Bolton Flayer,1,Item0,bolton_spear,Bolton Spear,melee,CraftedItem,TwoHandedPolearm,dismounted,48688,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48688,,,,,,,crafted_unvalidated,0
bolton_flayer,Bolton Flayer,1,Item1,vlandia_sword_3_t4,Knightly Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,48689,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48689,,,,,,,crafted_unvalidated,0
bolton_horseman,Bolton Horseman,0,Item0,vlandia_sword_1_t2,Iron Arming Sword,melee,CraftedItem,OneHandedSword,mounted,48547,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48547,,,,,,,crafted_unvalidated,0
bolton_horseman,Bolton Horseman,0,Item1,western_spear_1_t2,Simple Commoner Spear,melee,CraftedItem,TwoHandedPolearm,mounted,48548,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48548,,,,,,,crafted_unvalidated,0
bolton_knight,Bolton Cavalry,0,Item0,broad_arming_sword_t4,Broad Arming Sword,melee,CraftedItem,OneHandedSword,mounted,48555,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48555,,,,,,,crafted_unvalidated,0
bolton_knight,Bolton Cavalry,0,Item1,vlandia_lance_3_t5,Heavy Knight Lance,melee,CraftedItem,TwoHandedPolearm,mounted,48556,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48556,,,,,,,crafted_unvalidated,0
bolton_levy,Bolton Levy,0,Item0,vlandia_mace_1_t2,Spiked Mace,melee,CraftedItem,Mace,dismounted,48348,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48348,,,,,,,crafted_unvalidated,0
bolton_master_archer,Bolton Hunter,0,Item0,battania_axe_2_t4,One Handed Bearded Axe,melee,CraftedItem,OneHandedAxe,dismounted,48477,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48477,,,,,,,crafted_unvalidated,0
bolton_scout,Bolton Footman,0,Item0,vlandia_sword_1_t2,Iron Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,48518,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48518,,,,,,,crafted_unvalidated,0
bolton_veteran,Bolton Veteran,0,Item0,bolton_spear,Bolton Spear,melee,CraftedItem,TwoHandedPolearm,dismounted,48524,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48524,,,,,,,crafted_unvalidated,0
bolton_veteran,Bolton Veteran,0,Item1,northern_spiked_mace,Northern Spiked Mace,melee,CraftedItem,Mace,dismounted,48525,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48525,,,,,,,crafted_unvalidated,0
bolton_volunteer,Bolton Recruit,0,Item0,vlandia_mace_1_t2,Spiked Mace,melee,CraftedItem,Mace,dismounted,48334,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48334,,,,,,,crafted_unvalidated,0
bolton_volunteer,Bolton Recruit,1,Item0,peasant_hatchet_1_t1,Hatchet,melee,CraftedItem,OneHandedAxe,dismounted,48338,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48338,,,,,,,crafted_unvalidated,0
bolton_volunteer,Bolton Recruit,2,Item0,battania_mace_2_t2,Highland Spiked Club,melee,CraftedItem,Mace,dismounted,48341,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48341,,,,,,,crafted_unvalidated,0
bolton_volunteer,Bolton Recruit,3,Item0,peasant_pickaxe_1_t1,Pickaxe,melee,CraftedItem,OneHandedAxe,dismounted,48345,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=48345,,,,,,,crafted_unvalidated,0
boneway_guardian,Boneway Guardian,0,Item0,vlandia_lance_2_t4,Knight Lance,melee,CraftedItem,TwoHandedPolearm,mounted,50019,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=50019,,,,,,,crafted_unvalidated,0
boneway_guardian,Boneway Guardian,0,Item2,broad_arming_sword_t4,Broad Arming Sword,melee,CraftedItem,OneHandedSword,mounted,50021,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=50021,,,,,,,crafted_unvalidated,0
bracken_archer,Bracken Archer,0,Item0,sturgia_sword_3_t3,Pointy Warsword,melee,CraftedItem,OneHandedSword,dismounted,52213,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52213,,,,,,,crafted_unvalidated,0
bracken_elite_archer,Bracken Elite Archer,0,Item0,sturgia_sword_3_t3,Pointy Warsword,melee,CraftedItem,OneHandedSword,dismounted,52221,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52221,,,,,,,crafted_unvalidated,0
bracken_footman,Bracken Footman,0,Item0,sturgia_sword_3_t3,Pointy Warsword,melee,CraftedItem,OneHandedSword,dismounted,52165,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52165,,,,,,,crafted_unvalidated,0
bracken_footman,Bracken Footman,0,Item2,northern_spear_1_t2,Short Simple Raider Spear,melee,CraftedItem,TwoHandedPolearm,dismounted,52167,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52167,,,,,,,crafted_unvalidated,0
bracken_horseman,Bracken Horseman,0,Item0,sturgia_sword_3_t3,Pointy Warsword,melee,CraftedItem,OneHandedSword,mounted,52203,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52203,,,,,,,crafted_unvalidated,0
bracken_horseman,Bracken Horseman,0,Item2,sturgia_lance_2_t5,Heavy Druzhinnik Lance,melee,CraftedItem,TwoHandedPolearm,mounted,52205,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52205,,,,,,,crafted_unvalidated,0
bracken_houseguard,Bracken House Guard,0,Item0,sturgia_sword_4_t4,Long Warsword,melee,CraftedItem,OneHandedSword,dismounted,52178,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52178,,,,,,,crafted_unvalidated,0
bracken_houseguard,Bracken House Guard,0,Item2,northern_spear_3_t4,Jagged Fine Steel Spear,melee,CraftedItem,TwoHandedPolearm,dismounted,52180,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52180,,,,,,,crafted_unvalidated,0
bracken_levy,Bracken Levy,0,Item0,sturgia_sword_1_t2,Tapered Blade,melee,CraftedItem,OneHandedSword,dismounted,52160,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52160,,,,,,,crafted_unvalidated,0
bracken_man_at_arms,Bracken Man at Arms,0,Item0,sturgia_sword_3_t3,Pointy Warsword,melee,CraftedItem,OneHandedSword,dismounted,52171,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52171,,,,,,,crafted_unvalidated,0
bracken_man_at_arms,Bracken Man at Arms,0,Item2,northern_spear_3_t4,Jagged Fine Steel Spear,melee,CraftedItem,TwoHandedPolearm,dismounted,52173,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52173,,,,,,,crafted_unvalidated,0
bracken_master_pikeman,Bracken Pikemaster,0,Item0,fine_pike_t4,Fine Pike,melee,CraftedItem,Pike,dismounted,52186,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52186,,,,,,,crafted_unvalidated,0
bracken_master_pikeman,Bracken Pikemaster,0,Item1,sturgia_sword_4_t4,Long Warsword,melee,CraftedItem,OneHandedSword,dismounted,52187,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52187,,,,,,,crafted_unvalidated,0
bracken_recruit,Bracken Recruit,0,Item0,sturgia_sword_1_t2,Tapered Blade,melee,CraftedItem,OneHandedSword,dismounted,52157,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52157,,,,,,,crafted_unvalidated,0
bracken_rider,Bracken Rider,0,Item0,sturgia_sword_3_t3,Pointy Warsword,melee,CraftedItem,OneHandedSword,mounted,52195,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52195,,,,,,,crafted_unvalidated,0
bracken_rider,Bracken Rider,0,Item2,northern_spear_1_t2,Short Simple Raider Spear,melee,CraftedItem,TwoHandedPolearm,mounted,52197,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52197,,,,,,,crafted_unvalidated,0
casterly_champion,Casterly Rock Champion,0,Item0,vlandia_lance_3_t5,Heavy Knight Lance,melee,CraftedItem,TwoHandedPolearm,mounted,49842,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49842,,,,,,,crafted_unvalidated,0
