context,rank,display_name,provisional_slug,canonical_troop_id,identity_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,impact_rank,verified_player_side_total_kills,player_side_kill_share,share_adjusted_impact,kill_share_coverage_battles,kill_share_coverage_complete,kill_share_status,kill_share_denominator_provenance,death_rate,casualty_rate,ci95_low,ci95_high,reliability_status
field,12,Westerlands Crossbowman [T3],westerlands_crossbowman,,unresolved,4,33,32,67,0,1,0,2.030303,10,1498,0.044726,0.090808,4,True,complete,battle_metadata_and_side_total,0.000000,0.030303,,,insufficient_evidence
field,13,Lannister Archer [T4],lannister_archer,lannister_archer,confirmed_id,1,26,26,52,0,0,0,2.000000,4,687,0.075691,0.151383,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
field,14,Frey Horseman [T5],frey_horseman,frey_horseman,confirmed_id,1,1,0,2,0,1,0,2.000000,31,191,0.010471,0.020942,1,True,complete,battle_metadata_and_side_total,0.000000,1.000000,,,insufficient_evidence
field,16,Lannister Bowman [T3],lannister_bowman,lannister_bowman,confirmed_id,1,20,11,37,3,6,0,1.850000,8,687,0.053857,0.099636,1,True,complete,battle_metadata_and_side_total,0.150000,0.450000,,,insufficient_evidence
field,17,Westerlands Infantry [T3],westerlands_infantry,,unresolved,1,7,7,12,0,0,0,1.714286,6,181,0.066298,0.113654,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
field,18,Westerlands Swordsman [T4],westerlands_swordsman,,unresolved,1,11,3,18,1,7,0,1.636364,20,687,0.026201,0.042874,1,True,complete,battle_metadata_and_side_total,0.090909,0.727273,,,insufficient_evidence
field,19,Northern Archer [T4],northern_archer,,unresolved,2,8,7,12,0,1,0,1.500000,29,767,0.015645,0.023468,2,True,complete,battle_metadata_and_side_total,0.000000,0.125000,,,insufficient_evidence
field,21,Riverrun Captain [T6],riverrun_captain,riverrun_captain,confirmed_id,3,12,10,16,0,2,0,1.333333,25,569,0.028120,0.037493,3,True,complete,battle_metadata_and_side_total,0.000000,0.166667,,,insufficient_evidence
field,22,Lannister Levy [T2],lannister_levy,lannister_levy,confirmed_id,1,3,3,4,0,0,0,1.333333,32,267,0.014981,0.019975,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
field,23,Frey Assassin [T6],frey_assassin,frey_assassin,confirmed_id,3,22,22,26,0,0,0,1.181818,17,569,0.045694,0.054002,3,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
field,24,Ravager [T3],ravager,,unresolved,1,12,0,14,4,8,0,1.166667,28,677,0.020679,0.024126,1,True,complete,battle_metadata_and_side_total,0.333333,1.000000,,,insufficient_evidence
field,27,Northern Ranger [T5],northern_ranger,,unresolved,4,56,41,59,6,9,0,1.053571,24,1625,0.036308,0.038253,4,True,complete,battle_metadata_and_side_total,0.107143,0.267857,,,insufficient_evidence
field,29,Lannister Knight [T5],lannister_knight,lannister_knight,confirmed_id,4,94,68,95,5,21,0,1.010638,13,1565,0.060703,0.061349,4,True,complete,battle_metadata_and_side_total,0.053191,0.276596,,,insufficient_evidence
field,30,Northern Woodsman [T2],northern_woodsman,,unresolved,1,9,1,9,1,7,0,1.000000,35,687,0.013100,0.013100,1,True,complete,battle_metadata_and_side_total,0.111111,0.888889,,,insufficient_evidence
field,31,Westerlands Horseman [T5],westerlands_horseman,,unresolved,1,3,3,3,0,0,0,1.000000,34,181,0.016575,0.016575,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
field,33,Lannister Horseman [T4],lannister_horseman,lannister_horseman,confirmed_id,3,130,62,114,17,51,0,0.876923,14,1631,0.069896,0.061293,3,True,complete,battle_metadata_and_side_total,0.130769,0.523077,,,insufficient_evidence
field,34,Lannister Footman [T3],lannister_footman,lannister_footman,confirmed_id,2,47,10,32,8,29,0,0.680851,30,954,0.033543,0.022838,2,True,complete,battle_metadata_and_side_total,0.170213,0.787234,,,insufficient_evidence
field,35,Frey Sharpshooter [T5],frey_sharpshooter,frey_sharpshooter,confirmed_id,2,3,3,2,0,0,0,0.666667,37,439,0.004556,0.003037,2,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
field,36,Riverlands Militia Spearman [T2],riverlands_militia_spearman,river_militia_spearman,confirmed_id,1,28,17,18,2,9,0,0.642857,12,181,0.099448,0.063931,1,True,complete,battle_metadata_and_side_total,0.071429,0.392857,,,insufficient_evidence
field,37,Westerlands Spearman [T3],westerlands_spearman,,unresolved,1,5,4,3,0,1,0,0.600000,36,181,0.016575,0.009945,1,True,complete,battle_metadata_and_side_total,0.000000,0.200000,,,insufficient_evidence
field,38,Frey Veteran Crossbowman [T4],frey_veteran_crossbowman,frey_veteran_crossbowman,confirmed_id,1,2,1,1,0,1,0,0.500000,39,248,0.004032,0.002016,1,True,complete,battle_metadata_and_side_total,0.000000,0.500000,,,insufficient_evidence
field,39,Riverlands Militia Archer [T2],riverlands_militia_archer,river_militia_archer,confirmed_id,1,20,19,3,0,1,0,0.150000,38,181,0.016575,0.002486,1,True,complete,battle_metadata_and_side_total,0.000000,0.050000,,,insufficient_evidence
field,40,Frey Crossbowman [T3],frey_crossbowman,frey_crossbowman,confirmed_id,1,1,1,0,0,0,0,0.000000,40,130,0.000000,0.000000,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
siege_attack,1,Frey Assassin [T6],frey_assassin,frey_assassin,confirmed_id,1,3,3,20,0,0,0,6.666667,2,242,0.082645,0.550964,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
siege_attack,2,Frey Sharpshooter [T5],frey_sharpshooter,frey_sharpshooter,confirmed_id,1,3,1,10,0,2,0,3.333333,3,242,0.041322,0.137741,1,True,complete,battle_metadata_and_side_total,0.000000,0.666667,,,insufficient_evidence
siege_attack,3,Frey Veteran Crossbowman [T4],frey_veteran_crossbowman,frey_veteran_crossbowman,confirmed_id,1,3,2,10,1,0,0,3.333333,4,242,0.041322,0.137741,1,True,complete,battle_metadata_and_side_total,0.333333,0.333333,,,insufficient_evidence
siege_attack,4,Westerlands Sharpshooter [T5],westerlands_sharpshooter,,unresolved,1,2,2,6,0,0,0,3.000000,6,242,0.024793,0.074380,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
siege_attack,5,Westerlands Hardened Crossbowman [T4],westerlands_hardened_crossbowman,,unresolved,1,3,2,7,0,1,0,2.333333,7,242,0.028926,0.067493,1,True,complete,battle_metadata_and_side_total,0.000000,0.333333,,,insufficient_evidence
siege_attack,6,Lannister Longbowman [T5],lannister_longbowman,lannister_longbowman,confirmed_id,1,61,51,97,2,8,0,1.590164,1,242,0.400826,0.637380,1,True,complete,battle_metadata_and_side_total,0.032787,0.163934,,,insufficient_evidence
siege_attack,7,Frey Crossbowman [T3],frey_crossbowman,frey_crossbowman,confirmed_id,1,3,3,4,0,0,0,1.333333,9,242,0.016529,0.022039,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
siege_attack,8,Westerlands Crossbowman [T3],westerlands_crossbowman,,unresolved,1,4,4,3,0,0,0,0.750000,10,242,0.012397,0.009298,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
siege_attack,9,Northern Mounted Warlord [T6],northern_mounted_warlord,,unresolved,1,5,5,3,0,0,0,0.600000,11,242,0.012397,0.007438,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
siege_attack,10,Lannister Prideknight [T6],lannister_prideknight,lannister_prideknight,confirmed_id,1,85,82,42,0,3,0,0.494118,5,242,0.173554,0.085756,1,True,complete,battle_metadata_and_side_total,0.000000,0.035294,,,insufficient_evidence
siege_attack,11,Westerlands Banner Knight [T6],westerlands_banner_knight,,unresolved,1,33,31,15,0,2,0,0.454545,8,242,0.061983,0.028174,1,True,complete,battle_metadata_and_side_total,0.000000,0.060606,,,insufficient_evidence
