track,game_version,cohort,context,participant_scope,parent_group,efficiency_rank,impact_rank,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,evidence_grade,reliable_role_population,role_adjusted_rank_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,ci95_low,ci95_high,verified_player_side_total_kills,kill_total_coverage_battles,kill_total_coverage_complete,player_side_kill_share,share_adjusted_impact,verified_player_side_total_deployed,deployment_total_coverage_battles,deployment_total_coverage_complete,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap,retention_rate,death_rate,casualty_rate,victory_battles,defeat_battles,active_battles,reliability_status,more_battles_needed,more_deployed_needed
realm_of_thrones,1.4.x,frey_dedicated,field,player_party,Walder Frey's Party,11,11,Velaryon Marine [T4],velaryon_warrior,confirmed_id,Infantry,frontline_infantry,exploratory,4,not_published_current_methodology_keeps_offense_and_defense_independent,1,2,2,2,0,0,0,1.000000,,,459,1,True,0.004357,0.004357,195,1,True,0.010256,0.424837,-0.005899,1.000000,0.000000,0.000000,1,0,0,insufficient_evidence,4,18
realm_of_thrones,1.4.x,frey_dedicated,field,player_party,Walder Frey's Party,12,12,Clegane Man at Arms [T4],clegane_man_at_arms,confirmed_id,Infantry,frontline_infantry,exploratory,4,not_published_current_methodology_keeps_offense_and_defense_independent,2,2,1,1,0,1,0,0.500000,,,988,2,True,0.001012,0.000506,406,2,True,0.004926,0.205466,-0.003914,0.500000,0.000000,0.500000,2,0,0,insufficient_evidence,3,18
realm_of_thrones,1.4.x,frey_dedicated,field,player_party,Walder Frey's Party,13,13,Bracken House Guard [T5],bracken_houseguard,confirmed_id,Infantry,frontline_infantry,exploratory,4,not_published_current_methodology_keeps_offense_and_defense_independent,1,2,0,0,1,1,0,0.000000,,,506,1,True,0.000000,0.000000,193,1,True,0.010363,0.000000,-0.010363,0.000000,0.500000,1.000000,0,0,1,insufficient_evidence,4,18
realm_of_thrones,1.4.x,frey_dedicated,field,player_party,Walder Frey's Party,14,14,Velaryon Renegade [T5],velaryon_renegade,confirmed_id,Infantry,frontline_infantry,exploratory,4,not_published_current_methodology_keeps_offense_and_defense_independent,2,2,1,0,1,0,0,0.000000,,,965,2,True,0.000000,0.000000,388,2,True,0.005155,0.000000,-0.005155,0.500000,0.500000,0.500000,1,0,1,insufficient_evidence,3,18
realm_of_thrones,1.4.x,frey_dedicated,field,player_party,Walder Frey's Party,15,15,Clegane Levy [T2],clegane_levy,confirmed_id,Infantry,frontline_infantry,exploratory,4,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,0,0,0,1,0,0.000000,,,599,1,True,0.000000,0.000000,202,1,True,0.004950,0.000000,-0.004950,0.000000,0.000000,1.000000,1,0,0,insufficient_evidence,4,19
realm_of_thrones,1.4.x,frey_dedicated,field,player_party,Walder Frey's Party,16,16,Gold Cloak Petty Officer [T4],goldcloak_officer,confirmed_id,Infantry,frontline_infantry,exploratory,4,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,0,0,0,1,0,0.000000,,,459,1,True,0.000000,0.000000,195,1,True,0.005128,0.000000,-0.005128,0.000000,0.000000,1.000000,1,0,0,insufficient_evidence,4,19
realm_of_thrones,1.4.x,frey_dedicated,siege_attack,player_party,Walder Frey's Party,1,3,Velaryon Sea Guard [T6],velaryon_sea_guard,confirmed_id,Infantry,frontline_infantry,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,5,5,30,0,0,0,6.000000,,,574,1,True,0.052265,0.313589,199,1,True,0.025126,2.080139,0.027139,1.000000,0.000000,0.000000,1,0,0,insufficient_evidence,4,15
realm_of_thrones,1.4.x,frey_dedicated,siege_attack,player_party,Walder Frey's Party,2,1,Frey Assassin [T6],frey_assassin,confirmed_id,Ranged,ranged,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,96,75,370,5,16,0,3.854167,,,574,1,True,0.644599,2.484393,199,1,True,0.482412,1.336201,0.162187,0.781250,0.052083,0.218750,1,0,0,insufficient_evidence,4,0
realm_of_thrones,1.4.x,frey_dedicated,siege_attack,player_party,Walder Frey's Party,3,2,Celtigar Banneret [T6],celtigar_banneret,confirmed_id,Infantry,frontline_infantry,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,29,18,76,2,9,0,2.620690,,,574,1,True,0.132404,0.346990,199,1,True,0.145729,0.908567,-0.013324,0.620690,0.068966,0.379310,1,0,0,insufficient_evidence,4,0
realm_of_thrones,1.4.x,frey_dedicated,siege_attack,player_party,Walder Frey's Party,4,4,Dragonstone Knight [T4],dragonstone_knight,confirmed_id,Cavalry,melee_cavalry,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,7,5,14,0,2,0,2.000000,,,574,1,True,0.024390,0.048780,199,1,True,0.035176,0.693380,-0.010786,0.714286,0.000000,0.285714,1,0,0,insufficient_evidence,4,13
realm_of_thrones,1.4.x,frey_dedicated,siege_attack,player_party,Walder Frey's Party,5,6,Velaryon Renegade [T5],velaryon_renegade,confirmed_id,Infantry,frontline_infantry,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,4,2,8,0,2,0,2.000000,,,574,1,True,0.013937,0.027875,199,1,True,0.020101,0.693380,-0.006163,0.500000,0.000000,0.500000,1,0,0,insufficient_evidence,4,16
realm_of_thrones,1.4.x,frey_dedicated,siege_attack,player_party,Walder Frey's Party,6,5,Celtigar Man at Arms [T4],celtigar_man_at_arms,confirmed_id,Infantry,frontline_infantry,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,5,4,9,0,1,0,1.800000,,,574,1,True,0.015679,0.028223,199,1,True,0.025126,0.624042,-0.009446,0.800000,0.000000,0.200000,1,0,0,insufficient_evidence,4,15
realm_of_thrones,1.4.x,frey_dedicated,siege_attack,player_party,Walder Frey's Party,7,7,Celtigar Halberdier [T5],celtigar_halberdier,confirmed_id,Infantry,frontline_infantry,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,7,4,9,1,2,0,1.285714,,,574,1,True,0.015679,0.020159,199,1,True,0.035176,0.445744,-0.019496,0.571429,0.142857,0.428571,1,0,0,insufficient_evidence,4,13
realm_of_thrones,1.4.x,frey_dedicated,siege_attack,player_party,Walder Frey's Party,8,8,Velaryon Marine [T4],velaryon_warrior,confirmed_id,Infantry,frontline_infantry,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,7,5,9,0,2,0,1.285714,,,574,1,True,0.015679,0.020159,199,1,True,0.035176,0.445744,-0.019496,0.714286,0.000000,0.285714,1,0,0,insufficient_evidence,4,13
realm_of_thrones,1.4.x,frey_dedicated,siege_attack,player_party,Walder Frey's Party,9,9,Squire [T3],dragonstone_squire,confirmed_id,Infantry,frontline_infantry,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,5,1,5,1,3,0,1.000000,,,574,1,True,0.008711,0.008711,199,1,True,0.025126,0.346690,-0.016415,0.200000,0.200000,0.800000,1,0,0,insufficient_evidence,4,15
realm_of_thrones,1.4.x,frey_dedicated,siege_attack,player_party,Walder Frey's Party,10,10,Dragonstone Shock Knight [T5],dragonstone_shock_knight,confirmed_id,Cavalry,melee_cavalry,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,6,3,5,0,3,0,0.833333,,,574,1,True,0.008711,0.007259,199,1,True,0.030151,0.288908,-0.021440,0.500000,0.000000,0.500000,1,0,0,insufficient_evidence,4,14
realm_of_thrones,1.4.x,frey_dedicated,siege_attack,player_party,Walder Frey's Party,11,11,Baratheon Hammerknight [T6],baratheon_pikeknight,confirmed_id,Infantry,frontline_infantry,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,5,2,4,0,3,0,0.800000,,,574,1,True,0.006969,0.005575,199,1,True,0.025126,0.277352,-0.018157,0.400000,0.000000,0.600000,1,0,0,insufficient_evidence,4,15
