battle_id,captured_at,cohort,context,result,observation_censoring,player_deployed,player_remaining,allied_retention,opponent_deployed,opponent_remaining,enemy_retention,pressure_margin,metric_status,included_in_final_pressure_summary,source_image_sha256
battle_20260826_203353_field,2026-08-26T20:33:53-03:00,edric_reach_dornish,field,victory,none,233,135,0.579399,451,18,0.039911,0.539488,final,True,32419ce47d64ddf1bb7721fe2dbced7faf8fa526dde5a0b5258008bdc0ba618d
battle_20260826_205607_field,2026-08-26T20:56:07-03:00,edric_reach_dornish,field,victory,none,118,112,0.949153,128,1,0.007812,0.941340,final,True,2a02710c9776fe93d4bdc96cd1053b20682bc57cd220ecf361dbed9046e2524e
battle_20260826_205839_field,2026-08-26T20:58:39-03:00,edric_reach_dornish,field,victory,none,115,114,0.991304,68,0,0.000000,0.991304,final,True,513e72b325f0fd720a916086a067f250090b86259ff213cbc28600b7e1b2dbff
battle_20260826_210019_field,2026-08-26T21:00:19-03:00,edric_reach_dornish,field,victory,none,117,117,1.000000,54,0,0.000000,1.000000,final,True,fe1632827bc5c671079fd5498a827cdf1d369ec21055323afc46d957bfb6ca1a
battle_20260826_214746_field,2026-08-26T21:47:46-03:00,edric_reach_dornish,field,victory,none,213,206,0.967136,153,5,0.032680,0.934456,final,True,1b9c8465aed605e20e68b0b1147dec2abadbb2873d649197819e2530ffc525e6
battle_20260826_215609_field,2026-08-26T21:56:09-03:00,edric_reach_dornish,field,victory,none,235,150,0.638298,274,0,0.000000,0.638298,final,True,ddde5d632b0ea5ce3ab48eb5186d2cc2e87f56158c0b4a8ada41ecac9c6adf6f
battle_20260826_220429_field,2026-08-26T22:04:29-03:00,edric_reach_dornish,field,victory,none,198,193,0.974747,212,0,0.000000,0.974747,final,True,2eebde195e3e3e0f67dc8d6143ac15896a2ad96cb192346f9ca52c62c504fe17
battle_20260826_221116_field,2026-08-26T22:11:16-03:00,edric_reach_dornish,field,victory,none,256,242,0.945312,269,0,0.000000,0.945312,final,True,6bf4cff3378b868e04a680ae392a27debb1350ef9defcd659fa75eef7f99c67e
battle_20260826_222527_field,2026-08-26T22:25:27-03:00,edric_reach_dornish,field,victory,none,260,214,0.823077,410,0,0.000000,0.823077,final,True,a7e99bdc00ef30f65aa7191b9f2381689c42500caf9354d1a6965ecce4b04dc0
battle_20260826_230153_field,2026-08-26T23:01:53-03:00,edric_reach_dornish,field,victory,none,299,77,0.257525,775,0,0.000000,0.257525,final,True,f5c972493c259965d15cd70333b61dd0fa0fdeba0a14d441b97529c60ef3b5ce
battle_20260826_230935_field,2026-08-26T23:09:35-03:00,edric_reach_dornish,field,victory,none,129,120,0.930233,128,0,0.000000,0.930233,final,True,a52027c0527e930fd273549833f3a05dc27ad09844e60c779fe7a7db8279c44f
battle_20260827_235142_field,2026-08-27T23:51:42-03:00,edric_reach_dornish,field,active,last readable active scoreboard before the fight was stopped; no values were projected beyond capture time,250,197,0.788000,789,269,0.340938,0.447062,diagnostic_censored_snapshot,False,2247c52dcfc293b12415c93b41a52fcaf8139468b812ca35cc9837c9d1caaa6f
