display_name,canonical_troop_id,battle_id,captured_at,cohort,context,result,censoring_status,deployed,survivors,kills,deaths,wounded,kills_per_deployed,retention_rate,player_side_kills,player_side_deployed
Myrish Artisan of War [T6],myrish_artisan,battle_20260824_235901_field,2026-08-24T23:59:01-03:00,trego_myrish_pentoshi,field,victory,final,71,71,207,0,0,2.915493,1.000000,496,369
Myrish Artisan of War [T6],myrish_artisan,battle_20260825_000936_siege,2026-08-25T00:09:36-03:00,trego_myrish_pentoshi,siege_attack,victory,final,81,58,126,7,16,1.555556,0.716049,288,372
Myrish Artisan of War [T6],myrish_artisan,battle_20260825_001915_field,2026-08-25T00:19:15-03:00,trego_myrish_pentoshi,field,victory,final,81,80,46,1,0,0.567901,0.987654,89,196
Myrish Artisan of War [T6],myrish_artisan,battle_20260825_025228_siege,2026-08-25T02:52:28-03:00,trego_myrish_pentoshi,siege_attack,defeat,final,95,10,269,24,61,2.831579,0.105263,449,249
Myrish Artisan of War [T6],myrish_artisan,battle_20260825_162956_siege,2026-08-25T16:29:56-03:00,trego_myrish_pentoshi,siege_attack,defeat,final,96,0,310,19,77,3.229167,0.000000,450,251
Myrish Artisan of War [T6],myrish_artisan,battle_20260825_163450_siege,2026-08-25T16:34:50-03:00,trego_myrish_pentoshi,siege_attack,active,censored_diagnostic,96,96,224,0,0,2.333333,1.000000,261,250
Myrish Artisan of War [T6],myrish_artisan,battle_20260825_163914_siege,2026-08-25T16:39:14-03:00,trego_myrish_pentoshi,siege_attack,victory,final,96,40,404,10,46,4.208333,0.416667,769,251
Myrish Artisan of War [T6],myrish_artisan,battle_20260825_193711_field,2026-08-25T19:37:11-03:00,trego_myrish_pentoshi,field,victory,final,108,108,67,0,0,0.620370,1.000000,130,263
Myrish Artisan of War [T6],myrish_artisan,battle_20260825_195703_field,2026-08-25T19:57:03-03:00,trego_myrish_pentoshi,field,victory,final,111,103,130,3,5,1.171171,0.927928,175,233
Knights of Starfall [T6],dayne_starfall_knights,battle_20260826_193340_field,2026-08-26T19:33:40-03:00,edric_reach_dornish,field,victory,final,6,2,136,0,4,22.666667,0.333333,681,493
Knights of Starfall [T6],dayne_starfall_knights,battle_20260826_194615_field,2026-08-26T19:46:15-03:00,edric_reach_dornish,field,victory,final,19,19,10,0,0,0.526316,1.000000,102,234
Knights of Starfall [T6],dayne_starfall_knights,battle_20260826_195802_field,2026-08-26T19:58:02-03:00,edric_reach_dornish,field,defeat,final,25,0,27,4,21,1.080000,0.000000,351,233
Knights of Starfall [T6],dayne_starfall_knights,battle_20260826_201649_field,2026-08-26T20:16:49-03:00,edric_reach_dornish,field,defeat,final,25,0,65,5,20,2.600000,0.000000,468,233
Knights of Starfall [T6],dayne_starfall_knights,battle_20260826_203353_field,2026-08-26T20:33:53-03:00,edric_reach_dornish,field,victory,final,25,24,33,0,1,1.320000,0.960000,432,233
Knights of Starfall [T6],dayne_starfall_knights,battle_20260826_205607_field,2026-08-26T20:56:07-03:00,edric_reach_dornish,field,victory,final,46,46,58,0,0,1.260870,1.000000,127,118
Knights of Starfall [T6],dayne_starfall_knights,battle_20260826_205839_field,2026-08-26T20:58:39-03:00,edric_reach_dornish,field,victory,final,49,49,41,0,0,0.836735,1.000000,68,115
Knights of Starfall [T6],dayne_starfall_knights,battle_20260826_210019_field,2026-08-26T21:00:19-03:00,edric_reach_dornish,field,victory,final,53,53,37,0,0,0.698113,1.000000,54,117
Knights of Starfall [T6],dayne_starfall_knights,battle_20260826_214746_field,2026-08-26T21:47:46-03:00,edric_reach_dornish,field,victory,final,67,67,58,0,0,0.865672,1.000000,148,213
Knights of Starfall [T6],dayne_starfall_knights,battle_20260826_215609_field,2026-08-26T21:56:09-03:00,edric_reach_dornish,field,victory,final,69,48,133,5,16,1.927536,0.695652,274,235
Knights of Starfall [T6],dayne_starfall_knights,battle_20260826_220429_field,2026-08-26T22:04:29-03:00,edric_reach_dornish,field,victory,final,49,48,88,0,1,1.795918,0.979592,212,198
Knights of Starfall [T6],dayne_starfall_knights,battle_20260826_221116_field,2026-08-26T22:11:16-03:00,edric_reach_dornish,field,victory,final,49,43,85,1,5,1.734694,0.877551,270,256
Knights of Starfall [T6],dayne_starfall_knights,battle_20260826_222527_field,2026-08-26T22:25:27-03:00,edric_reach_dornish,field,victory,final,64,44,117,0,20,1.828125,0.687500,410,260
Knights of Starfall [T6],dayne_starfall_knights,battle_20260826_230153_field,2026-08-26T23:01:53-03:00,edric_reach_dornish,field,victory,final,64,2,123,9,53,1.921875,0.031250,775,299
Knights of Starfall [T6],dayne_starfall_knights,battle_20260826_230935_field,2026-08-26T23:09:35-03:00,edric_reach_dornish,field,victory,final,2,2,5,0,0,2.500000,1.000000,128,129
Knights of Starfall [T6],dayne_starfall_knights,battle_20260827_235142_field,2026-08-27T23:51:42-03:00,edric_reach_dornish,field,active,censored_diagnostic,52,24,100,3,25,1.923077,0.461538,520,250
Dornish Master Archer [T5],,battle_20260826_195802_field,2026-08-26T19:58:02-03:00,edric_reach_dornish,field,defeat,final,3,0,17,3,0,5.666667,0.000000,351,233
Dornish Master Archer [T5],,battle_20260826_201649_field,2026-08-26T20:16:49-03:00,edric_reach_dornish,field,defeat,final,3,0,8,1,2,2.666667,0.000000,468,233
Dornish Master Archer [T5],,battle_20260826_203353_field,2026-08-26T20:33:53-03:00,edric_reach_dornish,field,victory,final,3,3,15,0,0,5.000000,1.000000,432,233
Dornish Master Archer [T5],,battle_20260826_205607_field,2026-08-26T20:56:07-03:00,edric_reach_dornish,field,victory,final,10,9,11,0,1,1.100000,0.900000,127,118
Dornish Master Archer [T5],,battle_20260826_205839_field,2026-08-26T20:58:39-03:00,edric_reach_dornish,field,victory,final,10,10,2,0,0,0.200000,1.000000,68,115
Dornish Master Archer [T5],,battle_20260826_210019_field,2026-08-26T21:00:19-03:00,edric_reach_dornish,field,victory,final,11,11,1,0,0,0.090909,1.000000,54,117
Dornish Master Archer [T5],,battle_20260826_214746_field,2026-08-26T21:47:46-03:00,edric_reach_dornish,field,victory,final,25,23,11,0,2,0.440000,0.920000,148,213
Dornish Master Archer [T5],,battle_20260826_215609_field,2026-08-26T21:56:09-03:00,edric_reach_dornish,field,victory,final,28,25,33,1,2,1.178571,0.892857,274,235
Dornish Master Archer [T5],,battle_20260826_220429_field,2026-08-26T22:04:29-03:00,edric_reach_dornish,field,victory,final,40,40,23,0,0,0.575000,1.000000,212,198
Dornish Master Archer [T5],,battle_20260826_221116_field,2026-08-26T22:11:16-03:00,edric_reach_dornish,field,victory,final,55,55,74,0,0,1.345455,1.000000,270,256
Dornish Master Archer [T5],,battle_20260826_222527_field,2026-08-26T22:25:27-03:00,edric_reach_dornish,field,victory,final,64,62,194,0,2,3.031250,0.968750,410,260
Dornish Master Archer [T5],,battle_20260826_230153_field,2026-08-26T23:01:53-03:00,edric_reach_dornish,field,victory,final,66,50,311,3,13,4.712121,0.757576,775,299
Dornish Master Archer [T5],,battle_20260826_230935_field,2026-08-26T23:09:35-03:00,edric_reach_dornish,field,victory,final,60,60,67,0,0,1.116667,1.000000,128,129
Dornish Master Archer [T5],,battle_20260827_235142_field,2026-08-27T23:51:42-03:00,edric_reach_dornish,field,active,censored_diagnostic,75,75,204,0,0,2.720000,1.000000,520,250
