display_name,observed_canonical_troop_ids,canonical_troop_id,resolution_status,default_group,canonical_role,level,candidate_count,candidate_troop_ids,resolution_method,blocking_reason,ordinary_occurrences,source_image_count,audit_path,audit_sha256
Gold Cloak Sniper,goldcloak_master_archer,goldcloak_master_archer,confirmed_id,Ranged,ranged,26.0,1,goldcloak_master_archer,exact display-name match,,14,14,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Gold Cloak Soldier,goldcloak_soldier,goldcloak_soldier,confirmed_id,Infantry,frontline_infantry,16.0,1,goldcloak_soldier,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Guardian of the Rock,,casterly_guardian,confirmed_id,Infantry,frontline_infantry,31.0,1,casterly_guardian,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Karstark Elite Archer,,karstark_elite_archer,confirmed_id,Ranged,ranged,26.0,1,karstark_elite_archer,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Karstark Loyalist,,karstark_loyalist,confirmed_id,Infantry,frontline_infantry,31.0,1,karstark_loyalist,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Karstark Spearman,,karstark_ruffian,confirmed_id,Infantry,frontline_infantry,21.0,1,karstark_ruffian,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Kingsguard,kingsguard_captain,kingsguard_captain,confirmed_id,Infantry,frontline_infantry,26.0,1,kingsguard_captain,exact display-name match,,18,18,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Kingsguard Initiate,kingsguard_initiate,kingsguard_initiate,confirmed_id,Infantry,frontline_infantry,21.0,1,kingsguard_initiate,exact display-name match,,11,11,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Kingsguard's Page,kingsguard_page,kingsguard_page,confirmed_id,Infantry,frontline_infantry,11.0,1,kingsguard_page,exact display-name match,,5,5,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Kingsguard's Squire,kingsguard_squire,kingsguard_squire,confirmed_id,Infantry,frontline_infantry,16.0,1,kingsguard_squire,exact display-name match,,9,9,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Knight of the Vale,,vale_knight_of,confirmed_id,Cavalry,melee_cavalry,31.0,1,vale_knight_of,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Lannister Archer,,lannister_archer,confirmed_id,Ranged,ranged,21.0,1,lannister_archer,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Lannister Bowman,,lannister_bowman,confirmed_id,Ranged,ranged,16.0,1,lannister_bowman,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Lannister Longbowman,,lannister_longbowman,confirmed_id,Ranged,ranged,26.0,1,lannister_longbowman,exact display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Mallister Elite Archer,,mallister_elite_archer,confirmed_id,Ranged,ranged,26.0,1,mallister_elite_archer,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Manderly Man at Arms,,manderly_man_at_arms,confirmed_id,Infantry,frontline_infantry,21.0,1,manderly_man_at_arms,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Manderly Veteran Archer,,manderly_veteran_archer,confirmed_id,Ranged,ranged,26.0,1,manderly_veteran_archer,exact display-name match,,8,8,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Mormont Bowmaiden,,mormont_bowmaiden,confirmed_id,Ranged,ranged,31.0,1,mormont_bowmaiden,exact display-name match,,7,7,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Mormont Huntress,,mormont_huntress,confirmed_id,Ranged,ranged,21.0,1,mormont_huntress,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Mormont Veteran Huntress,,mormont_veteran_huntress,confirmed_id,Ranged,ranged,26.0,1,mormont_veteran_huntress,exact display-name match,,3,3,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Mountain's Man,mountains_man,mountains_man,confirmed_id,Infantry,frontline_infantry,31.0,1,mountains_man,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Northern Colonel,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Northern Horseman,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Northern Mounted Warlord,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Northern Scout,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Northern Winter Champion,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Ravens' Teeth,,ravens_teeth,confirmed_id,Ranged,ranged,31.0,1,ravens_teeth,exact display-name match,,8,8,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Realm Hedge Knight,,realm_hedge_knight,confirmed_id,Infantry,frontline_infantry,21.0,1,realm_hedge_knight,exact display-name match,,6,6,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Realm Knight,,realm_knight,confirmed_id,Cavalry,melee_cavalry,26.0,1,realm_knight,exact display-name match,,9,9,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Realm Paladin,,realm_paladin,confirmed_id,Cavalry,melee_cavalry,31.0,1,realm_paladin,exact display-name match,,13,13,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Reaver,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Riverlands Admiral,,river_admiral,confirmed_id,Infantry,frontline_infantry,31.0,1,river_admiral,exact display-name match,,7,7,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Riverlands Archer,,river_archer,confirmed_id,Ranged,ranged,16.0,1,river_archer,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Riverlands Axeman,,river_axeman,confirmed_id,Infantry,frontline_infantry,26.0,1,river_axeman,exact display-name match,,6,6,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Riverlands Bowman,,river_bowman,confirmed_id,Ranged,ranged,11.0,1,river_bowman,exact display-name match,,3,3,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Riverlands Cavalry,,river_calvary,confirmed_id,Cavalry,melee_cavalry,26.0,1,river_calvary,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Riverlands Footman,,river_footman,confirmed_id,Infantry,frontline_infantry,11.0,1,river_footman,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Riverlands Horseman,,river_horseman,confirmed_id,Cavalry,melee_cavalry,21.0,1,river_horseman,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Riverlands Man at Arms,,river_man_at_arms,confirmed_id,Infantry,frontline_infantry,21.0,1,river_man_at_arms,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Riverlands Pikeman,,river_pikeman,confirmed_id,Infantry,frontline_infantry,26.0,1,river_pikeman,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Riverlands Ranger,,river_ranger,confirmed_id,Ranged,ranged,26.0,1,river_ranger,exact display-name match,,7,7,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Riverlands Recruit,,river_recruit,confirmed_id,Infantry,frontline_infantry,6.0,1,river_recruit,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Riverlands Swordmaster,,river_swordmaster,confirmed_id,Infantry,frontline_infantry,26.0,1,river_swordmaster,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Riverrun Captain,,riverrun_captain,confirmed_id,Cavalry,melee_cavalry,31.0,1,riverrun_captain,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Stark Soldier,,stark_soldier,confirmed_id,Infantry,frontline_infantry,21.0,1,stark_soldier,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Stark Sworn Sword,,stark_swornsword,confirmed_id,Infantry,frontline_infantry,31.0,1,stark_swornsword,exact display-name match,,3,3,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Tully Archer,,tully_archer,confirmed_id,Ranged,ranged,21.0,1,tully_archer,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Tully Longbowman,,tully_longbowman,confirmed_id,Ranged,ranged,26.0,1,tully_longbowman,exact display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Tully Man at Arms,,tully_man_at_arms,confirmed_id,Infantry,frontline_infantry,21.0,1,tully_man_at_arms,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Tully Soldier,,tully_soldier,confirmed_id,Infantry,frontline_infantry,16.0,1,tully_soldier,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Umber Berzerker,,umber_berzerker,confirmed_id,Infantry,frontline_infantry,31.0,1,umber_berzerker,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Umber Marksman,,umber_marksman,confirmed_id,Ranged,ranged,26.0,1,umber_marksman,exact display-name match,,5,5,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Vale House Guard,,vale_houseguard,confirmed_id,Infantry,frontline_infantry,26.0,1,vale_houseguard,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Vale Master Archer,,vale_master_archer,confirmed_id,Ranged,ranged,26.0,1,vale_master_archer,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerlands Banner Knight,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,11,11,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerlands Crossbowman,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerlands Duelist,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerlands Hardened Crossbowman,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerlands Levy Crossbowman,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerlands Sharpshooter,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerlands Skirmisher,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerling Elite Archer,westerling_elite_archer,westerling_elite_archer,confirmed_id,Ranged,ranged,26.0,1,westerling_elite_archer,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerling Footman,westerling_footman,westerling_footman,confirmed_id,Infantry,frontline_infantry,16.0,1,westerling_footman,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerling Hedgeknight,westerling_hedgeknight,westerling_hedgeknight,confirmed_id,Infantry,frontline_infantry,31.0,1,westerling_hedgeknight,exact display-name match,,6,6,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerling House Guard,westerling_houseguard,westerling_houseguard,confirmed_id,Infantry,frontline_infantry,26.0,1,westerling_houseguard,exact display-name match,,3,3,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerling Man at Arms,westerling_man_at_arms,westerling_man_at_arms,confirmed_id,Infantry,frontline_infantry,21.0,1,westerling_man_at_arms,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
White Harbor Elite Knight,whiteharbor_elite_knight,whiteharbor_elite_knight,confirmed_id,Cavalry,melee_cavalry,26.0,1,whiteharbor_elite_knight,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
White Harbor Knight,whiteharbor_knight,whiteharbor_knight,confirmed_id,Cavalry,melee_cavalry,21.0,1,whiteharbor_knight,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
White Harbor Knight Commander,whiteharbor_knight_commander,whiteharbor_knight_commander,confirmed_id,Cavalry,melee_cavalry,31.0,1,whiteharbor_knight_commander,exact display-name match,,8,8,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
White Harbor Pike Knight,whiteharbor_elite_pikeman,whiteharbor_elite_pikeman,confirmed_id,Infantry,frontline_infantry,26.0,1,whiteharbor_elite_pikeman,exact display-name match,,3,3,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
